target_grad_ratio,architecture,objective,seed,exp015_test_ba,frozen_exp01_test_ba,delta_test_ba_vs_frozen_exp01,exp015_last_hidden_events_per_neuron_second,frozen_exp01_last_hidden_events_per_neuron_second,delta_last_hidden_events_per_neuron_second_vs_frozen_exp01,epochs_trained,best_epoch,early_stopped,kappa
0.05,mid_long,timestep_ce,53,0.1462121212121212,0.2609557109557109,-0.1147435897435897,0.5757123923127899,6.772448641484427,-6.196736249171638,93,63,True,3.626182876921018
0.05,mid_long,timestep_ce,71,0.24029581529581526,0.3349386724386724,-0.09464285714285717,1.8805500331345262,7.132910868124585,-5.252360834990059,100,100,False,2.1468584081342335
0.1,short_mid_long,whole_count_ce,11,0.08766233766233766,0.2335678210678211,-0.14590548340548343,0.7011265738899933,5.432571239231279,-4.731444665341285,50,1,True,7.3528431244086185
0.1,short_mid_long,whole_count_ce,23,0.09956709956709957,0.2314713064713065,-0.13190420690420696,0.8313038436050364,4.828528827037774,-3.997224983432737,68,27,True,8.674436356051626
0.1,short_mid_long,whole_count_ce,37,0.08333333333333333,0.2239607614607614,-0.14062742812742807,0.11203611663353213,5.190772034459907,-5.078735917826375,50,17,True,7.281148802260819
0.1,short_mid_long,whole_count_ce,53,0.07575757575757576,0.1978785103785103,-0.12212093462093453,0.3131626905235255,3.531022200132538,-3.2178595096090126,84,5,True,8.52978772672049
0.1,short_mid_long,whole_count_ce,71,0.09523809523809523,0.2067370129870129,-0.11149891774891768,0.36091782637508285,4.86174618952949,-4.500828363154407,50,6,True,7.791344005382539
0.1,short_mid_long,timestep_ce,11,0.08928571428571429,0.1098484848484848,-0.02056277056277052,0.7155400927766733,1.5637839628893306,-0.8482438701126573,50,1,True,10.62891594923991
0.1,short_mid_long,timestep_ce,23,0.0817099567099567,0.1327922077922078,-0.05108225108225109,1.0420808482438702,2.4341865473823723,-1.3921056991385021,50,1,True,12.23373455184345
0.1,short_mid_long,timestep_ce,37,0.08333333333333333,0.1525974025974026,-0.06926406926406926,0.281850563286945,2.611994698475812,-2.330144135188867,50,4,True,9.68094896624816
0.1,short_mid_long,timestep_ce,53,0.0909090909090909,0.1384448884448884,-0.047535797535797494,0.2170311464546057,1.6695245195493704,-1.4524933730947647,50,2,True,12.523527533151844
0.1,short_mid_long,timestep_ce,71,0.08928571428571429,0.1268398268398268,-0.03755411255411252,0.09430914512922466,1.755881378396289,-1.6615722332670644,50,7,True,11.515262115756801
0.1,short_mid,whole_count_ce,11,0.3837669275169275,0.441629204129204,-0.0578622766122765,5.248384691848907,9.800985752153744,-4.552601060304838,100,97,False,1.5044662884440094
0.1,short_mid,whole_count_ce,23,0.38762279387279386,0.4869241869241869,-0.09930139305139302,4.555707422133864,10.414057322730285,-5.858349900596421,100,91,False,2.5648137675277085
0.1,short_mid,whole_count_ce,37,0.43044386169386173,0.4688956876456876,-0.03845182595182589,8.630798542080848,11.094599072233269,-2.4638005301524206,100,74,False,0.578038565757896
0.1,short_mid,whole_count_ce,53,0.2849483849483849,0.4186383061383061,-0.13368992118992118,1.553719350563287,8.822813121272366,-7.2690937707090795,100,100,False,4.386996156544188
0.1,short_mid,whole_count_ce,71,0.4571796259296259,0.4699640637140637,-0.012784437784437774,7.454522862823062,9.455434062292907,-2.0009111994698454,100,95,False,1.0563934264775827
0.1,short_mid,timestep_ce,11,0.09761904761904762,0.2570845820845821,-0.15946553446553452,0.03694499668654738,2.867586149768058,-2.830641153081511,100,100,False,3.3818498371150456
0.1,short_mid,timestep_ce,23,0.08333333333333333,0.3131451881451881,-0.2298118548118548,0.16658383035122598,3.326209410205434,-3.159625579854208,50,1,True,5.477098358312204
0.1,short_mid,timestep_ce,37,0.23053751803751807,0.2543539793539793,-0.02381646131646123,1.3493621603711068,3.399271040424122,-2.049908880053015,100,97,False,1.1031691679090008
0.1,short_mid,timestep_ce,53,0.08333333333333333,0.28996003996004,-0.20662670662670668,0.0180168986083499,3.367544731610338,-3.3495278330019884,50,1,True,4.720060878296679
0.1,short_mid,timestep_ce,71,0.15822510822510824,0.2927738927738927,-0.13454878454878447,0.6587143803843605,5.23678760768721,-4.57807322730285,100,98,False,2.3953385861197085
0.1,mid_long,whole_count_ce,11,0.3881118881118881,0.432004107004107,-0.04389221889221889,6.261762756792578,12.877982107355864,-6.616219350563286,100,88,False,2.784870864293004
0.1,mid_long,whole_count_ce,23,0.3919878732378732,0.417130092130092,-0.025142218892218793,6.837309476474487,11.984095427435388,-5.1467859509609015,100,96,False,2.589225444198885
0.1,mid_long,whole_count_ce,37,0.3439338439338439,0.4012099012099011,-0.05727605727605717,3.696363485752154,10.528330019880716,-6.831966534128562,100,90,False,4.487256519557225
0.1,mid_long,whole_count_ce,53,0.3920697358197358,0.3507048507048507,0.04136488511488512,4.31490225314778,11.504307488402915,-7.189405235255135,100,90,False,3.831082782239729
0.1,mid_long,whole_count_ce,71,0.37239427239427236,0.4029005716505716,-0.03050629925629922,6.923376408217362,11.332049370444002,-4.40867296222664,100,81,False,1.8226298084170531
0.1,mid_long,timestep_ce,11,0.09307359307359307,0.3461829836829836,-0.2531093906093905,4.009070576540755,8.536903578528827,-4.527833001988072,50,5,True,6.693043343457864
0.1,mid_long,timestep_ce,23,0.2210137085137085,0.3281773781773782,-0.10716366966366969,1.1047465208747516,11.262259774685225,-10.157513253810473,100,80,False,4.48494622224909
0.1,mid_long,timestep_ce,37,0.08974358974358974,0.2499167499167499,-0.16017316017316013,0.3452617627567926,7.959203114645461,-7.613941351888668,50,11,True,7.407626458772218
0.1,mid_long,timestep_ce,53,0.08333333333333333,0.2609557109557109,-0.1776223776223776,3.1650927766732937,6.772448641484427,-3.6073558648111335,50,5,True,7.25236493130614
0.1,mid_long,timestep_ce,71,0.09166666666666667,0.3349386724386724,-0.24327200577200575,0.038891650099403575,7.132910868124585,-7.094019218025182,60,24,True,4.293716783545826
0.2,short_mid_long,whole_count_ce,11,0.0817099567099567,0.2335678210678211,-0.15185786435786439,0.7024519549370444,5.432571239231279,-4.730119284294235,50,1,True,14.705683928054095
0.2,short_mid_long,whole_count_ce,23,0.10551948051948051,0.2314713064713065,-0.125951825951826,1.1456262425447317,4.828528827037774,-3.682902584493042,50,2,True,17.348876696090244
0.2,short_mid_long,whole_count_ce,37,0.08333333333333333,0.2239607614607614,-0.14062742812742807,0.006585487077534791,5.190772034459907,-5.184186547382372,50,9,True,14.562289970520604
0.2,short_mid_long,whole_count_ce,53,0.07575757575757576,0.1978785103785103,-0.12212093462093453,0.18037607687210072,3.531022200132538,-3.3506461232604376,50,4,True,17.05959713424726
0.2,short_mid_long,whole_count_ce,71,0.09523809523809523,0.2067370129870129,-0.11149891774891768,0.20837475149105367,4.86174618952949,-4.653371438038437,50,6,True,15.58268860740824
0.2,short_mid_long,timestep_ce,11,0.08928571428571429,0.1098484848484848,-0.02056277056277052,0.7014165009940357,1.5637839628893306,-0.8623674618952949,50,1,True,21.2578302695911
0.2,short_mid_long,timestep_ce,23,0.07413419913419914,0.1327922077922078,-0.05865800865800866,1.0479208084824387,2.4341865473823723,-1.3862657388999335,50,1,True,24.467467093846587
0.2,short_mid_long,timestep_ce,37,0.08333333333333333,0.1525974025974026,-0.06926406926406926,0.010603048376408217,2.611994698475812,-2.6013916500994037,50,6,True,19.361886259252024
0.2,short_mid_long,timestep_ce,53,0.08333333333333333,0.1384448884448884,-0.05511155511155506,0.18464214711729623,1.6695245195493704,-1.484882372432074,50,1,True,25.047056919613997
0.2,short_mid_long,timestep_ce,71,0.08333333333333333,0.1268398268398268,-0.04350649350649348,0.21065275016567264,1.755881378396289,-1.5452286282306162,50,3,True,23.030526284071524
0.2,short_mid,whole_count_ce,11,0.3262654012654012,0.441629204129204,-0.11536380286380277,2.4391153081510932,9.800985752153744,-7.361870444002651,100,92,False,3.00893271861079
0.2,short_mid,whole_count_ce,23,0.2546633921633922,0.4869241869241869,-0.2322607947607947,1.89662027833002,10.414057322730285,-8.517437044400264,100,96,False,5.129627874594117
0.2,short_mid,whole_count_ce,37,0.48588009213009214,0.4688956876456876,0.016984404484404525,7.685926110006627,11.094599072233269,-3.4086729622266416,100,99,False,1.1560771310665028
0.2,short_mid,whole_count_ce,53,0.08333333333333333,0.4186383061383061,-0.3353049728049728,0.01665009940357853,8.822813121272366,-8.806163021868787,50,1,True,8.773978811431181
0.2,short_mid,whole_count_ce,71,0.3957708957708957,0.4699640637140637,-0.07419316794316799,4.790258449304175,9.455434062292907,-4.665175612988732,100,93,False,2.112786765467969
0.2,short_mid,timestep_ce,11,0.08333333333333333,0.2570845820845821,-0.1737512487512488,0.09501325381047052,2.867586149768058,-2.7725728959575875,50,1,True,6.763699760960584
0.2,short_mid,timestep_ce,23,0.08333333333333333,0.3131451881451881,-0.2298118548118548,0.12876905235255137,3.326209410205434,-3.1974403578528827,50,2,True,10.954196319878223
0.2,short_mid,timestep_ce,37,0.12738095238095237,0.2543539793539793,-0.12697302697302693,0.20891318754141816,3.399271040424122,-3.1903578528827037,61,61,True,2.206339188069706
0.2,short_mid,timestep_ce,53,0.08333333333333333,0.28996003996004,-0.20662670662670668,0.015366136514247846,3.367544731610338,-3.3521785950960905,50,1,True,9.440121756593358
0.2,short_mid,timestep_ce,71,0.08333333333333333,0.2927738927738927,-0.2094405594405594,0.07099072233267065,5.23678760768721,-5.16579688535454,50,1,True,4.790677172239417
0.2,mid_long,whole_count_ce,11,0.35786088911088904,0.432004107004107,-0.07414321789321798,3.5122183565275016,12.877982107355864,-9.365763750828362,100,96,False,5.569741728586008
0.2,mid_long,whole_count_ce,23,0.3450611888111888,0.417130092130092,-0.0720689033189032,4.168986083499006,11.984095427435388,-7.815109343936382,100,93,False,5.17845088839777
0.2,mid_long,whole_count_ce,37,0.2066017316017316,0.4012099012099011,-0.19460816960816948,1.365846587143804,10.528330019880716,-9.162483432736913,81,45,True,8.97451303911445
0.2,mid_long,whole_count_ce,53,0.30982975357975356,0.3507048507048507,-0.040875097125097126,2.2149602385685885,11.504307488402915,-9.289347249834327,100,99,False,7.662165564479458
0.2,mid_long,whole_count_ce,71,0.3710782273282273,0.4029005716505716,-0.031822344322344265,4.654572564612326,11.332049370444002,-6.6774768058316765,100,90,False,3.6452596168341063
0.2,mid_long,timestep_ce,11,0.08333333333333333,0.3461829836829836,-0.2628496503496503,2.311795891318754,8.536903578528827,-6.225107687210073,50,5,True,13.386086686915728
0.2,mid_long,timestep_ce,23,0.1317099567099567,0.3281773781773782,-0.1964674214674215,0.29311630218687873,11.262259774685225,-10.969143472498345,87,49,True,8.96989244449818
0.2,mid_long,timestep_ce,37,0.091991341991342,0.2499167499167499,-0.15792540792540788,6.103296885354539,7.959203114645461,-1.8559062292909214,50,3,True,14.815252917544436
0.2,mid_long,timestep_ce,53,0.08928571428571429,0.2609557109557109,-0.1716699966699966,2.041956593770709,6.772448641484427,-4.730492047713718,50,5,True,14.504731521033984
0.2,mid_long,timestep_ce,71,0.08333333333333333,0.3349386724386724,-0.2516053391053391,0.8977799867461895,7.132910868124585,-6.235130881378396,50,6,True,8.587433567091653
