family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second,context_label
direct_snn,short_mid,whole_count_ce,binary,1,1.0,23,output_whole_count,99,0.8572575776291481,0.4654641654641655,0.4869241869241869,0.5068493150684932,0.4850058415622141,0.4869241869241869,10.414057322730285,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,whole_count_ce,binary,1,1.0,37,output_whole_count,73,0.7795633534356115,0.4365921115921116,0.4688956876456876,0.4863013698630137,0.4612484777793209,0.4688956876456876,11.094599072233269,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,whole_count_ce,binary,1,1.0,53,output_whole_count,70,0.7325486693815716,0.4042688792688793,0.4186383061383061,0.4246575342465753,0.385479505345066,0.4186383061383061,8.822813121272366,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,whole_count_ce,binary,1,1.0,71,output_whole_count,88,0.798852958979976,0.4368506493506494,0.4699640637140637,0.4863013698630137,0.4416820695248104,0.4699640637140637,9.455434062292907,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,timestep_ce,binary,1,1.0,11,output_whole_count,100,0.4401489349704297,0.2944444444444444,0.2570845820845821,0.2808219178082192,0.1918127919209731,0.2570845820845821,2.867586149768058,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,timestep_ce,binary,1,1.0,23,output_whole_count,94,0.4707064173973627,0.2563552188552189,0.3131451881451881,0.3287671232876712,0.2649343048256091,0.3131451881451881,3.326209410205434,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,timestep_ce,binary,1,1.0,37,output_whole_count,93,0.4544629904991077,0.2703703703703703,0.2543539793539793,0.2671232876712329,0.190673312294661,0.2543539793539793,3.399271040424122,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,timestep_ce,binary,1,1.0,53,output_whole_count,84,0.4637919537965336,0.2414682539682539,0.28996003996004,0.3082191780821918,0.2318685555678684,0.28996003996004,3.367544731610338,frozen_exp0.1_no_reg_100epoch
direct_snn,short_mid,timestep_ce,binary,1,1.0,71,output_whole_count,97,0.5246459531149258,0.3136904761904762,0.2927738927738927,0.3150684931506849,0.2292953190051221,0.2927738927738927,5.23678760768721,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,whole_count_ce,binary,1,1.0,11,output_whole_count,97,0.9453762187092236,0.4307359307359307,0.432004107004107,0.4520547945205479,0.4072415799544733,0.432004107004107,12.877982107355864,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,whole_count_ce,binary,1,1.0,23,output_whole_count,53,0.8407322192623097,0.4373075998075998,0.417130092130092,0.4383561643835616,0.3984940850882879,0.417130092130092,11.984095427435388,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,whole_count_ce,binary,1,1.0,37,output_whole_count,71,0.9011104192436912,0.3266293891293891,0.4012099012099011,0.4041095890410959,0.3849018956777577,0.4012099012099011,10.528330019880716,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,whole_count_ce,binary,1,1.0,53,output_whole_count,69,0.8686041827255218,0.3905483405483405,0.3507048507048507,0.363013698630137,0.3287748752222436,0.3507048507048507,11.504307488402915,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,whole_count_ce,binary,1,1.0,71,output_whole_count,94,0.9366724900576624,0.3833453583453584,0.4029005716505716,0.410958904109589,0.3861505790961129,0.4029005716505716,11.332049370444002,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,timestep_ce,binary,1,1.0,11,output_whole_count,62,0.4979183320105443,0.3081709956709956,0.3461829836829836,0.363013698630137,0.2721399042827614,0.3461829836829836,8.536903578528827,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,timestep_ce,binary,1,1.0,23,output_whole_count,100,0.6291671482198212,0.2890873015873016,0.3281773781773782,0.3493150684931507,0.2793489828429944,0.3281773781773782,11.262259774685225,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,timestep_ce,binary,1,1.0,37,output_whole_count,100,0.6024538112089951,0.26257215007215,0.2499167499167499,0.2602739726027397,0.192613446229103,0.2499167499167499,7.959203114645461,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,timestep_ce,binary,1,1.0,53,output_whole_count,87,0.5438551842481317,0.2609126984126984,0.2609557109557109,0.273972602739726,0.1896062271062271,0.2609557109557109,6.772448641484427,frozen_exp0.1_no_reg_100epoch
direct_snn,mid_long,timestep_ce,binary,1,1.0,71,output_whole_count,78,0.5978131017767533,0.3111772486772486,0.3349386724386724,0.3493150684931507,0.2686748127180049,0.3349386724386724,7.132910868124585,frozen_exp0.1_no_reg_100epoch
