l2_width,objective,seed,test_balanced_accuracy,train_test_ba_gap,head_feature_dim,head_parameter_count,l1_fixed250_raw_probe_ba,l1_fixed250_pca128_probe_ba,l2_fixed250_raw_probe_ba,l2_fixed250_pca128_probe_ba,l2_pca128_explained_variance_ratio_sum,l2_test_firing_rate,l2_test_total_spikes_per_timestep,raw_l2_minus_l1_fixed250_probe_ba,pca128_l2_minus_l1_fixed250_probe_ba,l2_raw_minus_pca128_fixed250_probe_ba
32,relative10_sequence_ce,101,0.7241744366744366,0.26592471979726895,320,3852,0.5282106782106782,0.5245129870129869,0.5753510378510378,0.5401917526917527,0.9706486463546753,0.2937401631875414,9.399685222001326,0.047140359640359564,0.015678765678765805,0.035159285159285125
64,relative10_sequence_ce,11,0.6474560162060161,0.34582159398335877,640,7692,0.4817883505383505,0.44521936396936396,0.516857448107448,0.4961614774114773,0.9546119570732117,0.29322761348575216,18.766567263088138,0.03506909756909754,0.05094211344211336,0.020695970695970733
64,relative10_sequence_ce,23,0.7330690143190144,0.21972366846497138,640,7692,0.400553613053613,0.4144085081585082,0.5664453601953602,0.546813603063603,0.956221342086792,0.19831531643472497,12.692180251822398,0.1658917471417472,0.13240509490509483,0.019631757131757133
64,relative10_sequence_ce,101,0.674153624153624,0.3143429682155173,640,7692,0.48852466977466974,0.4167873792873793,0.5092816905316905,0.5002407314907314,0.9567270278930664,0.27413772572895956,17.54481444665341,0.02075702075702074,0.08345335220335215,0.009040959040959029
128,relative10_sequence_ce,11,0.6867465867465867,0.2923708665944593,1280,15372,0.4570630758130758,0.443791625041625,0.4865613553113553,0.44440073815073816,0.9334020614624023,0.20149998446819087,25.79199801192843,0.02949827949827949,0.0006091131091131574,0.04216061716061714
128,relative10_sequence_ce,23,0.6483197358197358,0.34668263834930513,1280,15372,0.48011294261294263,0.4947302697302696,0.5531406093906094,0.5351572039072039,0.9444032311439514,0.2541204595344599,32.527418820410865,0.07302766677766676,0.04042693417693427,0.01798340548340549
128,relative10_sequence_ce,101,0.6940989565989567,0.28962018052103133,1280,15372,0.48385572760572754,0.4355082417582417,0.5524954212454212,0.5102945665445665,0.9402329921722412,0.22830335694168324,29.222829688535455,0.06863969363969363,0.0747863247863248,0.04220085470085466
256,relative10_sequence_ce,11,0.6702422577422578,0.29611873523415955,2560,30732,0.42676698301698296,0.42902167277167275,0.5042069042069042,0.5000894938394939,0.9210084676742554,0.1520994475853214,38.93745858184228,0.07743992118992121,0.07106782106782111,0.004117410367410312
256,relative10_sequence_ce,23,0.6650994838494838,0.32336568569411717,2560,30732,0.5139714452214451,0.4684718059718059,0.5246413308913308,0.4773469585969585,0.9203813076019287,0.169420003416998,43.37152087475149,0.010669885669885693,0.00887515262515265,0.04729437229437228
256,relative10_sequence_ce,101,0.6588508713508713,0.3312168622952937,2560,30732,0.473987123987124,0.45450660450660446,0.5162851037851038,0.5411456598956599,0.9261882305145264,0.1960056069831014,50.17743538767396,0.042297979797979834,0.08663905538905542,-0.024860556110556042
32,timestep_ce,11,0.4182928182928182,0.20037880329464203,32,396,0.5259976134976135,0.4550269175269175,0.5565018315018315,0.5444617882117881,0.9667184352874756,0.3260903330019881,10.434890656063619,0.030504218004217987,0.08943487068487066,0.012040043290043378
32,timestep_ce,23,0.4162115662115662,0.2056879043217924,32,396,0.5317002442002442,0.4864052614052614,0.5645354645354644,0.5304827117327117,0.9681804180145264,0.3225024850894632,10.320079522862823,0.03283522033522024,0.04407745032745025,0.03405275280275277
32,timestep_ce,101,0.3937909312909313,0.18526154284719293,32,396,0.5689407814407814,0.5091325341325341,0.5666167166167165,0.5395985958485959,0.9696098566055298,0.3474051524188204,11.116964877402253,-0.0023240648240648865,0.03046606171606181,0.0270181207681206
64,timestep_ce,11,0.4014929514929515,0.27269095257086495,64,780,0.4993249805749806,0.4877046564546564,0.5590541403041404,0.5612144799644799,0.9492096900939941,0.32229798293571904,20.62707090788602,0.059729159729159764,0.07350982350982355,-0.002160339660339572
64,timestep_ce,23,0.5032044344544344,0.2107752569013801,64,780,0.5569007381507382,0.5251755189255188,0.6081862581862582,0.5614482739482739,0.9449234008789062,0.29857055583167663,19.108515573227304,0.051285520035520005,0.036272755022755065,0.046737984237984254
64,timestep_ce,101,0.4751110001110001,0.26424326409669,64,780,0.5157301032301033,0.5170898545898546,0.5215069652569653,0.5768460705960706,0.9485294818878174,0.32713355284956924,20.93654738237243,0.005776862026862006,0.059756216006216056,-0.055339105339105354
128,timestep_ce,11,0.47474123099123094,0.3147225184625087,128,1548,0.4893641081141081,0.5150814463314464,0.642110667110667,0.6076000388500388,0.920348048210144,0.25858520750497016,33.09890656063618,0.15274655899655892,0.0925185925185924,0.03451062826062823
128,timestep_ce,23,0.487338356088356,0.3109139585883319,128,1548,0.5261849261849262,0.5251165501165501,0.5871794871794872,0.5970619658119658,0.9226672649383545,0.2721807177766733,34.83913187541418,0.06099456099456102,0.07194541569541568,-0.009882478632478597
128,timestep_ce,101,0.515783522033522,0.28722579266778214,128,1548,0.5594398656898657,0.5003149628149627,0.6366404428904429,0.5719759407259406,0.9224245548248291,0.27339737615970844,34.99486414844268,0.07720057720057716,0.07166097791097792,0.06466450216450226
256,timestep_ce,11,0.5434468309468309,0.321035703287495,256,3084,0.5399593462093462,0.4955072705072705,0.6134310134310134,0.6196158008658008,0.9000197052955627,0.24113036624005965,61.72937375745527,0.0734716672216672,0.12410853035853031,-0.006184787434787453
256,timestep_ce,23,0.491033966033966,0.3623202963631983,256,3084,0.5180749805749806,0.4806852869352869,0.5373820623820623,0.5740571928071928,0.9032605886459351,0.24571936868373095,62.904158383035124,0.01930708180708174,0.09337190587190591,-0.03667513042513049
256,timestep_ce,101,0.4962357087357087,0.2674497466938513,256,3084,0.5381347818847818,0.39171939171939174,0.569818376068376,0.6163031413031413,0.905051052570343,0.21728806846421472,55.62574552683897,0.03168359418359423,0.2245837495837496,-0.0464847652347653
