l2_width,objective,seed,last_layer,feature_dim,input_feature_dim,layer,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy
64,fixed250_sequence_ce,23,L2,1024,1024,L2,,1.0,0.589041095890411,0.5754863192363192,0.5718593258369423,fixed250,0.5841750841750842
64,fixed250_sequence_ce,101,L2,1024,1024,L2,,0.01,0.547945205479452,0.5353805916305916,0.549106270074012,fixed250,0.5592712842712843
64,fixed250_sequence_ce,11,L2,128,1024,L2,0.9552770853042603,10.0,0.4452054794520548,0.4383491508491508,0.45088573144776745,fixed250_pca128,0.5285233285233285
64,fixed250_sequence_ce,23,L2,128,1024,L2,0.9528133869171143,0.1,0.5273972602739726,0.5147609335109334,0.5255942247895382,fixed250_pca128,0.5267676767676767
64,fixed250_sequence_ce,101,L2,128,1024,L2,0.9551946520805359,1.0,0.4794520547945205,0.4707493894993895,0.4810682547872949,fixed250_pca128,0.5126803751803751
64,fixed250_sequence_ce,11,L2,64,64,L2,,0.1,0.4657534246575342,0.46538808413808413,0.444694558709904,full_count,0.4144240019240019
64,fixed250_sequence_ce,23,L2,64,64,L2,,1.0,0.4657534246575342,0.45682442557442554,0.4547485625141457,full_count,0.4623376623376623
64,fixed250_sequence_ce,101,L2,64,64,L2,,1.0,0.4794520547945205,0.47569166944166946,0.45920801038310405,full_count,0.4481301106301107
128,fixed250_sequence_ce,11,L2,2048,2048,L1,,1.0,0.4657534246575342,0.4582875457875457,0.44732138262242055,fixed250,0.5036255411255411
128,fixed250_sequence_ce,23,L2,2048,2048,L1,,0.1,0.5273972602739726,0.510821817071817,0.5084998208575718,fixed250,0.48906926406926404
128,fixed250_sequence_ce,101,L2,2048,2048,L1,,0.01,0.4726027397260274,0.45982767232767235,0.4582121125616432,fixed250,0.4709415584415584
128,fixed250_sequence_ce,11,L2,128,2048,L1,0.914379358291626,10.0,0.4178082191780822,0.4130154567654567,0.41605126924261465,fixed250_pca128,0.4900252525252525
128,fixed250_sequence_ce,23,L2,128,2048,L1,0.9155970215797424,10.0,0.4726027397260274,0.4657661782661782,0.4640724066475345,fixed250_pca128,0.49660894660894656
128,fixed250_sequence_ce,101,L2,128,2048,L1,0.9109092354774475,10.0,0.4794520547945205,0.4816773504273504,0.4695432926325375,fixed250_pca128,0.4983645983645984
128,fixed250_sequence_ce,11,L2,128,128,L1,,10.0,0.3698630136986301,0.35986582861582855,0.34353458035523254,full_count,0.4412578162578162
128,fixed250_sequence_ce,23,L2,128,128,L1,,1.0,0.5068493150684932,0.48948967698967705,0.49259160458435813,full_count,0.4353234728234729
128,fixed250_sequence_ce,101,L2,128,128,L1,,0.1,0.4041095890410959,0.39467615717615717,0.38167847732573074,full_count,0.4105940355940356
128,fixed250_sequence_ce,11,L2,2048,2048,L2,,0.1,0.5205479452054794,0.501828033078033,0.5125450267697692,fixed250,0.5295093795093795
128,fixed250_sequence_ce,23,L2,2048,2048,L2,,10.0,0.5,0.48964854589854584,0.4951767403039445,fixed250,0.520580808080808
128,fixed250_sequence_ce,101,L2,2048,2048,L2,,0.1,0.5068493150684932,0.4934225496725497,0.4842013399255652,fixed250,0.5939033189033188
128,fixed250_sequence_ce,11,L2,128,2048,L2,0.9342018365859985,10.0,0.4726027397260274,0.46334706959706956,0.4617935541074591,fixed250_pca128,0.48380832130832135
128,fixed250_sequence_ce,23,L2,128,2048,L2,0.9405722618103027,1.0,0.5273972602739726,0.5168421855921855,0.5220488114199154,fixed250_pca128,0.520580808080808
128,fixed250_sequence_ce,101,L2,128,2048,L2,0.9370363354682922,1.0,0.4589041095890411,0.4517038517038517,0.44834714313738483,fixed250_pca128,0.534469696969697
128,fixed250_sequence_ce,11,L2,128,128,L2,,1.0,0.4589041095890411,0.4503829503829504,0.44931664430141943,full_count,0.47656926406926403
128,fixed250_sequence_ce,23,L2,128,128,L2,,1.0,0.4657534246575342,0.4572975635475635,0.460335371867106,full_count,0.47427849927849924
128,fixed250_sequence_ce,101,L2,128,128,L2,,1.0,0.4520547945205479,0.4541909479409479,0.445237259803179,full_count,0.4160113035113035
256,fixed250_sequence_ce,11,L2,2048,2048,L1,,0.1,0.4657534246575342,0.4550407925407925,0.44708360834755356,fixed250,0.4793470418470418
256,fixed250_sequence_ce,23,L2,2048,2048,L1,,1.0,0.4863013698630137,0.47213134088134084,0.48010700787036303,fixed250,0.4228294853294854
256,fixed250_sequence_ce,101,L2,2048,2048,L1,,0.01,0.4794520547945205,0.46082667332667326,0.43779613918932814,fixed250,0.48852813852813853
256,fixed250_sequence_ce,11,L2,128,2048,L1,0.9163575172424316,10.0,0.4178082191780822,0.40872668997669,0.41058600394977596,fixed250_pca128,0.4707190957190957
256,fixed250_sequence_ce,23,L2,128,2048,L1,0.9097126126289368,1.0,0.4794520547945205,0.46684842934842935,0.47000207114757214,fixed250_pca128,0.3775853775853775
256,fixed250_sequence_ce,101,L2,128,2048,L1,0.9158072471618652,1.0,0.4794520547945205,0.4656780719280719,0.47426951694358443,fixed250_pca128,0.4701178451178451
256,fixed250_sequence_ce,11,L2,128,128,L1,,10.0,0.3835616438356164,0.37455946830946835,0.3694876235348942,full_count,0.4013708513708514
256,fixed250_sequence_ce,23,L2,128,128,L1,,10.0,0.4178082191780822,0.396502109002109,0.3835422185569693,full_count,0.404004329004329
256,fixed250_sequence_ce,101,L2,128,128,L1,,1.0,0.410958904109589,0.3917471417471417,0.359719958404169,full_count,0.3902176527176528
256,fixed250_sequence_ce,11,L2,4096,4096,L2,,0.1,0.5205479452054794,0.5021256521256521,0.49842235316951516,fixed250,0.526605339105339
256,fixed250_sequence_ce,23,L2,4096,4096,L2,,0.01,0.547945205479452,0.5397928460428459,0.5389507444899874,fixed250,0.4762265512265513
256,fixed250_sequence_ce,101,L2,4096,4096,L2,,0.1,0.5342465753424658,0.518045843045843,0.5187008808231375,fixed250,0.5495851370851371
256,fixed250_sequence_ce,11,L2,128,4096,L2,0.9079382419586182,10.0,0.4863013698630137,0.4789092851592851,0.46666582812388097,fixed250_pca128,0.5002104377104376
256,fixed250_sequence_ce,23,L2,128,4096,L2,0.9092496633529663,10.0,0.4383561643835616,0.43421647796647794,0.45107058833839014,fixed250_pca128,0.4713023088023087
256,fixed250_sequence_ce,101,L2,128,4096,L2,0.9312244653701782,1.0,0.4794520547945205,0.4644383394383395,0.47328060046555986,fixed250_pca128,0.5278198653198652
256,fixed250_sequence_ce,11,L2,256,256,L2,,0.1,0.5136986301369864,0.5013729326229327,0.4908849919345833,full_count,0.43747594997595
256,fixed250_sequence_ce,23,L2,256,256,L2,,1.0,0.5068493150684932,0.4981684981684981,0.5049029829457429,full_count,0.4602272727272727
256,fixed250_sequence_ce,101,L2,256,256,L2,,0.01,0.5136986301369864,0.502006327006327,0.5046416497633536,full_count,0.43545574795574793
32,relative10_sequence_ce,11,L2,2048,2048,L1,,0.01,0.5547945205479452,0.544295288045288,0.5557596953459506,fixed250,0.51991341991342
32,relative10_sequence_ce,23,L2,2048,2048,L1,,0.1,0.5273972602739726,0.517676073926074,0.5015557763816278,fixed250,0.5176046176046175
32,relative10_sequence_ce,101,L2,2048,2048,L1,,0.01,0.541095890410959,0.5282106782106782,0.5262286779585442,fixed250,0.47947330447330444
32,relative10_sequence_ce,11,L2,128,2048,L1,0.9101189374923706,0.1,0.4931506849315068,0.4827422577422577,0.49055699578286066,fixed250_pca128,0.4844336219336219
32,relative10_sequence_ce,23,L2,128,2048,L1,0.9070424437522888,1.0,0.4794520547945205,0.46872155622155626,0.4608600637076119,fixed250_pca128,0.49399350649350643
32,relative10_sequence_ce,101,L2,128,2048,L1,0.9072686433792114,0.1,0.5342465753424658,0.5245129870129869,0.5148267558226279,fixed250_pca128,0.4556998556998557
32,relative10_sequence_ce,11,L2,128,128,L1,,0.1,0.4452054794520548,0.43786213786213785,0.4237665392070426,full_count,0.44610389610389606
32,relative10_sequence_ce,23,L2,128,128,L1,,0.1,0.547945205479452,0.5293532856032855,0.520337395349889,full_count,0.4499338624338624
32,relative10_sequence_ce,101,L2,128,128,L1,,1.0,0.3972602739726027,0.3902951215451215,0.37596969565106825,full_count,0.42157287157287154
32,relative10_sequence_ce,11,L2,512,512,L2,,0.1,0.5616438356164384,0.5450931013431013,0.5528878823794979,fixed250,0.5196969696969697
32,relative10_sequence_ce,23,L2,512,512,L2,,1.0,0.5273972602739726,0.5127268564768565,0.5155955422909253,fixed250,0.5330868205868206
32,relative10_sequence_ce,101,L2,512,512,L2,,0.1,0.589041095890411,0.5753510378510378,0.5899550707415157,fixed250,0.555002405002405
32,relative10_sequence_ce,11,L2,128,512,L2,0.9708475470542908,0.1,0.4726027397260274,0.46323884448884445,0.4760421497147503,fixed250_pca128,0.5116221741221741
32,relative10_sequence_ce,23,L2,128,512,L2,0.9729173183441162,1.0,0.5273972602739726,0.5108537296037295,0.5007572541488222,fixed250_pca128,0.4872534872534872
32,relative10_sequence_ce,101,L2,128,512,L2,0.9706486463546753,0.1,0.547945205479452,0.5401917526917527,0.552831983181055,fixed250_pca128,0.481986531986532
32,relative10_sequence_ce,11,L2,32,32,L2,,1.0,0.4794520547945205,0.46861402486402476,0.4603271781152906,full_count,0.4309523809523809
32,relative10_sequence_ce,23,L2,32,32,L2,,0.1,0.5205479452054794,0.5046668609168609,0.5079221073367189,full_count,0.44996993746993746
32,relative10_sequence_ce,101,L2,32,32,L2,,1.0,0.4589041095890411,0.44776959151959145,0.4369966168414263,full_count,0.46713564213564207
64,relative10_sequence_ce,11,L2,2048,2048,L1,,1.0,0.4931506849315068,0.4817883505383505,0.4801525829469675,fixed250,0.5111652236652235
64,relative10_sequence_ce,23,L2,2048,2048,L1,,10.0,0.4041095890410959,0.400553613053613,0.41239810141125927,fixed250,0.4546837421837422
64,relative10_sequence_ce,101,L2,2048,2048,L1,,1.0,0.5,0.48852466977466974,0.4949670587876301,fixed250,0.5405303030303029
64,relative10_sequence_ce,11,L2,128,2048,L1,0.9064708948135376,1.0,0.4520547945205479,0.44521936396936396,0.44489028474774095,fixed250_pca128,0.5022366522366523
64,relative10_sequence_ce,23,L2,128,2048,L1,0.9171317219734192,10.0,0.4246575342465753,0.4144085081585082,0.4188284444125266,fixed250_pca128,0.4702200577200577
64,relative10_sequence_ce,101,L2,128,2048,L1,0.9172207117080688,10.0,0.4246575342465753,0.4167873792873793,0.418077784858868,fixed250_pca128,0.5141414141414141
64,relative10_sequence_ce,11,L2,128,128,L1,,1.0,0.4794520547945205,0.47193015318015313,0.4663789439159533,full_count,0.4491762866762867
64,relative10_sequence_ce,23,L2,128,128,L1,,0.1,0.547945205479452,0.526057276057276,0.4806032962617075,full_count,0.37873977873977865
64,relative10_sequence_ce,101,L2,128,128,L1,,0.1,0.4931506849315068,0.4779664779664779,0.4793991859644114,full_count,0.4108826358826358
64,relative10_sequence_ce,11,L2,1024,1024,L2,,0.1,0.5273972602739726,0.516857448107448,0.5333069063143171,fixed250,0.542550505050505
64,relative10_sequence_ce,23,L2,1024,1024,L2,,0.1,0.5821917808219178,0.5664453601953602,0.5763660316291895,fixed250,0.45863997113997107
64,relative10_sequence_ce,101,L2,1024,1024,L2,,1.0,0.5205479452054794,0.5092816905316905,0.5162189120725706,fixed250,0.518596681096681
64,relative10_sequence_ce,11,L2,128,1024,L2,0.9546119570732117,0.1,0.5068493150684932,0.4961614774114773,0.500660185714615,fixed250_pca128,0.47660533910533914
64,relative10_sequence_ce,23,L2,128,1024,L2,0.956221342086792,0.1,0.5547945205479452,0.546813603063603,0.5539384902210068,fixed250_pca128,0.43903318903318905
64,relative10_sequence_ce,101,L2,128,1024,L2,0.9567270278930664,0.1,0.5136986301369864,0.5002407314907314,0.5110343625656253,fixed250_pca128,0.4623737373737374
64,relative10_sequence_ce,11,L2,64,64,L2,,0.1,0.5068493150684932,0.49950327450327453,0.4980895182449105,full_count,0.47808441558441556
64,relative10_sequence_ce,23,L2,64,64,L2,,1.0,0.4657534246575342,0.4649822399822399,0.45549272165681703,full_count,0.42530062530062535
64,relative10_sequence_ce,101,L2,64,64,L2,,0.1,0.4657534246575342,0.4566940004440004,0.4480546720178902,full_count,0.43495670995671
128,relative10_sequence_ce,11,L2,2048,2048,L1,,0.1,0.4657534246575342,0.4570630758130758,0.44696174150727247,fixed250,0.4696248196248196
128,relative10_sequence_ce,23,L2,2048,2048,L1,,1.0,0.4931506849315068,0.48011294261294263,0.47421940987806077,fixed250,0.44373496873496876
128,relative10_sequence_ce,101,L2,2048,2048,L1,,0.01,0.5,0.48385572760572754,0.4732718027462151,fixed250,0.457046657046657
128,relative10_sequence_ce,11,L2,128,2048,L1,0.9123619198799133,10.0,0.4452054794520548,0.443791625041625,0.43881921924861755,fixed250_pca128,0.4625841750841751
128,relative10_sequence_ce,23,L2,128,2048,L1,0.9132854342460632,0.1,0.5,0.4947302697302696,0.48501437738554487,fixed250_pca128,0.42064093314093315
128,relative10_sequence_ce,101,L2,128,2048,L1,0.9151454567909241,1.0,0.4383561643835616,0.4355082417582417,0.4276817058135561,fixed250_pca128,0.46588504088504096
128,relative10_sequence_ce,11,L2,128,128,L1,,1.0,0.3561643835616438,0.34602411477411477,0.33271609980164246,full_count,0.3602212602212602
128,relative10_sequence_ce,23,L2,128,128,L1,,1.0,0.4657534246575342,0.4602106227106227,0.4589585327976824,full_count,0.386940836940837
128,relative10_sequence_ce,101,L2,128,128,L1,,0.01,0.410958904109589,0.3984140859140859,0.352798705395389,full_count,0.3840007215007215
128,relative10_sequence_ce,11,L2,2048,2048,L2,,1.0,0.4931506849315068,0.4865613553113553,0.48443060601782717,fixed250,0.5292568542568542
128,relative10_sequence_ce,23,L2,2048,2048,L2,,0.01,0.5684931506849316,0.5531406093906094,0.559480221145473,fixed250,0.5301346801346801
128,relative10_sequence_ce,101,L2,2048,2048,L2,,0.1,0.5684931506849316,0.5524954212454212,0.5603565628820298,fixed250,0.5364237614237615
128,relative10_sequence_ce,11,L2,128,2048,L2,0.9334020614624023,10.0,0.4520547945205479,0.44440073815073816,0.4369449085831123,fixed250_pca128,0.47121813371813376
128,relative10_sequence_ce,23,L2,128,2048,L2,0.9444032311439514,0.1,0.547945205479452,0.5351572039072039,0.5419058670466056,fixed250_pca128,0.49494949494949486
128,relative10_sequence_ce,101,L2,128,2048,L2,0.9402329921722412,1.0,0.5205479452054794,0.5102945665445665,0.5039062425791101,fixed250_pca128,0.48915945165945157
128,relative10_sequence_ce,11,L2,128,128,L2,,1.0,0.4657534246575342,0.4685085747585747,0.45849260742087566,full_count,0.4050986050986051
128,relative10_sequence_ce,23,L2,128,128,L2,,1.0,0.4657534246575342,0.4579899267399267,0.4554277617188098,full_count,0.40949374699374697
128,relative10_sequence_ce,101,L2,128,128,L2,,0.1,0.4726027397260274,0.4652028527028527,0.45960792127100425,full_count,0.49163660413660404
256,relative10_sequence_ce,11,L2,2048,2048,L1,,0.1,0.4315068493150685,0.42676698301698296,0.43285895138836317,fixed250,0.48145743145743153
256,relative10_sequence_ce,23,L2,2048,2048,L1,,0.1,0.5273972602739726,0.5139714452214451,0.5025407775401921,fixed250,0.46697330447330443
256,relative10_sequence_ce,101,L2,2048,2048,L1,,0.1,0.4863013698630137,0.473987123987124,0.4647117075178395,fixed250,0.462012987012987
256,relative10_sequence_ce,11,L2,128,2048,L1,0.9175295829772949,1.0,0.4315068493150685,0.42902167277167275,0.43079174129043935,fixed250_pca128,0.42038239538239536
256,relative10_sequence_ce,23,L2,128,2048,L1,0.9146769046783447,1.0,0.4794520547945205,0.4684718059718059,0.47724752953146377,fixed250_pca128,0.44862313612313615
256,relative10_sequence_ce,101,L2,128,2048,L1,0.9170705676078796,1.0,0.4657534246575342,0.45450660450660446,0.4442083783953073,fixed250_pca128,0.5119227994227994
256,relative10_sequence_ce,11,L2,128,128,L1,,0.1,0.4726027397260274,0.4676601176601176,0.45943094845948923,full_count,0.38142135642135644
256,relative10_sequence_ce,23,L2,128,128,L1,,1.0,0.3904109589041096,0.3886988011988011,0.3742784070149799,full_count,0.4133597883597884
256,relative10_sequence_ce,101,L2,128,128,L1,,1.0,0.4794520547945205,0.4769112831612832,0.45612832889754146,full_count,0.37401394901394897
256,relative10_sequence_ce,11,L2,4096,4096,L2,,0.01,0.5205479452054794,0.5042069042069042,0.5144974736306005,fixed250,0.49819624819624825
256,relative10_sequence_ce,23,L2,4096,4096,L2,,1.0,0.5342465753424658,0.5246413308913308,0.5188058263137718,fixed250,0.5168831168831168
256,relative10_sequence_ce,101,L2,4096,4096,L2,,1.0,0.5342465753424658,0.5162851037851038,0.5170111889410135,fixed250,0.5162878787878787
256,relative10_sequence_ce,11,L2,128,4096,L2,0.9210084676742554,0.1,0.5068493150684932,0.5000894938394939,0.5149192854031565,fixed250_pca128,0.4384018759018759
256,relative10_sequence_ce,23,L2,128,4096,L2,0.9203813076019287,1.0,0.4863013698630137,0.4773469585969585,0.4841960497778624,fixed250_pca128,0.4646584896584896
256,relative10_sequence_ce,101,L2,128,4096,L2,0.9261882305145264,0.1,0.5547945205479452,0.5411456598956599,0.543284801618135,fixed250_pca128,0.5207070707070707
256,relative10_sequence_ce,11,L2,256,256,L2,,1.0,0.4178082191780822,0.41306055056055047,0.4062289803678498,full_count,0.3996392496392496
256,relative10_sequence_ce,23,L2,256,256,L2,,1.0,0.4726027397260274,0.4669164169164169,0.4749485297311384,full_count,0.44375300625300623
256,relative10_sequence_ce,101,L2,256,256,L2,,0.1,0.4863013698630137,0.48499209124209125,0.49116349168073303,full_count,0.44550865800865797
32,timestep_ce,11,L2,2048,2048,L1,,10.0,0.5342465753424658,0.5259976134976135,0.5361463019551255,fixed250,0.5556457431457432
32,timestep_ce,23,L2,2048,2048,L1,,1.0,0.541095890410959,0.5317002442002442,0.5397628621022972,fixed250,0.5383477633477634
32,timestep_ce,101,L2,2048,2048,L1,,0.1,0.5821917808219178,0.5689407814407814,0.5757758764320886,fixed250,0.553589466089466
32,timestep_ce,11,L2,128,2048,L1,0.8937432169914246,10.0,0.4520547945205479,0.4550269175269175,0.45994467253497184,fixed250_pca128,0.5090127465127464
32,timestep_ce,23,L2,128,2048,L1,0.8838749527931213,10.0,0.4931506849315068,0.4864052614052614,0.48073308639275664,fixed250_pca128,0.5029942279942279
32,timestep_ce,101,L2,128,2048,L1,0.8868905305862427,10.0,0.5136986301369864,0.5091325341325341,0.5157573205849068,fixed250_pca128,0.5301767676767677
32,timestep_ce,11,L2,128,128,L1,,1.0,0.4863013698630137,0.47532606282606277,0.48110585857357435,full_count,0.5386423761423761
32,timestep_ce,23,L2,128,128,L1,,0.1,0.5821917808219178,0.5674887612387612,0.566037227963379,full_count,0.5430615680615681
32,timestep_ce,101,L2,128,128,L1,,0.1,0.589041095890411,0.5662851037851037,0.5588169686475314,full_count,0.5041065416065417
32,timestep_ce,11,L2,512,512,L2,,10.0,0.5684931506849316,0.5565018315018315,0.5591313236938954,fixed250,0.5629208754208754
32,timestep_ce,23,L2,512,512,L2,,1.0,0.5753424657534246,0.5645354645354644,0.5637018790908951,fixed250,0.5842472342472342
32,timestep_ce,101,L2,512,512,L2,,10.0,0.5753424657534246,0.5666167166167165,0.5664141552873355,fixed250,0.6315235690235691
32,timestep_ce,11,L2,128,512,L2,0.9667184352874756,0.1,0.5616438356164384,0.5444617882117881,0.5499702192230927,fixed250_pca128,0.4958874458874459
32,timestep_ce,23,L2,128,512,L2,0.9681804180145264,1.0,0.541095890410959,0.5304827117327117,0.5402710593500067,fixed250_pca128,0.5160233285233286
32,timestep_ce,101,L2,128,512,L2,0.9696098566055298,0.1,0.5547945205479452,0.5395985958485959,0.5489039815548437,fixed250_pca128,0.5179353054353054
32,timestep_ce,11,L2,32,32,L2,,0.01,0.5958904109589042,0.5727633477633477,0.5585382325674041,full_count,0.4848304473304473
32,timestep_ce,23,L2,32,32,L2,,1.0,0.547945205479452,0.5430028305028305,0.5403633133404276,full_count,0.5531866281866282
32,timestep_ce,101,L2,32,32,L2,,0.1,0.6027397260273972,0.5851412476412476,0.5782724248483474,full_count,0.5723605098605098
64,timestep_ce,11,L2,2048,2048,L1,,10.0,0.5136986301369864,0.4993249805749806,0.5127929464656698,fixed250,0.5187409812409812
64,timestep_ce,23,L2,2048,2048,L1,,1.0,0.5753424657534246,0.5569007381507382,0.5416311696327637,fixed250,0.5051767676767677
64,timestep_ce,101,L2,2048,2048,L1,,10.0,0.5273972602739726,0.5157301032301033,0.5215436062356352,fixed250,0.5423881673881674
64,timestep_ce,11,L2,128,2048,L1,0.884509801864624,10.0,0.5,0.4877046564546564,0.4783413106071775,fixed250_pca128,0.4844035594035594
64,timestep_ce,23,L2,128,2048,L1,0.8762596249580383,0.1,0.5342465753424658,0.5251755189255188,0.5338523483684774,fixed250_pca128,0.48506493506493503
64,timestep_ce,101,L2,128,2048,L1,0.8794143795967102,0.1,0.5205479452054794,0.5170898545898546,0.5281539542808072,fixed250_pca128,0.5601010101010101
64,timestep_ce,11,L2,128,128,L1,,0.1,0.5684931506849316,0.5585941835941836,0.5500479127388582,full_count,0.5236231361231362
64,timestep_ce,23,L2,128,128,L1,,1.0,0.5821917808219178,0.5715694028194028,0.5543278602421825,full_count,0.4975228475228475
64,timestep_ce,101,L2,128,128,L1,,0.1,0.6232876712328768,0.6078234265734265,0.6091838991854976,full_count,0.5598965848965849
64,timestep_ce,11,L2,1024,1024,L2,,1.0,0.5684931506849316,0.5590541403041404,0.5487329782289857,fixed250,0.5457491582491582
64,timestep_ce,23,L2,1024,1024,L2,,0.1,0.6232876712328768,0.6081862581862582,0.6074534940626565,fixed250,0.550036075036075
64,timestep_ce,101,L2,1024,1024,L2,,1.0,0.5342465753424658,0.5215069652569653,0.515562724693202,fixed250,0.5993987493987494
64,timestep_ce,11,L2,128,1024,L2,0.9492096900939941,0.01,0.5821917808219178,0.5612144799644799,0.5618475689603052,fixed250_pca128,0.4796356421356421
64,timestep_ce,23,L2,128,1024,L2,0.9449234008789062,1.0,0.5684931506849316,0.5614482739482739,0.5581894551192796,fixed250_pca128,0.49435425685425677
64,timestep_ce,101,L2,128,1024,L2,0.9485294818878174,0.01,0.589041095890411,0.5768460705960706,0.5821722549787478,fixed250_pca128,0.5265632515632516
64,timestep_ce,11,L2,64,64,L2,,0.1,0.5547945205479452,0.544058719058719,0.537078386748978,full_count,0.5206770081770081
64,timestep_ce,23,L2,64,64,L2,,0.1,0.6506849315068494,0.6316329503829503,0.6401226319384886,full_count,0.5544733044733045
64,timestep_ce,101,L2,64,64,L2,,0.1,0.589041095890411,0.5883789821289821,0.5854970164244357,full_count,0.5217291967291967
128,timestep_ce,11,L2,2048,2048,L1,,1.0,0.5,0.4893641081141081,0.5008559893828657,fixed250,0.565494227994228
128,timestep_ce,23,L2,2048,2048,L1,,0.1,0.5342465753424658,0.5261849261849262,0.5135391398785365,fixed250,0.550974025974026
128,timestep_ce,101,L2,2048,2048,L1,,0.1,0.5753424657534246,0.5594398656898657,0.5640212048492182,fixed250,0.5585497835497836
128,timestep_ce,11,L2,128,2048,L1,0.8848539590835571,0.1,0.5273972602739726,0.5150814463314464,0.5121270870412747,fixed250_pca128,0.5120129870129869
128,timestep_ce,23,L2,128,2048,L1,0.879967212677002,0.1,0.5342465753424658,0.5251165501165501,0.5334806307813273,fixed250_pca128,0.523953823953824
