variant,coding,l1_mem_shift,l2_mem_shift,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
postencode_mask,binary,2,2,0,11,l1__spike__whole_count,l1,spike,whole_count,128,0.1,0.5056023837273838,1999038980,"[{""C"": 0.001, ""val_ba"": 0.3987234987234987}, {""C"": 0.01, ""val_ba"": 0.48029158341658335}, {""C"": 0.1, ""val_ba"": 0.5056023837273838}, {""C"": 1.0, ""val_ba"": 0.5000468281718281}, {""C"": 10.0, ""val_ba"": 0.4723699911199912}]",0.9235294117647059,0.920481452774378,0.9276605006113191,0.5088757396449705,0.5056023837273838,0.49314779315357105,0.4942528735632184,0.4777753496503496,0.4778916335840133,0.47368421052631576,0.455787037037037,0.45456602931027484,0.5189873417721519,0.5059523809523809,0.48882958828611006
postencode_mask,binary,2,2,0,11,l1__spike__fixed250_count,l1,spike,fixed250_count,2048,0.01,0.6287001193251193,1920234153,"[{""C"": 0.001, ""val_ba"": 0.553600912975913}, {""C"": 0.01, ""val_ba"": 0.6287001193251193}, {""C"": 0.1, ""val_ba"": 0.6081168831168832}, {""C"": 1.0, ""val_ba"": 0.610410076035076}, {""C"": 10.0, ""val_ba"": 0.5881382506382505}]",0.9490196078431372,0.9476267030487517,0.9521504597542627,0.6331360946745562,0.6287001193251193,0.6228329119694641,0.6724137931034483,0.6657835424379542,0.6476720263822893,0.6210526315789474,0.6050925925925926,0.5787951449135661,0.7341772151898734,0.7370039682539682,0.7171778112954583
postencode_mask,binary,2,2,0,11,l2__syn_current__whole_mean,l2,syn_current,whole_mean,128,0.001,0.5239042207792207,1258749879,"[{""C"": 0.001, ""val_ba"": 0.5239042207792207}, {""C"": 0.01, ""val_ba"": 0.49312527750027746}, {""C"": 0.1, ""val_ba"": 0.48310543623043617}, {""C"": 1.0, ""val_ba"": 0.49201319513819514}, {""C"": 10.0, ""val_ba"": 0.5035821817071817}]",0.8019607843137255,0.7770765481438682,0.7774606323757363,0.5502958579881657,0.5239042207792207,0.5112714556185859,0.4885057471264368,0.4627209595959596,0.4435177709852423,0.4842105263157895,0.45925925925925926,0.4481020509281379,0.4936708860759494,0.47192460317460316,0.4285361074254263
postencode_mask,binary,2,2,0,11,l2__syn_current__fixed250_ordered_mean,l2,syn_current,fixed250_ordered_mean,2048,0.001,0.6404085497835498,2860308159,"[{""C"": 0.001, ""val_ba"": 0.6404085497835498}, {""C"": 0.01, ""val_ba"": 0.6389298201798201}, {""C"": 0.1, ""val_ba"": 0.6150554306804307}, {""C"": 1.0, ""val_ba"": 0.6322295759795759}, {""C"": 10.0, ""val_ba"": 0.5918793012543012}]",0.9,0.8937710988610682,0.8998885656831908,0.650887573964497,0.6404085497835498,0.6402097904922394,0.6149425287356322,0.6066919191919191,0.6028532204440435,0.5684210526315789,0.555324074074074,0.5453185045948203,0.6708860759493671,0.6703373015873016,0.6695624250190814
postencode_mask,binary,2,2,0,11,l2__pre_reset__whole_mean,l2,pre_reset,whole_mean,128,0.1,0.49873043623043617,3820077797,"[{""C"": 0.001, ""val_ba"": 0.49425678488178487}, {""C"": 0.01, ""val_ba"": 0.4922705766455766}, {""C"": 0.1, ""val_ba"": 0.49873043623043617}, {""C"": 1.0, ""val_ba"": 0.49122890997891}, {""C"": 10.0, ""val_ba"": 0.4900634088134088}]",0.9254901960784314,0.9235410010899926,0.927382120066308,0.5029585798816568,0.49873043623043617,0.4884391364788796,0.5057471264367817,0.4897461607020432,0.49213410686370823,0.5263157894736842,0.5067129629629629,0.5095655013039585,0.4810126582278481,0.4701388888888889,0.4585964345252271
postencode_mask,binary,2,2,0,11,l2__pre_reset__fixed250_ordered_mean,l2,pre_reset,fixed250_ordered_mean,2048,0.001,0.6343455155955156,3627450176,"[{""C"": 0.001, ""val_ba"": 0.6343455155955156}, {""C"": 0.01, ""val_ba"": 0.6073728354978355}, {""C"": 0.1, ""val_ba"": 0.624220571095571}, {""C"": 1.0, ""val_ba"": 0.6138039044289044}, {""C"": 10.0, ""val_ba"": 0.6207216394716394}]",0.8725490196078431,0.8649641411399976,0.8743180764569797,0.6449704142011834,0.6343455155955156,0.6321964066839357,0.5689655172413793,0.5560241841491841,0.5499204119317104,0.5473684210526316,0.5356481481481482,0.5225715841892312,0.5949367088607594,0.5790674603174603,0.5688808138885538
postencode_mask,binary,2,2,0,11,l2__spike__whole_mean,l2,spike,whole_mean,128,0.001,0.5707389832389832,2653599798,"[{""C"": 0.001, ""val_ba"": 0.5707389832389832}, {""C"": 0.01, ""val_ba"": 0.5351887695637695}, {""C"": 0.1, ""val_ba"": 0.516763098013098}, {""C"": 1.0, ""val_ba"": 0.5247224997224996}, {""C"": 10.0, ""val_ba"": 0.5500201187701187}]",0.8960784313725491,0.8831854015359694,0.8905843622527158,0.591715976331361,0.5707389832389832,0.5649298064914393,0.5459770114942529,0.5177046197266785,0.5050888439387738,0.5473684210526316,0.5217592592592591,0.5142241838255771,0.5443037974683544,0.5180555555555556,0.4828990889285007
postencode_mask,binary,2,2,0,11,l2__spike__fixed250_ordered_mean,l2,spike,fixed250_ordered_mean,2048,0.1,0.6282634032634032,3820280440,"[{""C"": 0.001, ""val_ba"": 0.6125811688311688}, {""C"": 0.01, ""val_ba"": 0.6086854118104118}, {""C"": 0.1, ""val_ba"": 0.6282634032634032}, {""C"": 1.0, ""val_ba"": 0.6154428904428904}, {""C"": 10.0, ""val_ba"": 0.6130390442890442}]",1.0,1.0,1.0,0.6331360946745562,0.6282634032634032,0.6236457065399948,0.5977011494252874,0.5881244572421042,0.5855056506562709,0.5368421052631579,0.5217592592592591,0.5203347850406673,0.6708860759493671,0.6842261904761905,0.6536842242724594
postencode_mask,binary,2,2,0,11,l2__post_reset__whole_mean,l2,post_reset,whole_mean,128,1.0,0.5143554362304362,3394560219,"[{""C"": 0.001, ""val_ba"": 0.4878465284715285}, {""C"": 0.01, ""val_ba"": 0.4806519869019869}, {""C"": 0.1, ""val_ba"": 0.492667402042402}, {""C"": 1.0, ""val_ba"": 0.5143554362304362}, {""C"": 10.0, ""val_ba"": 0.49958513708513713}]",0.9823529411764705,0.98211699159282,0.983118959137947,0.514792899408284,0.5143554362304362,0.4982475248724714,0.5229885057471264,0.510351678550208,0.5148051069120526,0.5368421052631579,0.5194444444444444,0.524512679872587,0.5063291139240507,0.49613095238095234,0.4831959706959707
postencode_mask,binary,2,2,0,11,l2__post_reset__fixed250_ordered_mean,l2,post_reset,fixed250_ordered_mean,2048,0.001,0.6404085497835498,708237732,"[{""C"": 0.001, ""val_ba"": 0.6404085497835498}, {""C"": 0.01, ""val_ba"": 0.6233450577200578}, {""C"": 0.1, ""val_ba"": 0.6021853146853147}, {""C"": 1.0, ""val_ba"": 0.5926233488733489}, {""C"": 10.0, ""val_ba"": 0.5926233488733489}]",0.8549019607843137,0.8454125840927483,0.8566959332958235,0.650887573964497,0.6404085497835498,0.6411080375100066,0.5517241379310345,0.5385028166278166,0.5274899328144765,0.5368421052631579,0.5252314814814815,0.5114899220557788,0.569620253164557,0.5552579365079365,0.5377915814835319
postencode_mask,binary,2,2,0,11,l2__spike__whole_count,l2,spike,whole_count,128,0.01,0.5763687701187701,3637880785,"[{""C"": 0.001, ""val_ba"": 0.5163284632034632}, {""C"": 0.01, ""val_ba"": 0.5763687701187701}, {""C"": 0.1, ""val_ba"": 0.5440066877566877}, {""C"": 1.0, ""val_ba"": 0.545555833055833}, {""C"": 10.0, ""val_ba"": 0.5559724997224996}]",0.9529411764705882,0.953122559847309,0.9550716503923842,0.5798816568047337,0.5763687701187701,0.562415944270783,0.6264367816091954,0.6163185874582934,0.615978200395913,0.5894736842105263,0.5784722222222222,0.5739840171905389,0.6708860759493671,0.6609126984126984,0.6541018679176575
postencode_mask,binary,2,2,0,11,l2__spike__fixed250_count,l2,spike,fixed250_count,2048,10.0,0.6435047591297591,3030574119,"[{""C"": 0.001, ""val_ba"": 0.6206148018648019}, {""C"": 0.01, ""val_ba"": 0.6362762237762237}, {""C"": 0.1, ""val_ba"": 0.6362762237762237}, {""C"": 1.0, ""val_ba"": 0.6322698135198135}, {""C"": 10.0, ""val_ba"": 0.6435047591297591}]",1.0,1.0,1.0,0.6449704142011834,0.6435047591297591,0.6352928067845384,0.6149425287356322,0.6053674470953883,0.6016420223866304,0.5263157894736842,0.5101851851851852,0.506761743158802,0.7215189873417721,0.7305555555555555,0.7142526455026456
