seed,backbone_objective,method,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,source_p7_test_ba,delta_vs_affine_p7_pp,selected_C,weight_l2,effective_intercept_l2
11,tsce,if_beta1_bias_start_count,0.6581531441797813,0.2883658008658009,0.345514208014208,0.3561643835616438,0.38488319444410185,0.6151737151737151,-26.965950715950708,0.01,0.10364739494883903,5.1902737500052005
23,tsce,if_beta1_bias_start_count,0.8076846549475828,0.4457732082732084,0.484191502941503,0.4931506849315068,0.4845913389305838,0.5594148906648906,-7.5223387723387605,0.1,0.3015843366185034,5.88943487548738
37,tsce,if_beta1_bias_start_count,0.8754961600614429,0.44332611832611835,0.5367937617937618,0.547945205479452,0.5382532218739116,0.6137758075258076,-7.698204573204581,0.1,0.2397413924566078,5.095232878112108
11,tsce,lif_beta05_bias_end,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.6151737151737151,-53.18403818403817,0.01,0.10364739494883903,5.1902737500052005
23,tsce,lif_beta05_bias_end,0.08506944444444443,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5594148906648906,-47.608155733155726,0.1,0.3015843366185034,5.88943487548738
37,tsce,lif_beta05_bias_end,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.6137758075258076,-53.04424741924743,0.1,0.2397413924566078,5.095232878112108
11,tsce,lif_beta05_bias_start,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.6151737151737151,-53.18403818403817,0.01,0.10364739494883903,5.1902737500052005
23,tsce,lif_beta05_bias_start,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5594148906648906,-47.608155733155726,0.1,0.3015843366185034,5.88943487548738
37,tsce,lif_beta05_bias_start,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.6137758075258076,-53.04424741924743,0.1,0.2397413924566078,5.095232878112108
11,tsce,lif_beta05_w_only,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,0.6151737151737151,-53.18403818403817,0.01,0.10364739494883903,5.1902737500052005
23,tsce,lif_beta05_w_only,0.08962264150943396,0.08333333333333333,0.09523809523809523,0.08904109589041095,0.032661290322580645,0.5594148906648906,-46.41767954267954,0.1,0.3015843366185034,5.88943487548738
37,tsce,lif_beta05_w_only,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,0.6137758075258076,-53.04424741924743,0.1,0.2397413924566078,5.095232878112108
11,wcce,analog_affine,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474,0.5758297258297258,0.0,0.01,0.07930641981107847,4.825347211892973
23,wcce,analog_affine,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674,0.5878697691197691,0.0,0.01,0.07938502026111048,4.987903772204378
37,wcce,analog_affine,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186,0.5951208513708514,0.0,0.01,0.07887105921408036,4.698218171864885
11,wcce,analog_w_only,0.7377220096681746,0.41190476190476194,0.4468559218559218,0.4589041095890411,0.40856407495040853,0.5758297258297258,-12.897380397380399,0.01,0.07930641981107847,4.825347211892973
23,wcce,analog_w_only,0.6749898139639526,0.4271524771524771,0.4186223498723498,0.4383561643835616,0.3654105793601779,0.5878697691197691,-16.924741924741927,0.01,0.07938502026111048,4.987903772204378
37,wcce,analog_w_only,0.7087222025189397,0.41865079365079366,0.3823648573648573,0.4041095890410959,0.34343981207897106,0.5951208513708514,-21.275599400599404,0.01,0.07887105921408036,4.698218171864885
11,wcce,if_beta1_bias_end_charge,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474,0.5758297258297258,0.0,0.01,0.07930641981107847,4.825347211892973
23,wcce,if_beta1_bias_end_charge,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674,0.5878697691197691,0.0,0.01,0.07938502026111048,4.987903772204378
37,wcce,if_beta1_bias_end_charge,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186,0.5951208513708514,0.0,0.01,0.07887105921408036,4.698218171864885
11,wcce,if_beta1_bias_end_count,0.780331240548077,0.42083333333333334,0.47743437118437115,0.4863013698630137,0.44135069709479874,0.5758297258297258,-9.839535464535466,0.01,0.07930641981107847,4.825347211892973
23,wcce,if_beta1_bias_end_count,0.7147623272847486,0.4531144781144782,0.4464209401709402,0.4657534246575342,0.4174709232573682,0.5878697691197691,-14.144882894882887,0.01,0.07938502026111048,4.987903772204378
37,wcce,if_beta1_bias_end_count,0.7664136988746145,0.452946127946128,0.4502428127428127,0.4726027397260274,0.411028088277879,0.5951208513708514,-14.487803862803867,0.01,0.07887105921408036,4.698218171864885
11,wcce,if_beta1_bias_start_charge,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474,0.5758297258297258,0.0,0.01,0.07930641981107847,4.825347211892973
23,wcce,if_beta1_bias_start_charge,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674,0.5878697691197691,0.0,0.01,0.07938502026111048,4.987903772204378
37,wcce,if_beta1_bias_start_charge,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186,0.5951208513708514,0.0,0.01,0.07887105921408036,4.698218171864885
11,wcce,if_beta1_bias_start_count,0.8241606462428458,0.39796176046176046,0.4009469696969697,0.4246575342465753,0.4250255938421506,0.5758297258297258,-17.48827561327561,0.01,0.07930641981107847,4.825347211892973
23,wcce,if_beta1_bias_start_count,0.7855416522037092,0.416480278980279,0.4669663669663669,0.4863013698630137,0.48456894885649704,0.5878697691197691,-12.090340215340218,0.01,0.07938502026111048,4.987903772204378
37,wcce,if_beta1_bias_start_count,0.8284638501546834,0.44502164502164504,0.4576028138528137,0.4726027397260274,0.47119241012798435,0.5951208513708514,-13.751803751803765,0.01,0.07887105921408036,4.698218171864885
11,wcce,lif_beta05_bias_end,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5758297258297258,-49.24963924963925,0.01,0.07930641981107847,4.825347211892973
23,wcce,lif_beta05_bias_end,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5878697691197691,-50.45364357864357,0.01,0.07938502026111048,4.987903772204378
37,wcce,lif_beta05_bias_end,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5951208513708514,-51.1787518037518,0.01,0.07887105921408036,4.698218171864885
11,wcce,lif_beta05_bias_start,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5758297258297258,-49.24963924963925,0.01,0.07930641981107847,4.825347211892973
23,wcce,lif_beta05_bias_start,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5878697691197691,-50.45364357864357,0.01,0.07938502026111048,4.987903772204378
37,wcce,lif_beta05_bias_start,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08904109589041095,0.013626834381551363,0.5951208513708514,-51.1787518037518,0.01,0.07887105921408036,4.698218171864885
11,wcce,lif_beta05_w_only,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,0.5758297258297258,-49.24963924963925,0.01,0.07930641981107847,4.825347211892973
23,wcce,lif_beta05_w_only,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,0.5878697691197691,-50.45364357864357,0.01,0.07938502026111048,4.987903772204378
37,wcce,lif_beta05_w_only,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,0.5951208513708514,-51.1787518037518,0.01,0.07887105921408036,4.698218171864885
