effect,variant,seed,readout,delta_balanced_accuracy,representation
repeat4_minus_fixed250,multi_h,37,output_whole_count,-0.03834082584082585,
raw64_minus_repeat4,multi_h,37,output_whole_count,0.06133033633033633,
raw64_minus_fixed250,multi_h,37,output_whole_count,0.02298951048951048,
repeat4_minus_fixed250,multi_h,37,hidden_whole_count_linear,-0.17697580197580198,
raw64_minus_repeat4,multi_h,37,hidden_whole_count_linear,0.10866286491286493,
raw64_minus_fixed250,multi_h,37,hidden_whole_count_linear,-0.06831293706293703,
repeat4_minus_fixed250,multi_h,37,uend_linear,-0.2230672105672106,
raw64_minus_repeat4,multi_h,37,uend_linear,0.068018093018093,
raw64_minus_fixed250,multi_h,37,uend_linear,-0.1550491175491176,
repeat4_minus_fixed250,multi_h,53,output_whole_count,-0.05862193362193366,
raw64_minus_repeat4,multi_h,53,output_whole_count,0.02416125541125544,
raw64_minus_fixed250,multi_h,53,output_whole_count,-0.03446067821067822,
repeat4_minus_fixed250,multi_h,53,hidden_whole_count_linear,-0.1947816072816073,
raw64_minus_repeat4,multi_h,53,hidden_whole_count_linear,-0.028154484404484398,
raw64_minus_fixed250,multi_h,53,hidden_whole_count_linear,-0.2229360916860917,
repeat4_minus_fixed250,multi_h,53,uend_linear,-0.2187284937284937,
raw64_minus_repeat4,multi_h,53,uend_linear,0.04322413697413696,
raw64_minus_fixed250,multi_h,53,uend_linear,-0.17550435675435674,
repeat4_minus_fixed250,multi_h,71,output_whole_count,-0.16567321567321572,
raw64_minus_repeat4,multi_h,71,output_whole_count,0.04158341658341663,
raw64_minus_fixed250,multi_h,71,output_whole_count,-0.12408979908979909,
repeat4_minus_fixed250,multi_h,71,hidden_whole_count_linear,-0.1677607115107115,
raw64_minus_repeat4,multi_h,71,hidden_whole_count_linear,0.0219877344877345,
raw64_minus_fixed250,multi_h,71,hidden_whole_count_linear,-0.145772977022977,
repeat4_minus_fixed250,multi_h,71,uend_linear,-0.1685481185481186,
raw64_minus_repeat4,multi_h,71,uend_linear,0.0058018370518370666,
raw64_minus_fixed250,multi_h,71,uend_linear,-0.16274628149628154,
repeat4_minus_fixed250,multi_ho,11,output_whole_count,-0.24179362304362298,
raw64_minus_repeat4,multi_ho,11,output_whole_count,0.08161075036075036,
raw64_minus_fixed250,multi_ho,11,output_whole_count,-0.16018287268287262,
repeat4_minus_fixed250,multi_ho,11,hidden_whole_count_linear,-0.3144147519147519,
raw64_minus_repeat4,multi_ho,11,hidden_whole_count_linear,0.14758297258297257,
raw64_minus_fixed250,multi_ho,11,hidden_whole_count_linear,-0.16683177933177934,
repeat4_minus_fixed250,multi_ho,11,uend_linear,-0.2862019924519924,
raw64_minus_repeat4,multi_ho,11,uend_linear,0.05623126873126874,
raw64_minus_fixed250,multi_ho,11,uend_linear,-0.22997072372072364,
repeat4_minus_fixed250,multi_ho,23,output_whole_count,-0.17921939171939166,
raw64_minus_repeat4,multi_ho,23,output_whole_count,0.10677100677100676,
raw64_minus_fixed250,multi_ho,23,output_whole_count,-0.0724483849483849,
repeat4_minus_fixed250,multi_ho,23,hidden_whole_count_linear,-0.2407113719613719,
raw64_minus_repeat4,multi_ho,23,hidden_whole_count_linear,0.06390276390276392,
raw64_minus_fixed250,multi_ho,23,hidden_whole_count_linear,-0.17680860805860799,
repeat4_minus_fixed250,multi_ho,23,uend_linear,-0.2516761016761016,
raw64_minus_repeat4,multi_ho,23,uend_linear,0.1383866133866134,
raw64_minus_fixed250,multi_ho,23,uend_linear,-0.1132894882894882,
repeat4_minus_fixed250,multi_ho,37,output_whole_count,-0.21554209679209674,
raw64_minus_repeat4,multi_ho,37,output_whole_count,0.06245490620490618,
raw64_minus_fixed250,multi_ho,37,output_whole_count,-0.15308719058719056,
repeat4_minus_fixed250,multi_ho,37,hidden_whole_count_linear,-0.19802281052281046,
raw64_minus_repeat4,multi_ho,37,hidden_whole_count_linear,0.03862040737040734,
raw64_minus_fixed250,multi_ho,37,hidden_whole_count_linear,-0.15940240315240312,
repeat4_minus_fixed250,multi_ho,37,uend_linear,-0.26073995448995446,
raw64_minus_repeat4,multi_ho,37,uend_linear,0.14596653346653346,
raw64_minus_fixed250,multi_ho,37,uend_linear,-0.11477342102342097,
repeat4_minus_fixed250,multi_ho,53,output_whole_count,-0.2278242590742591,
raw64_minus_repeat4,multi_ho,53,output_whole_count,0.07792277167277165,
raw64_minus_fixed250,multi_ho,53,output_whole_count,-0.14990148740148745,
repeat4_minus_fixed250,multi_ho,53,hidden_whole_count_linear,-0.22981046731046736,
raw64_minus_repeat4,multi_ho,53,hidden_whole_count_linear,0.09812271062271063,
raw64_minus_fixed250,multi_ho,53,hidden_whole_count_linear,-0.13168775668775673,
repeat4_minus_fixed250,multi_ho,53,uend_linear,-0.24450410700410694,
raw64_minus_repeat4,multi_ho,53,uend_linear,0.06572247197247191,
raw64_minus_fixed250,multi_ho,53,uend_linear,-0.17878163503163502,
repeat4_minus_fixed250,multi_ho,71,output_whole_count,-0.2100503663003663,
raw64_minus_repeat4,multi_ho,71,output_whole_count,0.007881701631701654,
raw64_minus_fixed250,multi_ho,71,output_whole_count,-0.20216866466866465,
repeat4_minus_fixed250,multi_ho,71,hidden_whole_count_linear,-0.3026300088800089,
raw64_minus_repeat4,multi_ho,71,hidden_whole_count_linear,0.10290404040404041,
raw64_minus_fixed250,multi_ho,71,hidden_whole_count_linear,-0.19972596847596846,
repeat4_minus_fixed250,multi_ho,71,uend_linear,-0.29392968142968134,
raw64_minus_repeat4,multi_ho,71,uend_linear,0.10497211122211123,
raw64_minus_fixed250,multi_ho,71,uend_linear,-0.1889575702075701,
multi_h_minus_binary,,11,output_whole_count,-0.057045732045732045,fixed250
multi_ho_minus_binary,,11,output_whole_count,0.10896048396048391,fixed250
multi_h_minus_binary,,11,hidden_whole_count_linear,0.09636127761127766,fixed250
multi_ho_minus_binary,,11,hidden_whole_count_linear,0.17984099234099238,fixed250
multi_h_minus_binary,,11,uend_linear,0.021115689865689957,fixed250
multi_ho_minus_binary,,11,uend_linear,0.14644730269730266,fixed250
multi_h_minus_binary,,23,output_whole_count,-0.033256327006327024,fixed250
multi_ho_minus_binary,,23,output_whole_count,0.060829448329448255,fixed250
multi_h_minus_binary,,23,hidden_whole_count_linear,-0.01569194694194692,fixed250
multi_ho_minus_binary,,23,hidden_whole_count_linear,0.10807248307248307,fixed250
multi_h_minus_binary,,23,uend_linear,0.0134275446775447,fixed250
multi_ho_minus_binary,,23,uend_linear,0.1320332445332445,fixed250
multi_h_minus_binary,,37,output_whole_count,-0.16755119880119881,fixed250
multi_ho_minus_binary,,37,output_whole_count,0.1681311743811743,fixed250
multi_h_minus_binary,,37,hidden_whole_count_linear,-0.04051434676434673,fixed250
multi_ho_minus_binary,,37,hidden_whole_count_linear,0.12213966588966585,fixed250
multi_h_minus_binary,,37,uend_linear,0.0051524864024865,fixed250
multi_ho_minus_binary,,37,uend_linear,0.12903416028416026,fixed250
multi_h_minus_binary,,53,output_whole_count,-0.09850566100566097,fixed250
multi_ho_minus_binary,,53,output_whole_count,0.15961260961260965,fixed250
multi_h_minus_binary,,53,hidden_whole_count_linear,0.09837731712731712,fixed250
multi_ho_minus_binary,,53,hidden_whole_count_linear,0.1548257298257299,fixed250
multi_h_minus_binary,,53,uend_linear,0.038485819735819715,fixed250
multi_ho_minus_binary,,53,uend_linear,0.14910991785991778,fixed250
multi_h_minus_binary,,71,output_whole_count,-0.05073051948051943,fixed250
multi_ho_minus_binary,,71,output_whole_count,0.05953144078144079,fixed250
multi_h_minus_binary,,71,hidden_whole_count_linear,-0.05138264513264512,fixed250
multi_ho_minus_binary,,71,hidden_whole_count_linear,0.11855644355644357,fixed250
multi_h_minus_binary,,71,uend_linear,-0.07425629925629917,fixed250
multi_ho_minus_binary,,71,uend_linear,0.05822996447996437,fixed250
multi_h_minus_binary,,11,output_whole_count,-0.046859390609390636,repeat4
multi_ho_minus_binary,,11,output_whole_count,0.05059801309801312,repeat4
multi_h_minus_binary,,11,hidden_whole_count_linear,0.008295177045177043,repeat4
multi_ho_minus_binary,,11,hidden_whole_count_linear,0.017929986679986687,repeat4
multi_h_minus_binary,,11,uend_linear,-0.025322594072594018,repeat4
multi_ho_minus_binary,,11,uend_linear,0.04393384393384395,repeat4
multi_h_minus_binary,,23,output_whole_count,-0.02249278499278498,repeat4
multi_ho_minus_binary,,23,output_whole_count,0.018056249306249272,repeat4
multi_h_minus_binary,,23,hidden_whole_count_linear,0.04071969696969699,repeat4
multi_ho_minus_binary,,23,hidden_whole_count_linear,0.08371281496281496,repeat4
multi_h_minus_binary,,23,uend_linear,0.07279040404040404,repeat4
multi_ho_minus_binary,,23,uend_linear,0.09837939837939838,repeat4
multi_h_minus_binary,,37,output_whole_count,-0.021239177489177488,repeat4
multi_ho_minus_binary,,37,output_whole_count,0.13724192474192476,repeat4
multi_h_minus_binary,,37,hidden_whole_count_linear,-0.039132395382395394,repeat4
multi_ho_minus_binary,,37,hidden_whole_count_linear,0.1024746087246087,repeat4
multi_h_minus_binary,,37,uend_linear,-0.0016143578643578738,repeat4
multi_ho_minus_binary,,37,uend_linear,0.08459457209457205,repeat4
multi_h_minus_binary,,53,output_whole_count,0.02457403707403709,repeat4
multi_ho_minus_binary,,53,output_whole_count,0.11348998223998226,repeat4
multi_h_minus_binary,,53,hidden_whole_count_linear,0.01702533577533577,repeat4
multi_ho_minus_binary,,53,hidden_whole_count_linear,0.03844488844488847,repeat4
multi_h_minus_binary,,53,uend_linear,-0.06012321012321012,repeat4
multi_ho_minus_binary,,53,uend_linear,0.02472527472527472,repeat4
multi_h_minus_binary,,71,output_whole_count,0.05015817515817514,repeat4
multi_ho_minus_binary,,71,output_whole_count,0.11604298479298478,repeat4
multi_h_minus_binary,,71,hidden_whole_count_linear,0.024267399267399264,repeat4
multi_ho_minus_binary,,71,hidden_whole_count_linear,0.059337190587190586,repeat4
multi_h_minus_binary,,71,uend_linear,0.026954989454989448,repeat4
multi_ho_minus_binary,,71,uend_linear,0.03405969030969028,repeat4
multi_h_minus_binary,,11,output_whole_count,0.021530552780552825,raw64
multi_ho_minus_binary,,11,output_whole_count,0.10237956487956495,raw64
multi_h_minus_binary,,11,hidden_whole_count_linear,-0.007365551115551122,raw64
multi_ho_minus_binary,,11,hidden_whole_count_linear,0.11823454323454322,raw64
multi_h_minus_binary,,11,uend_linear,-0.005509768009768018,raw64
multi_ho_minus_binary,,11,uend_linear,0.08712398712398711,raw64
multi_h_minus_binary,,23,output_whole_count,0.009271284271284291,raw64
multi_ho_minus_binary,,23,output_whole_count,0.08937867687867687,raw64
multi_h_minus_binary,,23,hidden_whole_count_linear,0.04747960372960369,raw64
multi_ho_minus_binary,,23,hidden_whole_count_linear,0.07557997557997559,raw64
multi_h_minus_binary,,23,uend_linear,0.03032592407592405,raw64
multi_ho_minus_binary,,23,uend_linear,0.1641580641580642,raw64
multi_h_minus_binary,,37,output_whole_count,0.000149156399156386,raw64
multi_ho_minus_binary,,37,output_whole_count,0.15975482850482847,raw64
multi_h_minus_binary,,37,hidden_whole_count_linear,-0.025671550671550636,raw64
multi_ho_minus_binary,,37,hidden_whole_count_linear,0.045892995892995864,raw64
multi_h_minus_binary,,37,uend_linear,-0.053891247641247586,raw64
multi_ho_minus_binary,,37,uend_linear,0.1102661227661228,raw64
multi_h_minus_binary,,53,output_whole_count,-0.07798312798312793,raw64
multi_ho_minus_binary,,53,output_whole_count,0.06469433344433345,raw64
multi_h_minus_binary,,53,hidden_whole_count_linear,-0.04125180375180379,raw64
multi_ho_minus_binary,,53,hidden_whole_count_linear,0.10644494394494394,raw64
multi_h_minus_binary,,53,uend_linear,-0.022777222777222772,raw64
multi_ho_minus_binary,,53,uend_linear,0.08456959706959702,raw64
multi_h_minus_binary,,71,output_whole_count,-0.010193278943278927,raw64
multi_ho_minus_binary,,71,output_whole_count,0.021989815739815732,raw64
multi_h_minus_binary,,71,hidden_whole_count_linear,-0.006771006771006782,raw64
multi_ho_minus_binary,,71,hidden_whole_count_linear,0.10921509046509045,raw64
multi_h_minus_binary,,71,uend_linear,0.018015318015318027,raw64
multi_ho_minus_binary,,71,uend_linear,0.12429029304029302,raw64
