bias_mode,case,feature_dim,fit_intercept,layer,normalization,representation,scaler_with_mean,seed,selected_C,test_accuracy,test_balanced_accuracy,test_macro_f1,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1
affine,C0_a2_2layer,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,1.0,0.547945205479452,0.5359772172272171,0.5423456375072508,0.9948364888123924,0.9949115971174795,0.9950930778169301,0.5714285714285714,0.560443722943723,0.5828799903799903
no_bias,C0_a2_2layer,2048,False,L1,train_only_scale_no_centering,fixed250,False,23,0.01,0.5547945205479452,0.5445970695970695,0.5403210278210279,0.9466437177280551,0.9451399059284712,0.9456505101754367,0.5555555555555556,0.544035594035594,0.5517207308919175
affine,C0_a2_2layer,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.01,0.6027397260273972,0.5878697691197691,0.5918189327859674,0.9036144578313253,0.8985211802679326,0.9048353299108571,0.5714285714285714,0.5597342472342473,0.5645234023352685
no_bias,C0_a2_2layer,128,False,L2,train_only_scale_no_centering,wholecount,False,23,10.0,0.5136986301369864,0.5069597069597068,0.5004077588926661,0.9948364888123924,0.9949115971174795,0.9949353435290612,0.5793650793650794,0.5698232323232323,0.579749872652686
affine,C0_a2_2layer,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,0.1,0.6164383561643836,0.6055305805305805,0.6114296861203555,0.9948364888123924,0.9949115971174795,0.9950930778169301,0.6031746031746031,0.5963804713804713,0.6122524285472417
no_bias,C0_a2_2layer,2048,False,L2,train_only_scale_no_centering,fixed250,False,23,0.1,0.6095890410958904,0.5971972471972471,0.6000744887932912,0.9948364888123924,0.9949115971174795,0.9949643201490684,0.5952380952380952,0.588047138047138,0.6082109473437378
affine,C0_a2_2layer,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,1.0,0.6232876712328768,0.6255293317793318,0.608619029112546,0.9586919104991394,0.9583641836544153,0.9598597199164192,0.5476190476190477,0.5264069264069263,0.5394338118022329
no_bias,C0_a2_2layer,128,False,L1,train_only_scale_no_centering,wholecount,False,37,1.0,0.6095890410958904,0.6087024087024088,0.6019720075868279,0.963855421686747,0.9635821170891449,0.9638087797041183,0.5317460317460317,0.5148268398268397,0.5232148667503358
affine,C0_a2_2layer,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,0.1,0.589041095890411,0.5739600677100677,0.5728090259921713,0.9793459552495697,0.9795506719975352,0.9808222805955823,0.5476190476190477,0.5329244829244829,0.5378709221486362
no_bias,C0_a2_2layer,2048,False,L1,train_only_scale_no_centering,fixed250,False,37,0.01,0.589041095890411,0.5744179431679431,0.5714791775381758,0.9500860585197934,0.9490081578602175,0.9488064172238416,0.5634920634920635,0.5553090428090429,0.5601832538335084
affine,C0_a2_2layer,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,0.01,0.6027397260273972,0.5951208513708514,0.5886323296910186,0.9173838209982789,0.9142970468060572,0.9185230914067345,0.5873015873015873,0.5677308802308801,0.5722902952522518
no_bias,C0_a2_2layer,128,False,L2,train_only_scale_no_centering,wholecount,False,37,0.01,0.589041095890411,0.5802190864690865,0.5690866349833742,0.9225473321858864,0.9213292716903475,0.9231270624488462,0.5793650793650794,0.5649891774891774,0.5642443667443668
affine,C0_a2_2layer,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,1.0,0.5753424657534246,0.5611131923631923,0.5651758722158869,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.6031746031746031,0.5937289562289564,0.606003247880912
no_bias,C0_a2_2layer,2048,False,L2,train_only_scale_no_centering,fixed250,False,37,10.0,0.5753424657534246,0.5642017704517704,0.5626797387578762,0.9982788296041308,0.9983974358974358,0.9983318319821173,0.5873015873015873,0.583116883116883,0.582217426106745
affine,C1_frozen_a2_train_l3,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,1.0,0.589041095890411,0.5772047397047396,0.5706377231925578,0.9586919104991394,0.958034309862185,0.9601729816029415,0.5317460317460317,0.5173039923039923,0.5141578791578791
no_bias,C1_frozen_a2_train_l3,128,False,L1,train_only_scale_no_centering,wholecount,False,11,1.0,0.541095890410959,0.5304618992118992,0.5208667713053677,0.9655765920826161,0.9661029424939894,0.966521149868615,0.5238095238095238,0.5196488696488696,0.5040159415028415
affine,C1_frozen_a2_train_l3,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,1.0,0.5342465753424658,0.5234411421911421,0.5202819426212223,0.9965576592082617,0.996545584045584,0.996651896640988,0.5634920634920635,0.5550144300144301,0.57575785479794
no_bias,C1_frozen_a2_train_l3,2048,False,L1,train_only_scale_no_centering,fixed250,False,11,0.01,0.547945205479452,0.5356303418803419,0.5263365910166736,0.9604130808950087,0.9613413409496464,0.9623638163579186,0.5793650793650794,0.5668831168831169,0.5775089937009442
affine,C1_frozen_a2_train_l3,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,0.01,0.5958904109589042,0.5758297258297258,0.5647219342648474,0.9328743545611016,0.9312395565165112,0.9341769235894811,0.5714285714285714,0.5579184704184704,0.5578608181389512
no_bias,C1_frozen_a2_train_l3,128,False,L2,train_only_scale_no_centering,wholecount,False,11,10.0,0.541095890410959,0.5357656232656232,0.5266802561367779,0.9965576592082617,0.9967634489693312,0.9965909985581155,0.5396825396825397,0.5441859066859067,0.540528208175267
affine,C1_frozen_a2_train_l3,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,0.01,0.589041095890411,0.5716290653790653,0.5583087341844147,0.9845094664371773,0.9831529280216821,0.98455832882428,0.5952380952380952,0.5859848484848486,0.5842567678952119
no_bias,C1_frozen_a2_train_l3,2048,False,L2,train_only_scale_no_centering,fixed250,False,11,0.01,0.6027397260273972,0.5802350427350427,0.5637408451778794,0.9879518072289156,0.9885001549402216,0.9886009976066963,0.6031746031746031,0.5985209235209236,0.5984813509305095
affine,C1_frozen_a2_train_l3,128,True,L3,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,10.0,0.5205479452054794,0.5145333832833833,0.4950365606615606,0.9982788296041308,0.9983660130718954,0.9983812666980985,0.5158730158730159,0.5108164983164983,0.49881854522999025
no_bias,C1_frozen_a2_train_l3,128,False,L3,train_only_scale_no_centering,wholecount,False,11,0.01,0.5205479452054794,0.5021346708846709,0.48078953976131394,0.9122203098106713,0.9085049154972284,0.9095943808781087,0.5555555555555556,0.5531505531505532,0.5435877094945724
affine,C1_frozen_a2_train_l3,2048,True,L3,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,0.1,0.5684931506849316,0.5515602453102453,0.5302301841096468,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.6111111111111112,0.610551948051948,0.597652943461767
no_bias,C1_frozen_a2_train_l3,2048,False,L3,train_only_scale_no_centering,fixed250,False,11,0.1,0.5684931506849316,0.5567321567321567,0.5410473163143702,0.9965576592082617,0.9967634489693312,0.9967130986802156,0.5952380952380952,0.5952741702741703,0.5754838650267038
affine,C1_frozen_a2_train_l3,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.1,0.6164383561643836,0.5981664169164168,0.5922747826304272,0.8726333907056799,0.8691019735990975,0.8784916522606957,0.5793650793650794,0.5606601731601731,0.5839346851509146
no_bias,C1_frozen_a2_train_l3,128,False,L1,train_only_scale_no_centering,wholecount,False,23,0.1,0.5684931506849316,0.5553515928515927,0.546428678026751,0.882960413080895,0.8805704821733232,0.8832419857231066,0.5396825396825397,0.5218975468975469,0.5170185915412121
affine,C1_frozen_a2_train_l3,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,1.0,0.547945205479452,0.5359772172272171,0.5423456375072508,0.9948364888123924,0.9949115971174795,0.9950930778169301,0.5714285714285714,0.560443722943723,0.5828799903799903
no_bias,C1_frozen_a2_train_l3,2048,False,L1,train_only_scale_no_centering,fixed250,False,23,0.01,0.5547945205479452,0.5445970695970695,0.5403210278210279,0.9466437177280551,0.9451399059284712,0.9456505101754367,0.5555555555555556,0.544035594035594,0.5517207308919175
affine,C1_frozen_a2_train_l3,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.01,0.6027397260273972,0.5878697691197691,0.5918189327859674,0.9036144578313253,0.8985211802679326,0.9048353299108571,0.5714285714285714,0.5597342472342473,0.5645234023352685
no_bias,C1_frozen_a2_train_l3,128,False,L2,train_only_scale_no_centering,wholecount,False,23,10.0,0.5136986301369864,0.5069597069597068,0.5004077588926661,0.9948364888123924,0.9949115971174795,0.9949353435290612,0.5793650793650794,0.5698232323232323,0.579749872652686
affine,C1_frozen_a2_train_l3,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,0.1,0.6164383561643836,0.6055305805305805,0.6114296861203555,0.9948364888123924,0.9949115971174795,0.9950930778169301,0.6031746031746031,0.5963804713804713,0.6122524285472417
no_bias,C1_frozen_a2_train_l3,2048,False,L2,train_only_scale_no_centering,fixed250,False,23,0.1,0.6095890410958904,0.5971972471972471,0.6000744887932912,0.9948364888123924,0.9949115971174795,0.9949643201490684,0.5952380952380952,0.588047138047138,0.6082109473437378
affine,C1_frozen_a2_train_l3,128,True,L3,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.1,0.5684931506849316,0.5628718503718503,0.5533986435952033,0.9810671256454389,0.9809567722944511,0.9817967179386633,0.5714285714285714,0.5589766714766714,0.5665055481180313
no_bias,C1_frozen_a2_train_l3,128,False,L3,train_only_scale_no_centering,wholecount,False,23,0.01,0.547945205479452,0.5447170884670883,0.5322008745504939,0.9535283993115319,0.9526247116418656,0.9533447922470096,0.5714285714285714,0.5709114959114959,0.5794061223449686
affine,C1_frozen_a2_train_l3,2048,True,L3,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,10.0,0.5547945205479452,0.5396575646575646,0.5529447633744394,0.9965576592082617,0.9967634489693312,0.9965542618001774,0.626984126984127,0.626509139009139,0.626588927687643
no_bias,C1_frozen_a2_train_l3,2048,False,L3,train_only_scale_no_centering,fixed250,False,23,1.0,0.547945205479452,0.5349227161727161,0.5371019625083093,0.9948364888123924,0.9949115971174795,0.9949042738898085,0.6428571428571429,0.644095719095719,0.6515003747841276
affine,C1_frozen_a2_train_l3,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,1.0,0.6232876712328768,0.6255293317793318,0.608619029112546,0.9586919104991394,0.9583641836544153,0.9598597199164192,0.5476190476190477,0.5264069264069263,0.5394338118022329
no_bias,C1_frozen_a2_train_l3,128,False,L1,train_only_scale_no_centering,wholecount,False,37,1.0,0.6095890410958904,0.6087024087024088,0.6019720075868279,0.963855421686747,0.9635821170891449,0.9638087797041183,0.5317460317460317,0.5148268398268397,0.5232148667503358
affine,C1_frozen_a2_train_l3,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,0.1,0.589041095890411,0.5739600677100677,0.5728090259921713,0.9793459552495697,0.9795506719975352,0.9808222805955823,0.5476190476190477,0.5329244829244829,0.5378709221486362
no_bias,C1_frozen_a2_train_l3,2048,False,L1,train_only_scale_no_centering,fixed250,False,37,0.01,0.589041095890411,0.5744179431679431,0.5714791775381758,0.9500860585197934,0.9490081578602175,0.9488064172238416,0.5634920634920635,0.5553090428090429,0.5601832538335084
affine,C1_frozen_a2_train_l3,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,0.01,0.6027397260273972,0.5951208513708514,0.5886323296910186,0.9173838209982789,0.9142970468060572,0.9185230914067345,0.5873015873015873,0.5677308802308801,0.5722902952522518
no_bias,C1_frozen_a2_train_l3,128,False,L2,train_only_scale_no_centering,wholecount,False,37,0.01,0.589041095890411,0.5802190864690865,0.5690866349833742,0.9225473321858864,0.9213292716903475,0.9231270624488462,0.5793650793650794,0.5649891774891774,0.5642443667443668
affine,C1_frozen_a2_train_l3,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,1.0,0.5753424657534246,0.5611131923631923,0.5651758722158869,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.6031746031746031,0.5937289562289564,0.606003247880912
no_bias,C1_frozen_a2_train_l3,2048,False,L2,train_only_scale_no_centering,fixed250,False,37,10.0,0.5753424657534246,0.5642017704517704,0.5626797387578762,0.9982788296041308,0.9983974358974358,0.9983318319821173,0.5873015873015873,0.583116883116883,0.582217426106745
affine,C1_frozen_a2_train_l3,128,True,L3,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,0.01,0.5273972602739726,0.5246482683982683,0.5133798010652231,0.9208261617900172,0.9167559335865759,0.9208761242243338,0.5,0.48641774891774897,0.4987398402610351
no_bias,C1_frozen_a2_train_l3,128,False,L3,train_only_scale_no_centering,wholecount,False,37,0.01,0.4931506849315068,0.4896346708846709,0.4731048532265571,0.9070567986230637,0.9034588102836719,0.9050566336903646,0.5079365079365079,0.49815416065416057,0.5022546440508512
affine,C1_frozen_a2_train_l3,2048,True,L3,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,10.0,0.5,0.49406080031080024,0.4964500284866417,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.5634920634920635,0.565650553150553,0.5650773057352004
no_bias,C1_frozen_a2_train_l3,2048,False,L3,train_only_scale_no_centering,fixed250,False,37,10.0,0.547945205479452,0.5411817349317348,0.525691768058322,0.9965576592082617,0.9967634489693312,0.9966651757309672,0.5873015873015873,0.5858525733525733,0.5854474536396733
affine,C2_c1_init_e2e_3layer,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,1.0,0.5821917808219178,0.5707944832944832,0.5648063897750174,0.9569707401032702,0.9564910999856417,0.958556184184823,0.5317460317460317,0.5173039923039923,0.5141578791578791
no_bias,C2_c1_init_e2e_3layer,128,False,L1,train_only_scale_no_centering,wholecount,False,11,1.0,0.541095890410959,0.5304618992118992,0.5208667713053677,0.9655765920826161,0.9661029424939894,0.966521149868615,0.5238095238095238,0.5196488696488696,0.5040159415028415
affine,C2_c1_init_e2e_3layer,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,1.0,0.547945205479452,0.5369692807192806,0.5368881333903264,0.9965576592082617,0.996545584045584,0.996651896640988,0.5714285714285714,0.5619588744588745,0.5825317339402402
no_bias,C2_c1_init_e2e_3layer,2048,False,L1,train_only_scale_no_centering,fixed250,False,11,0.01,0.547945205479452,0.5356303418803419,0.5263365910166736,0.9604130808950087,0.9613413409496464,0.9623638163579186,0.5793650793650794,0.5668831168831169,0.5775089937009442
affine,C2_c1_init_e2e_3layer,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,0.01,0.5958904109589042,0.5758297258297258,0.5647219342648474,0.9328743545611016,0.9312395565165112,0.9341769235894811,0.5714285714285714,0.5579184704184704,0.5578608181389512
no_bias,C2_c1_init_e2e_3layer,128,False,L2,train_only_scale_no_centering,wholecount,False,11,10.0,0.547945205479452,0.5417180042180041,0.5324265443830661,0.9965576592082617,0.9967634489693312,0.9965909985581155,0.5396825396825397,0.5441859066859068,0.5394851690887497
affine,C2_c1_init_e2e_3layer,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,0.01,0.589041095890411,0.5716290653790653,0.5583087341844147,0.9845094664371773,0.9831529280216821,0.98455832882428,0.6031746031746031,0.5978896103896104,0.5927301572509541
no_bias,C2_c1_init_e2e_3layer,2048,False,L2,train_only_scale_no_centering,fixed250,False,11,0.01,0.6027397260273972,0.5802350427350427,0.5637408451778794,0.9879518072289156,0.9885001549402216,0.9886009976066963,0.6031746031746031,0.5985209235209236,0.5984813509305095
affine,C2_c1_init_e2e_3layer,128,True,L3,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,11,1.0,0.541095890410959,0.5323905261405261,0.5074081126816024,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.5079365079365079,0.5038720538720539,0.48505990393293424
no_bias,C2_c1_init_e2e_3layer,128,False,L3,train_only_scale_no_centering,wholecount,False,11,0.01,0.5205479452054794,0.5021346708846709,0.48078953976131394,0.9122203098106713,0.9085049154972284,0.9095943808781087,0.5555555555555556,0.5531505531505532,0.5435877094945724
affine,C2_c1_init_e2e_3layer,2048,True,L3,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,11,0.1,0.5684931506849316,0.5515602453102453,0.5302301841096468,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.6111111111111112,0.610551948051948,0.597652943461767
no_bias,C2_c1_init_e2e_3layer,2048,False,L3,train_only_scale_no_centering,fixed250,False,11,0.1,0.5684931506849316,0.5567321567321567,0.5421777679883002,0.9965576592082617,0.9967634489693312,0.9967130986802156,0.5952380952380952,0.5952741702741703,0.5754838650267038
affine,C2_c1_init_e2e_3layer,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.1,0.6232876712328768,0.60620004995005,0.6000424026023988,0.8743545611015491,0.871203113200237,0.8811942068097262,0.5714285714285714,0.5487554112554113,0.5711517235201445
no_bias,C2_c1_init_e2e_3layer,128,False,L1,train_only_scale_no_centering,wholecount,False,23,0.1,0.5547945205479452,0.5354360916860916,0.526318660965699,0.8760757314974182,0.8735832525779256,0.8776533509601001,0.5476190476190477,0.5235870610870611,0.5163547921612438
affine,C2_c1_init_e2e_3layer,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,1.0,0.5342465753424658,0.52135989010989,0.5143571591188728,0.9948364888123924,0.9949115971174795,0.9950482949511822,0.5873015873015873,0.5777417027417028,0.5908721256109869
no_bias,C2_c1_init_e2e_3layer,2048,False,L1,train_only_scale_no_centering,fixed250,False,23,0.01,0.5684931506849316,0.5574938949938949,0.554865370983792,0.9500860585197934,0.9483450341335994,0.9498816430549062,0.5476190476190477,0.5377224627224627,0.5424583726657052
affine,C2_c1_init_e2e_3layer,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,0.01,0.6232876712328768,0.6073502886002886,0.6121904003193887,0.9225473321858864,0.919873797946765,0.9253602549997307,0.5555555555555556,0.5388648388648388,0.5465092655882129
no_bias,C2_c1_init_e2e_3layer,128,False,L2,train_only_scale_no_centering,wholecount,False,23,0.01,0.6027397260273972,0.5937992562992562,0.5933664250743713,0.9328743545611016,0.9324628155793498,0.9339812664600623,0.5555555555555556,0.5470959595959596,0.5520722476565297
affine,C2_c1_init_e2e_3layer,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,0.001,0.6027397260273972,0.5860209235209234,0.5897147529977544,0.9225473321858864,0.9193928890589933,0.9255451029190219,0.5714285714285714,0.5640632515632515,0.5776357299867361
no_bias,C2_c1_init_e2e_3layer,2048,False,L2,train_only_scale_no_centering,fixed250,False,23,0.001,0.589041095890411,0.5742445054945055,0.5718704283332766,0.9380378657487092,0.9369890811981962,0.93901198880138,0.5714285714285714,0.569023569023569,0.5823254177857758
affine,C2_c1_init_e2e_3layer,128,True,L3,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,23,1.0,0.5342465753424658,0.5254009879009879,0.5119002417860777,0.9965576592082617,0.996545584045584,0.9966520448207478,0.5634920634920635,0.5519059644059644,0.5541818644106974
no_bias,C2_c1_init_e2e_3layer,128,False,L3,train_only_scale_no_centering,wholecount,False,23,10.0,0.5547945205479452,0.5444215506715506,0.5349531644019597,0.9965576592082617,0.9967634489693312,0.9966651757309672,0.5634920634920635,0.5556036556036557,0.5619620958751392
affine,C2_c1_init_e2e_3layer,2048,True,L3,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,23,1.0,0.589041095890411,0.5727924852924853,0.5741217515493303,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.6111111111111112,0.6132515632515632,0.6120317819593181
no_bias,C2_c1_init_e2e_3layer,2048,False,L3,train_only_scale_no_centering,fixed250,False,23,10.0,0.6095890410958904,0.5967372904872904,0.5962516306905286,0.9965576592082617,0.9967634489693312,0.9966651757309672,0.5873015873015873,0.5855639730639731,0.5847364052169544
affine,C2_c1_init_e2e_3layer,128,True,L1,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,0.1,0.6027397260273972,0.5912580475080474,0.5848946886446886,0.8984509466437177,0.8930609109723414,0.8993909681899597,0.5555555555555556,0.533603896103896,0.5425182147314433
no_bias,C2_c1_init_e2e_3layer,128,False,L1,train_only_scale_no_centering,wholecount,False,37,0.1,0.5753424657534246,0.5597416472416472,0.55305483778352,0.9036144578313253,0.899684304432307,0.9025836489426925,0.5,0.4826779701779702,0.48052603019074236
affine,C2_c1_init_e2e_3layer,2048,True,L1,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,0.1,0.6027397260273972,0.5870303307803307,0.5819735642585907,0.9827882960413081,0.9827278688021828,0.9837912219498071,0.5158730158730159,0.5014430014430014,0.5188597392240988
no_bias,C2_c1_init_e2e_3layer,2048,False,L1,train_only_scale_no_centering,fixed250,False,37,0.01,0.589041095890411,0.5744179431679431,0.5662198737600715,0.9586919104991394,0.9567728763907518,0.958260882515184,0.5634920634920635,0.5480339105339105,0.5554833512285261
affine,C2_c1_init_e2e_3layer,128,True,L2,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,1.0,0.5342465753424658,0.5261065323565323,0.5219597649637023,0.9913941480206541,0.9906475354593635,0.9913444513761775,0.6111111111111112,0.6047077922077921,0.6127809880217229
no_bias,C2_c1_init_e2e_3layer,128,False,L2,train_only_scale_no_centering,wholecount,False,37,0.1,0.541095890410959,0.5336822899322898,0.5293417899734362,0.9862306368330465,0.9860867593669559,0.986082108903226,0.5952380952380952,0.5782467532467532,0.5826789855525488
affine,C2_c1_init_e2e_3layer,2048,True,L2,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,0.01,0.5684931506849316,0.5541687479187478,0.5463479258339302,0.9879518072289156,0.9874750869927974,0.9881552925746151,0.6031746031746031,0.5910774410774411,0.5990462499615818
no_bias,C2_c1_init_e2e_3layer,2048,False,L2,train_only_scale_no_centering,fixed250,False,37,0.001,0.5753424657534246,0.5603556166056166,0.558133627821927,0.9586919104991394,0.9593543853981777,0.9599445365300364,0.6031746031746031,0.5930976430976431,0.610199597394947
affine,C2_c1_init_e2e_3layer,128,True,L3,Exp7.3 train-only StandardScaler mean+scale,wholecount,True,37,0.1,0.5273972602739726,0.5190386002886003,0.49802817357333434,0.9913941480206541,0.9906475354593635,0.9913738406667201,0.5555555555555556,0.5370490620490621,0.5425594777083554
no_bias,C2_c1_init_e2e_3layer,128,False,L3,train_only_scale_no_centering,wholecount,False,37,10.0,0.5342465753424658,0.5277798590298589,0.51078474442812,0.9965576592082617,0.9967634489693312,0.9966651757309672,0.5476190476190477,0.5367484367484368,0.5406856513263837
affine,C2_c1_init_e2e_3layer,2048,True,L3,Exp7.3 train-only StandardScaler mean+scale,fixed250,True,37,1.0,0.547945205479452,0.5332993395493394,0.5232882289899834,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.6031746031746031,0.5986892736892737,0.6037568627154882
no_bias,C2_c1_init_e2e_3layer,2048,False,L3,train_only_scale_no_centering,fixed250,False,37,1.0,0.589041095890411,0.5770222832722832,0.563389658719896,0.9965576592082617,0.9967634489693312,0.9966651757309672,0.6031746031746031,0.5923400673400674,0.5997517365385804
