contrast,left_variant,right_variant,rotation,seed,probe,test_ba_delta
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__spike__fixed250_ordered_mean,-0.009537113213583859
D0_minus_D2,original,masked_accel_reencode,0,11,l2__spike__fixed250_ordered_mean,0.03723633392751036
D0_minus_D1,original,postencode_mask,0,11,l2__post_reset__whole_mean,-0.04936811554458609
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__post_reset__whole_mean,0.025551470588235425
D0_minus_D2,original,masked_accel_reencode,0,11,l2__post_reset__whole_mean,-0.023816644956350663
D0_minus_D1,original,postencode_mask,0,11,l2__post_reset__fixed250_ordered_mean,-0.0064411079116960535
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__post_reset__fixed250_ordered_mean,0.02617835595776763
D0_minus_D2,original,masked_accel_reencode,0,11,l2__post_reset__fixed250_ordered_mean,0.019737248046071576
D0_minus_D1,original,postencode_mask,0,11,l2__spike__whole_count,-0.04812948489419078
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__spike__whole_count,0.0740046105854929
D0_minus_D2,original,masked_accel_reencode,0,11,l2__spike__whole_count,0.025875125691302125
D0_minus_D1,original,postencode_mask,0,11,l2__spike__fixed250_count,0.01553101718542882
D1_minus_D2,postencode_mask,masked_accel_reencode,0,11,l2__spike__fixed250_count,-0.02162861648155745
D0_minus_D2,original,masked_accel_reencode,0,11,l2__spike__fixed250_count,-0.006097599296128631
D0_minus_D1,original,postencode_mask,0,23,input__events__whole_count,-0.023923482563188492
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,input__events__whole_count,-0.03997697563874042
D0_minus_D2,original,masked_accel_reencode,0,23,input__events__whole_count,-0.06390045820192891
D0_minus_D1,original,postencode_mask,0,23,input__events__fixed250_count,-0.02689351090086367
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,input__events__fixed250_count,0.12990795968737145
D0_minus_D2,original,masked_accel_reencode,0,23,input__events__fixed250_count,0.10301444878650778
D0_minus_D1,original,postencode_mask,0,23,l1__syn_current__whole_mean,0.0564126845376845
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__syn_current__whole_mean,-0.0626558286484758
D0_minus_D2,original,masked_accel_reencode,0,23,l1__syn_current__whole_mean,-0.006243144110791299
D0_minus_D1,original,postencode_mask,0,23,l1__syn_current__fixed250_ordered_mean,-0.0225738722062252
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__syn_current__fixed250_ordered_mean,0.03302324717765903
D0_minus_D2,original,masked_accel_reencode,0,23,l1__syn_current__fixed250_ordered_mean,0.010449374971433834
D0_minus_D1,original,postencode_mask,0,23,l1__pre_reset__whole_mean,0.009298871063576797
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__pre_reset__whole_mean,-0.053188131313131215
D0_minus_D2,original,masked_accel_reencode,0,23,l1__pre_reset__whole_mean,-0.04388926024955442
D0_minus_D1,original,postencode_mask,0,23,l1__pre_reset__fixed250_ordered_mean,-0.01693975958681848
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__pre_reset__fixed250_ordered_mean,0.06863973444855809
D0_minus_D2,original,masked_accel_reencode,0,23,l1__pre_reset__fixed250_ordered_mean,0.051699974861739606
D0_minus_D1,original,postencode_mask,0,23,l1__spike__whole_mean,-0.021821581196581175
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__spike__whole_mean,-0.0283496732026145
D0_minus_D2,original,masked_accel_reencode,0,23,l1__spike__whole_mean,-0.050171254399195675
D0_minus_D1,original,postencode_mask,0,23,l1__spike__fixed250_ordered_mean,-0.015933800676447674
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__spike__fixed250_ordered_mean,0.009632381507381438
D0_minus_D2,original,masked_accel_reencode,0,23,l1__spike__fixed250_ordered_mean,-0.006301419169066236
D0_minus_D1,original,postencode_mask,0,23,l1__post_reset__whole_mean,0.04169209058914941
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__post_reset__whole_mean,-0.1187078648475709
D0_minus_D2,original,masked_accel_reencode,0,23,l1__post_reset__whole_mean,-0.07701577425842149
D0_minus_D1,original,postencode_mask,0,23,l1__post_reset__fixed250_ordered_mean,-0.01728383952648671
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__post_reset__fixed250_ordered_mean,0.05111836692719063
D0_minus_D2,original,masked_accel_reencode,0,23,l1__post_reset__fixed250_ordered_mean,0.03383452740070392
D0_minus_D1,original,postencode_mask,0,23,l1__spike__whole_count,-0.03152594954065546
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__spike__whole_count,-0.0009526829379770119
D0_minus_D2,original,masked_accel_reencode,0,23,l1__spike__whole_count,-0.032478632478632474
D0_minus_D1,original,postencode_mask,0,23,l1__spike__fixed250_count,-0.035740893093834325
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l1__spike__fixed250_count,0.0443278943278943
D0_minus_D2,original,masked_accel_reencode,0,23,l1__spike__fixed250_count,0.008587001234059977
D0_minus_D1,original,postencode_mask,0,23,l2__syn_current__whole_mean,-0.023601684263448997
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__syn_current__whole_mean,-0.07257444353032583
D0_minus_D2,original,masked_accel_reencode,0,23,l2__syn_current__whole_mean,-0.09617612779377482
D0_minus_D1,original,postencode_mask,0,23,l2__syn_current__fixed250_ordered_mean,-0.020498394579276935
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__syn_current__fixed250_ordered_mean,0.009209744503862027
D0_minus_D2,original,masked_accel_reencode,0,23,l2__syn_current__fixed250_ordered_mean,-0.011288650075414908
D0_minus_D1,original,postencode_mask,0,23,l2__pre_reset__whole_mean,-0.03224139014580191
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__pre_reset__whole_mean,-0.09286673294026232
D0_minus_D2,original,masked_accel_reencode,0,23,l2__pre_reset__whole_mean,-0.12510812308606423
D0_minus_D1,original,postencode_mask,0,23,l2__pre_reset__fixed250_ordered_mean,-0.020498394579276824
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__pre_reset__fixed250_ordered_mean,0.018293797705562387
D0_minus_D2,original,masked_accel_reencode,0,23,l2__pre_reset__fixed250_ordered_mean,-0.0022045968737144372
D0_minus_D1,original,postencode_mask,0,23,l2__spike__whole_mean,0.003740887380593305
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__spike__whole_mean,0.01281994149641208
D0_minus_D2,original,masked_accel_reencode,0,23,l2__spike__whole_mean,0.016560828877005385
D0_minus_D1,original,postencode_mask,0,23,l2__spike__fixed250_ordered_mean,0.025961824123588717
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__spike__fixed250_ordered_mean,0.052291438137026414
D0_minus_D2,original,masked_accel_reencode,0,23,l2__spike__fixed250_ordered_mean,0.07825326226061513
D0_minus_D1,original,postencode_mask,0,23,l2__post_reset__whole_mean,0.008625565610859698
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__post_reset__whole_mean,-0.09927698935051871
D0_minus_D2,original,masked_accel_reencode,0,23,l2__post_reset__whole_mean,-0.09065142373965901
D0_minus_D1,original,postencode_mask,0,23,l2__post_reset__fixed250_ordered_mean,-0.024765899949723447
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__post_reset__fixed250_ordered_mean,-0.0024751188354129594
D0_minus_D2,original,masked_accel_reencode,0,23,l2__post_reset__fixed250_ordered_mean,-0.027241018785136406
D0_minus_D1,original,postencode_mask,0,23,l2__spike__whole_count,0.0005231900452487004
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__spike__whole_count,-0.025688445541386606
D0_minus_D2,original,masked_accel_reencode,0,23,l2__spike__whole_count,-0.025165255496137906
D0_minus_D1,original,postencode_mask,0,23,l2__spike__fixed250_count,0.010229700854700985
D1_minus_D2,postencode_mask,masked_accel_reencode,0,23,l2__spike__fixed250_count,0.008280914347090773
D0_minus_D2,original,masked_accel_reencode,0,23,l2__spike__fixed250_count,0.018510615201791758
D0_minus_D1,original,postencode_mask,0,37,input__events__whole_count,-0.023923482563188492
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,input__events__whole_count,-0.03997697563874042
D0_minus_D2,original,masked_accel_reencode,0,37,input__events__whole_count,-0.06390045820192891
D0_minus_D1,original,postencode_mask,0,37,input__events__fixed250_count,-0.02689351090086367
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,input__events__fixed250_count,0.12990795968737145
D0_minus_D2,original,masked_accel_reencode,0,37,input__events__fixed250_count,0.10301444878650778
D0_minus_D1,original,postencode_mask,0,37,l1__syn_current__whole_mean,0.07255144773527122
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__syn_current__whole_mean,-0.04560423236893818
D0_minus_D2,original,masked_accel_reencode,0,37,l1__syn_current__whole_mean,0.026947215366333044
D0_minus_D1,original,postencode_mask,0,37,l1__syn_current__fixed250_ordered_mean,-0.01207550619315323
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__syn_current__fixed250_ordered_mean,0.04765400041135337
D0_minus_D2,original,masked_accel_reencode,0,37,l1__syn_current__fixed250_ordered_mean,0.03557849421820014
D0_minus_D1,original,postencode_mask,0,37,l1__pre_reset__whole_mean,0.037420157456922065
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__pre_reset__whole_mean,-0.04052344714109424
D0_minus_D2,original,masked_accel_reencode,0,37,l1__pre_reset__whole_mean,-0.0031032896841721724
D0_minus_D1,original,postencode_mask,0,37,l1__pre_reset__fixed250_ordered_mean,-0.02208310480369291
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__pre_reset__fixed250_ordered_mean,0.039015580008227024
D0_minus_D2,original,masked_accel_reencode,0,37,l1__pre_reset__fixed250_ordered_mean,0.016932475204534114
D0_minus_D1,original,postencode_mask,0,37,l1__spike__whole_mean,-0.13027246446364082
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__spike__whole_mean,0.049416249600073126
D0_minus_D2,original,masked_accel_reencode,0,37,l1__spike__whole_mean,-0.0808562148635677
D0_minus_D1,original,postencode_mask,0,37,l1__spike__fixed250_ordered_mean,-0.05405383015677134
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__spike__fixed250_ordered_mean,0.06715472027972036
D0_minus_D2,original,masked_accel_reencode,0,37,l1__spike__fixed250_ordered_mean,0.013100890122949016
D0_minus_D1,original,postencode_mask,0,37,l1__post_reset__whole_mean,-0.0032865418894830745
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__post_reset__whole_mean,-0.02863619223913344
D0_minus_D2,original,masked_accel_reencode,0,37,l1__post_reset__whole_mean,-0.031922734128616514
D0_minus_D1,original,postencode_mask,0,37,l1__post_reset__fixed250_ordered_mean,-0.007336944101650089
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__post_reset__fixed250_ordered_mean,0.06368878262260613
D0_minus_D2,original,masked_accel_reencode,0,37,l1__post_reset__fixed250_ordered_mean,0.056351838520956044
D0_minus_D1,original,postencode_mask,0,37,l1__spike__whole_count,-0.10808794963206747
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__spike__whole_count,0.03240236071118441
D0_minus_D2,original,masked_accel_reencode,0,37,l1__spike__whole_count,-0.07568558892088306
D0_minus_D1,original,postencode_mask,0,37,l1__spike__fixed250_count,-0.03482306092600218
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l1__spike__fixed250_count,0.07401746537775944
D0_minus_D2,original,masked_accel_reencode,0,37,l1__spike__fixed250_count,0.03919440445175726
D0_minus_D1,original,postencode_mask,0,37,l2__syn_current__whole_mean,-0.1392352541249599
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__syn_current__whole_mean,0.047023401435166146
D0_minus_D2,original,masked_accel_reencode,0,37,l2__syn_current__whole_mean,-0.09221185268979376
D0_minus_D1,original,postencode_mask,0,37,l2__syn_current__fixed250_ordered_mean,-0.07559089195118596
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__syn_current__fixed250_ordered_mean,0.09038475821564063
D0_minus_D2,original,masked_accel_reencode,0,37,l2__syn_current__fixed250_ordered_mean,0.01479386626445467
D0_minus_D1,original,postencode_mask,0,37,l2__pre_reset__whole_mean,-0.12534636523607112
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__pre_reset__whole_mean,0.035778743315507955
D0_minus_D2,original,masked_accel_reencode,0,37,l2__pre_reset__whole_mean,-0.08956762192056317
D0_minus_D1,original,postencode_mask,0,37,l2__pre_reset__fixed250_ordered_mean,-0.0672279925956395
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__pre_reset__fixed250_ordered_mean,0.06686348781937013
D0_minus_D2,original,masked_accel_reencode,0,37,l2__pre_reset__fixed250_ordered_mean,-0.00036450477626936983
D0_minus_D1,original,postencode_mask,0,37,l2__spike__whole_mean,-0.06949257849993151
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__spike__whole_mean,0.0371223547694135
D0_minus_D2,original,masked_accel_reencode,0,37,l2__spike__whole_mean,-0.03237022373051801
D0_minus_D1,original,postencode_mask,0,37,l2__spike__fixed250_ordered_mean,-0.006244429590017697
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__spike__fixed250_ordered_mean,0.035098439142556725
D0_minus_D2,original,masked_accel_reencode,0,37,l2__spike__fixed250_ordered_mean,0.02885400955253903
D0_minus_D1,original,postencode_mask,0,37,l2__post_reset__whole_mean,-0.11252142465377762
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__post_reset__whole_mean,0.033585715754833434
D0_minus_D2,original,masked_accel_reencode,0,37,l2__post_reset__whole_mean,-0.07893570889894419
D0_minus_D1,original,postencode_mask,0,37,l2__post_reset__fixed250_ordered_mean,-0.05321841149047035
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__post_reset__fixed250_ordered_mean,0.040150943827414465
D0_minus_D2,original,masked_accel_reencode,0,37,l2__post_reset__fixed250_ordered_mean,-0.013067467663055887
D0_minus_D1,original,postencode_mask,0,37,l2__spike__whole_count,-0.07733385895150624
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__spike__whole_count,0.0024831173728233624
D0_minus_D2,original,masked_accel_reencode,0,37,l2__spike__whole_count,-0.07485074157868288
D0_minus_D1,original,postencode_mask,0,37,l2__spike__fixed250_count,0.06437808515014398
D1_minus_D2,postencode_mask,masked_accel_reencode,0,37,l2__spike__fixed250_count,-0.03830185337538283
D0_minus_D2,original,masked_accel_reencode,0,37,l2__spike__fixed250_count,0.02607623177476115
D0_minus_D1,original,postencode_mask,1,11,input__events__whole_count,-0.07999673937173918
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,input__events__whole_count,0.005568736818736764
D0_minus_D2,original,masked_accel_reencode,1,11,input__events__whole_count,-0.07442800255300241
D0_minus_D1,original,postencode_mask,1,11,input__events__fixed250_count,-0.04976377788877795
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,input__events__fixed250_count,0.05707972582972587
D0_minus_D2,original,masked_accel_reencode,1,11,input__events__fixed250_count,0.00731594794094792
D0_minus_D1,original,postencode_mask,1,11,l1__syn_current__whole_mean,-0.07945561383061384
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__syn_current__whole_mean,0.02202762515262524
D0_minus_D2,original,masked_accel_reencode,1,11,l1__syn_current__whole_mean,-0.057427988677988595
D0_minus_D1,original,postencode_mask,1,11,l1__syn_current__fixed250_ordered_mean,-0.08426053113553122
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__syn_current__fixed250_ordered_mean,0.06987387612387619
D0_minus_D2,original,masked_accel_reencode,1,11,l1__syn_current__fixed250_ordered_mean,-0.014386655011655036
D0_minus_D1,original,postencode_mask,1,11,l1__pre_reset__whole_mean,-0.05853001165501159
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__pre_reset__whole_mean,0.031509115884115924
D0_minus_D2,original,masked_accel_reencode,1,11,l1__pre_reset__whole_mean,-0.02702089577089567
D0_minus_D1,original,postencode_mask,1,11,l1__pre_reset__fixed250_ordered_mean,-0.09520930458430454
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__pre_reset__fixed250_ordered_mean,0.055912490287490346
D0_minus_D2,original,masked_accel_reencode,1,11,l1__pre_reset__fixed250_ordered_mean,-0.0392968142968142
D0_minus_D1,original,postencode_mask,1,11,l1__spike__whole_mean,0.003981782106782128
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__spike__whole_mean,-0.023661061161061203
D0_minus_D2,original,masked_accel_reencode,1,11,l1__spike__whole_mean,-0.019679279054279075
D0_minus_D1,original,postencode_mask,1,11,l1__spike__fixed250_ordered_mean,-0.0668227605727606
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__spike__fixed250_ordered_mean,0.002191905316905274
D0_minus_D2,original,masked_accel_reencode,1,11,l1__spike__fixed250_ordered_mean,-0.06463085525585532
D0_minus_D1,original,postencode_mask,1,11,l1__post_reset__whole_mean,-0.015268412143412069
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__post_reset__whole_mean,0.023746045621045708
D0_minus_D2,original,masked_accel_reencode,1,11,l1__post_reset__whole_mean,0.00847763347763364
D0_minus_D1,original,postencode_mask,1,11,l1__post_reset__fixed250_ordered_mean,-0.06486985236985232
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__post_reset__fixed250_ordered_mean,0.06428571428571428
D0_minus_D2,original,masked_accel_reencode,1,11,l1__post_reset__fixed250_ordered_mean,-0.0005841380841380417
D0_minus_D1,original,postencode_mask,1,11,l1__spike__whole_count,-0.03740079365079374
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__spike__whole_count,0.025644494394494455
D0_minus_D2,original,masked_accel_reencode,1,11,l1__spike__whole_count,-0.011756299256299285
D0_minus_D1,original,postencode_mask,1,11,l1__spike__fixed250_count,0.010082278832278857
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l1__spike__fixed250_count,-0.03577915140415133
D0_minus_D2,original,masked_accel_reencode,1,11,l1__spike__fixed250_count,-0.025696872571872476
D0_minus_D1,original,postencode_mask,1,11,l2__syn_current__whole_mean,0.007366244866244931
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__syn_current__whole_mean,-0.027507561882561926
D0_minus_D2,original,masked_accel_reencode,1,11,l2__syn_current__whole_mean,-0.020141317016316995
D0_minus_D1,original,postencode_mask,1,11,l2__syn_current__fixed250_ordered_mean,-0.04568244255744247
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__syn_current__fixed250_ordered_mean,0.09507159507159502
D0_minus_D2,original,masked_accel_reencode,1,11,l2__syn_current__fixed250_ordered_mean,0.049389152514152546
D0_minus_D1,original,postencode_mask,1,11,l2__pre_reset__whole_mean,-0.006177503052502975
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__pre_reset__whole_mean,-0.0076146076146075825
D0_minus_D2,original,masked_accel_reencode,1,11,l2__pre_reset__whole_mean,-0.013792110667110558
D0_minus_D1,original,postencode_mask,1,11,l2__pre_reset__fixed250_ordered_mean,-0.04331501831501838
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__pre_reset__fixed250_ordered_mean,0.10351766289266306
D0_minus_D2,original,masked_accel_reencode,1,11,l2__pre_reset__fixed250_ordered_mean,0.06020264457764468
D0_minus_D1,original,postencode_mask,1,11,l2__spike__whole_mean,-0.015352009102009179
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__spike__whole_mean,-0.008337842712842658
D0_minus_D2,original,masked_accel_reencode,1,11,l2__spike__whole_mean,-0.023689851814851837
D0_minus_D1,original,postencode_mask,1,11,l2__spike__fixed250_ordered_mean,-0.057205988455988344
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__spike__fixed250_ordered_mean,0.0026938339438340453
D0_minus_D2,original,masked_accel_reencode,1,11,l2__spike__fixed250_ordered_mean,-0.0545121545121543
D0_minus_D1,original,postencode_mask,1,11,l2__post_reset__whole_mean,0.006185134310134399
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__post_reset__whole_mean,-0.0014371045621046075
D0_minus_D2,original,masked_accel_reencode,1,11,l2__post_reset__whole_mean,0.004748029748029792
D0_minus_D1,original,postencode_mask,1,11,l2__post_reset__fixed250_ordered_mean,-0.08534971972471983
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__post_reset__fixed250_ordered_mean,0.0561847874347875
D0_minus_D2,original,masked_accel_reencode,1,11,l2__post_reset__fixed250_ordered_mean,-0.029164932289932333
D0_minus_D1,original,postencode_mask,1,11,l2__spike__whole_count,-0.03567786380286386
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__spike__whole_count,0.028814935064935154
D0_minus_D2,original,masked_accel_reencode,1,11,l2__spike__whole_count,-0.0068629287379287085
D0_minus_D1,original,postencode_mask,1,11,l2__spike__fixed250_count,-0.03756278443778438
D1_minus_D2,postencode_mask,masked_accel_reencode,1,11,l2__spike__fixed250_count,0.046838231213231274
D0_minus_D2,original,masked_accel_reencode,1,11,l2__spike__fixed250_count,0.009275446775446894
D0_minus_D1,original,postencode_mask,1,23,input__events__whole_count,-0.07999673937173918
D1_minus_D2,postencode_mask,masked_accel_reencode,1,23,input__events__whole_count,0.005568736818736764
D0_minus_D2,original,masked_accel_reencode,1,23,input__events__whole_count,-0.07442800255300241
D0_minus_D1,original,postencode_mask,1,23,input__events__fixed250_count,-0.04976377788877795
D1_minus_D2,postencode_mask,masked_accel_reencode,1,23,input__events__fixed250_count,0.05707972582972587
D0_minus_D2,original,masked_accel_reencode,1,23,input__events__fixed250_count,0.00731594794094792
D0_minus_D1,original,postencode_mask,1,23,l1__syn_current__whole_mean,-0.07674096736596742
D1_minus_D2,postencode_mask,masked_accel_reencode,1,23,l1__syn_current__whole_mean,0.013617979242979306
D0_minus_D2,original,masked_accel_reencode,1,23,l1__syn_current__whole_mean,-0.06312298812298811
D0_minus_D1,original,postencode_mask,1,23,l1__syn_current__fixed250_ordered_mean,-0.07597471972471981
D1_minus_D2,postencode_mask,masked_accel_reencode,1,23,l1__syn_current__fixed250_ordered_mean,0.03563623876123878
D0_minus_D2,original,masked_accel_reencode,1,23,l1__syn_current__fixed250_ordered_mean,-0.04033848096348103
