contrast,left_variant,right_variant,rotation,seed,native_test_balanced_accuracy_delta,lif_test_balanced_accuracy_delta,native_test_action0_balanced_accuracy_delta,native_test_action1_balanced_accuracy_delta,lif_test_action0_balanced_accuracy_delta,lif_test_action1_balanced_accuracy_delta
D0_minus_D1,original,postencode_mask,2,11,-0.06771133958633963,-0.06341239778739777,-0.12619047619047613,-0.009424603174603141,-0.05595238095238092,-0.0749007936507936
D1_minus_D2,postencode_mask,masked_accel_reencode,2,11,0.0687965969215969,0.036154701779701814,0.04107142857142854,0.09424603174603174,0.024404761904761874,0.04613095238095233
D0_minus_D2,original,masked_accel_reencode,2,11,0.0010852573352572725,-0.027257696007695953,-0.0851190476190476,0.0848214285714286,-0.03154761904761905,-0.02876984126984128
D0_minus_D1,original,postencode_mask,2,23,-0.01590758778258783,-0.04525012025012032,-0.013690476190476197,-0.015873015873015872,-0.07619047619047625,-0.010416666666666685
D1_minus_D2,postencode_mask,masked_accel_reencode,2,23,0.0588308682058683,0.06626833814333821,0.07083333333333336,0.04216269841269843,0.08333333333333337,0.04662698412698413
D0_minus_D2,original,masked_accel_reencode,2,23,0.042923280423280474,0.021018217893217894,0.05714285714285716,0.026289682539682557,0.0071428571428571175,0.03621031746031744
D0_minus_D1,original,postencode_mask,2,37,-0.07802579365079354,-0.022572450697450674,-0.06428571428571439,-0.10019841269841262,0.026488095238095255,-0.07291666666666663
D1_minus_D2,postencode_mask,masked_accel_reencode,2,37,0.04935064935064931,0.047486772486772466,0.037797619047619135,0.06646825396825395,0.04375000000000004,0.042162698412698374
D0_minus_D2,original,masked_accel_reencode,2,37,-0.02867514430014423,0.02491432178932179,-0.026488095238095255,-0.033730158730158666,0.0702380952380953,-0.030753968253968256
D0_minus_D1,original,postencode_mask,3,11,-0.07035383597883588,-0.003504019129019209,-0.016898148148148107,-0.13888888888888884,0.03134920634920629,-0.05059523809523814
D1_minus_D2,postencode_mask,masked_accel_reencode,3,11,0.10141687016687007,0.09333155270655275,0.08449074074074081,0.11904761904761907,0.046296296296296335,0.1547619047619047
D0_minus_D2,original,masked_accel_reencode,3,11,0.03106303418803419,0.08982753357753354,0.0675925925925927,-0.01984126984126977,0.07764550264550263,0.10416666666666657
D0_minus_D1,original,postencode_mask,3,23,-0.030919312169312096,0.0027294464794464512,-0.006117724867724883,-0.06051587301587302,0.018022486772486856,-0.01388888888888884
D1_minus_D2,postencode_mask,masked_accel_reencode,3,23,0.06039377289377301,0.11393976393976396,0.0092592592592593,0.12698412698412698,0.06630291005291006,0.17063492063492058
D0_minus_D2,original,masked_accel_reencode,3,23,0.029474460724460916,0.11666921041921041,0.0031415343915344174,0.06646825396825395,0.08432539682539691,0.15674603174603174
D0_minus_D1,original,postencode_mask,3,37,0.042691798941798975,0.09757580382580383,0.10162037037037042,-0.030753968253968256,0.15403439153439158,0.023809523809523836
D1_minus_D2,postencode_mask,masked_accel_reencode,3,37,0.10349511599511613,0.06328347578347576,0.028339947089947026,0.19841269841269837,-0.014351851851851782,0.16170634920634924
D0_minus_D2,original,masked_accel_reencode,3,37,0.1461869149369151,0.1608592796092796,0.12996031746031744,0.16765873015873012,0.1396825396825398,0.18551587301587308
D0_minus_D1,original,postencode_mask,4,11,-0.02433989621489624,0.03796169108669106,-0.05704365079365076,0.01835317460317465,0.06498015873015878,0.020337301587301626
D1_minus_D2,postencode_mask,masked_accel_reencode,4,11,-0.002606074481074583,-0.045970695970695974,0.028769841269841223,-0.044642857142857206,-0.04315476190476192,-0.04811507936507947
D0_minus_D2,original,masked_accel_reencode,4,11,-0.026945970695970822,-0.008009004884004911,-0.028273809523809534,-0.026289682539682557,0.02182539682539686,-0.027777777777777846
D0_minus_D1,original,postencode_mask,4,23,-0.017559523809523803,0.0450396825396826,-0.017857142857142905,-0.015873015873015817,0.001984126984126977,0.08680555555555569
D1_minus_D2,postencode_mask,masked_accel_reencode,4,23,0.027690018315018217,0.03139880952380952,0.055059523809523836,-0.009424603174603197,0.07043650793650796,-0.01736111111111116
D0_minus_D2,original,masked_accel_reencode,4,23,0.010130494505494414,0.07643849206349212,0.03720238095238093,-0.025297619047619013,0.07242063492063494,0.06944444444444453
D0_minus_D1,original,postencode_mask,4,37,0.02256944444444442,0.01803266178266183,0.02083333333333326,0.03373015873015872,-0.015873015873015928,0.06994047619047628
D1_minus_D2,postencode_mask,masked_accel_reencode,4,37,0.06767017704517708,0.018227258852258788,0.09027777777777785,0.03769841269841273,0.02430555555555558,0.011904761904761862
D0_minus_D2,original,masked_accel_reencode,4,37,0.0902396214896215,0.03625992063492062,0.1111111111111111,0.07142857142857145,0.008432539682539653,0.08184523809523814
