contrast,rotation,probe,test_ba_delta
D0_minus_D2,1,l2__post_reset__fixed250_ordered_mean,0.026512839012839035
D0_minus_D1,1,l2__spike__whole_count,0.004826886076886083
D1_minus_D2,1,l2__spike__whole_count,-0.027067839567839536
D0_minus_D2,1,l2__spike__whole_count,-0.022240953490953452
D0_minus_D1,1,l2__spike__fixed250_count,-0.03213557276057274
D1_minus_D2,1,l2__spike__fixed250_count,0.027342449217449254
D0_minus_D2,1,l2__spike__fixed250_count,-0.004793123543123483
D0_minus_D1,2,input__events__whole_count,-0.06383928571428577
D1_minus_D2,2,input__events__whole_count,-0.026124338624338495
D0_minus_D2,2,input__events__whole_count,-0.08996362433862426
D0_minus_D1,2,input__events__fixed250_count,-0.004100529100529271
D1_minus_D2,2,input__events__fixed250_count,0.05473935786435802
D0_minus_D2,2,input__events__fixed250_count,0.05063882876382875
D0_minus_D1,2,l1__syn_current__whole_mean,-0.005656766073432795
D1_minus_D2,2,l1__syn_current__whole_mean,-0.0865164542247877
D0_minus_D2,2,l1__syn_current__whole_mean,-0.09217322029822049
D0_minus_D1,2,l1__syn_current__fixed250_ordered_mean,0.0032993626743626305
D1_minus_D2,2,l1__syn_current__fixed250_ordered_mean,-0.026342793009459593
D0_minus_D2,2,l1__syn_current__fixed250_ordered_mean,-0.023043430335096964
D0_minus_D1,2,l1__pre_reset__whole_mean,0.06704445246111919
D1_minus_D2,2,l1__pre_reset__whole_mean,-0.07540083373416716
D0_minus_D2,2,l1__pre_reset__whole_mean,-0.00835638127304796
D0_minus_D1,2,l1__pre_reset__fixed250_ordered_mean,-0.003688171396504717
D1_minus_D2,2,l1__pre_reset__fixed250_ordered_mean,-0.02700867805034472
D0_minus_D2,2,l1__pre_reset__fixed250_ordered_mean,-0.030696849446849434
D0_minus_D1,2,l1__spike__whole_mean,-0.027719155844155813
D1_minus_D2,2,l1__spike__whole_mean,0.01670975629308961
D0_minus_D2,2,l1__spike__whole_mean,-0.011009399551066204
D0_minus_D1,2,l1__spike__fixed250_ordered_mean,-0.005419272085938824
D1_minus_D2,2,l1__spike__fixed250_ordered_mean,0.014149430816097467
D0_minus_D2,2,l1__spike__fixed250_ordered_mean,0.008730158730158644
D0_minus_D1,2,l1__post_reset__whole_mean,0.03520672999839671
D1_minus_D2,2,l1__post_reset__whole_mean,-0.04453914141414145
D0_minus_D2,2,l1__post_reset__whole_mean,-0.009332411415744738
D0_minus_D1,2,l1__post_reset__fixed250_ordered_mean,-0.0023433742183742723
D1_minus_D2,2,l1__post_reset__fixed250_ordered_mean,-0.040894059644059566
D0_minus_D2,2,l1__post_reset__fixed250_ordered_mean,-0.04323743386243384
D0_minus_D1,2,l1__spike__whole_count,-0.015150012025012038
D1_minus_D2,2,l1__spike__whole_count,0.025799663299663284
D0_minus_D2,2,l1__spike__whole_count,0.010649651274651247
D0_minus_D1,2,l1__spike__fixed250_count,0.043694384319384404
