split_seed,accuracy,balanced_accuracy,cohort,coverage,macro_f1,n_samples,observed_samples,observed_time_ms,samples_per_relative_bin
71,0.06896551724137931,0.07167658730158731,test,0.9666666666666667,0.03777327022763128,174,50,781.25,5.0
11,0.08854166666666667,0.12076648841354724,test,0.9230769230769231,0.055662827461607944,192,60,937.5,6.0
23,0.06451612903225806,0.0711898395721925,test,0.8757062146892656,0.040597698021099,155,60,937.5,6.0
37,0.10869565217391304,0.14042809042809043,test,0.8734177215189873,0.08914489587527681,138,60,937.5,6.0
53,0.05970149253731343,0.05827505827505827,test,0.9571428571428572,0.046907096171802054,134,60,937.5,6.0
71,0.056962025316455694,0.07285353535353535,test,0.8777777777777778,0.04806215690362032,158,60,937.5,6.0
11,0.12209302325581395,0.18579925657131538,test,0.8269230769230769,0.1066724004224004,172,70,1093.75,7.0
23,0.15328467153284672,0.2460550887021475,test,0.7740112994350282,0.14319041398751542,137,70,1093.75,7.0
37,0.16101694915254236,0.2597730972730973,test,0.7468354430379747,0.15274053407045735,118,70,1093.75,7.0
53,0.0859375,0.09069055944055944,test,0.9142857142857143,0.0452928297755884,128,70,1093.75,7.0
71,0.15942028985507245,0.20461017740429502,test,0.7666666666666667,0.14334075522247564,138,70,1093.75,7.0
11,0.19047619047619047,0.21634867583396994,test,0.7067307692307693,0.16156710886694092,147,80,1250.0,8.0
23,0.24107142857142858,0.3161531279178338,test,0.632768361581921,0.23073909397195125,112,80,1250.0,8.0
37,0.21428571428571427,0.2960705960705961,test,0.620253164556962,0.22246830845229015,98,80,1250.0,8.0
53,0.12280701754385964,0.1778846153846154,test,0.8142857142857143,0.10330033575469681,114,80,1250.0,8.0
71,0.2743362831858407,0.3362907146329606,test,0.6277777777777778,0.27601402220967436,113,80,1250.0,8.0
11,0.38333333333333336,0.49630718954248365,test,0.5769230769230769,0.35289480148351116,120,90,1406.25,9.0
23,0.28,0.2965044215044215,test,0.423728813559322,0.2245686680469289,75,90,1406.25,9.0
37,0.18181818181818182,0.22635281385281386,test,0.4873417721518987,0.162878471431103,77,90,1406.25,9.0
53,0.20408163265306123,0.27677655677655677,test,0.7,0.17430767761650112,98,90,1406.25,9.0
71,0.45,0.5511155511155512,test,0.4444444444444444,0.45863134113908105,80,90,1406.25,9.0
11,0.4864864864864865,0.5049306902248079,test,0.3557692307692308,0.3127877143222412,74,100,1562.5,10.0
23,0.5,0.49910714285714286,test,0.22598870056497175,0.35114885114885114,40,100,1562.5,10.0
37,0.38461538461538464,0.43633156966490305,test,0.3291139240506329,0.29776158185249096,52,100,1562.5,10.0
53,0.2962962962962963,0.2798826173826174,test,0.5785714285714286,0.2224995143153711,81,100,1562.5,10.0
71,0.46808510638297873,0.34545454545454546,test,0.2611111111111111,0.27696394514576334,47,100,1562.5,10.0
11,0.5588235294117647,0.6898148148148149,test,0.16346153846153846,0.5278523690177824,34,110,1718.75,11.0
23,0.4444444444444444,0.5208333333333334,test,0.15254237288135594,0.3220779220779221,27,110,1718.75,11.0
37,0.6388888888888888,0.546875,test,0.22784810126582278,0.4220634920634921,36,110,1718.75,11.0
53,0.3384615384615385,0.3907968574635241,test,0.4642857142857143,0.2284523115119427,65,110,1718.75,11.0
71,0.6785714285714286,0.6556122448979592,test,0.15555555555555556,0.4854700854700855,28,110,1718.75,11.0
11,0.6923076923076923,0.6428571428571428,test,0.0625,0.5359848484848485,13,120,1875.0,12.0
23,0.6190476190476191,0.6458333333333333,test,0.11864406779661017,0.46571428571428575,21,120,1875.0,12.0
37,0.3076923076923077,0.2833333333333333,test,0.08227848101265822,0.22380952380952382,13,120,1875.0,12.0
53,0.3333333333333333,0.42782738095238093,test,0.34285714285714286,0.22579365079365077,48,120,1875.0,12.0
71,0.3333333333333333,0.3,test,0.03333333333333333,0.25,6,120,1875.0,12.0
11,0.4,0.5,test,0.02403846153846154,0.3333333333333333,5,130,2031.25,13.0
23,0.45454545454545453,0.5555555555555556,test,0.062146892655367235,0.43809523809523804,11,130,2031.25,13.0
37,0.1111111111111111,0.1,test,0.056962025316455694,0.05714285714285715,9,130,2031.25,13.0
53,0.28125,0.31666666666666665,test,0.22857142857142856,0.20216450216450219,32,130,2031.25,13.0
71,0.3333333333333333,0.25,test,0.016666666666666666,0.16666666666666666,3,130,2031.25,13.0
11,0.0,0.0,test,0.004807692307692308,0.0,1,140,2187.5,14.0
23,0.5,0.6,test,0.03389830508474576,0.4333333333333333,6,140,2187.5,14.0
37,0.2,0.16666666666666666,test,0.03164556962025317,0.09523809523809523,5,140,2187.5,14.0
53,0.25,0.20666666666666664,test,0.14285714285714285,0.15625,20,140,2187.5,14.0
23,0.5,0.6666666666666666,test,0.022598870056497175,0.41666666666666663,4,150,2343.75,15.0
37,0.3333333333333333,0.25,test,0.0189873417721519,0.16666666666666666,3,150,2343.75,15.0
53,0.4166666666666667,0.4133333333333333,test,0.08571428571428572,0.27210884353741494,12,150,2343.75,15.0
23,0.0,0.0,test,0.005649717514124294,0.0,1,160,2500.0,16.0
37,0.5,0.5,test,0.012658227848101266,0.3333333333333333,2,160,2500.0,16.0
53,0.16666666666666666,0.08333333333333333,test,0.04285714285714286,0.06666666666666667,6,160,2500.0,16.0
23,1.0,1.0,test,0.005649717514124294,1.0,1,170,2656.25,17.0
37,1.0,1.0,test,0.006329113924050633,1.0,1,170,2656.25,17.0
53,0.0,0.0,test,0.02857142857142857,0.0,4,170,2656.25,17.0
53,0.25,0.16666666666666666,test,0.02857142857142857,0.13333333333333333,4,180,2812.5,18.0
53,0.25,0.16666666666666666,test,0.02857142857142857,0.1111111111111111,4,190,2968.75,19.0
53,0.0,0.0,test,0.014285714285714285,0.0,2,200,3125.0,20.0
53,0.0,0.0,test,0.014285714285714285,0.0,2,210,3281.25,21.0
53,0.0,0.0,test,0.014285714285714285,0.0,2,220,3437.5,22.0
53,0.0,0.0,test,0.014285714285714285,0.0,2,230,3593.75,23.0
53,0.0,0.0,test,0.007142857142857143,0.0,1,240,3750.0,24.0
11,0.0859538784067086,0.07945736434108527,train,1.0,0.023903018127026165,477,10,156.25,1.0
23,0.09494949494949495,0.08825519368567364,train,1.0,0.03432199526287886,495,10,156.25,1.0
37,0.08863198458574181,0.08451450988453764,train,1.0,0.038618616493387097,519,10,156.25,1.0
53,0.0914396887159533,0.08588024581813401,train,1.0,0.03631644557623003,514,10,156.25,1.0
71,0.1073558648111332,0.09993511158630099,train,1.0,0.05682022448761961,503,10,156.25,1.0
11,0.10272536687631027,0.09594169023674837,train,1.0,0.03784953447364508,477,20,312.5,2.0
23,0.10909090909090909,0.10232814689336428,train,1.0,0.05008960526695081,495,20,312.5,2.0
37,0.0905587668593449,0.08661170481681475,train,1.0,0.042039949302477723,519,20,312.5,2.0
53,0.11284046692607004,0.10533379691840532,train,1.0,0.06682686868445405,514,20,312.5,2.0
71,0.1172962226640159,0.10996763329400218,train,1.0,0.07114841591250731,503,20,312.5,2.0
11,0.09014675052410902,0.0832892882311487,train,1.0,0.04015601421207828,477,30,468.75,3.0
23,0.08282828282828283,0.07817477807366584,train,1.0,0.04106827916351726,495,30,468.75,3.0
37,0.10982658959537572,0.10698291696487783,train,1.0,0.07630369981952616,519,30,468.75,3.0
53,0.1245136186770428,0.116801723983401,train,1.0,0.07544946117839477,514,30,468.75,3.0
71,0.09940357852882704,0.09525759798835222,train,1.0,0.0681352775904689,503,30,468.75,3.0
11,0.07756813417190776,0.07170542635658915,train,1.0,0.0287437343358396,477,40,625.0,4.0
23,0.07676767676767676,0.07367363612307999,train,1.0,0.03826363206632527,495,40,625.0,4.0
37,0.07707129094412331,0.0731284475965327,train,1.0,0.03785491286097997,519,40,625.0,4.0
53,0.07003891050583658,0.06566367983293449,train,1.0,0.03894823814178652,514,40,625.0,4.0
71,0.073558648111332,0.06973786809118929,train,1.0,0.04537162464354196,503,40,625.0,4.0
11,0.07249466950959488,0.07404466550808013,train,0.9832285115303984,0.02834190360825788,469,50,781.25,5.0
23,0.09368635437881874,0.09367246083732415,train,0.9919191919191919,0.05205604092528526,491,50,781.25,5.0
37,0.08966861598440545,0.08755539704932493,train,0.9884393063583815,0.04672716531041996,513,50,781.25,5.0
53,0.07495069033530571,0.07532169544525828,train,0.9863813229571985,0.0420225609993146,507,50,781.25,5.0
71,0.0907258064516129,0.09381232723524248,train,0.9860834990059643,0.04888246190488388,496,50,781.25,5.0
11,0.1004566210045662,0.1130356072467139,train,0.9182389937106918,0.07075057565225325,438,60,937.5,6.0
23,0.10759493670886076,0.12152459512924628,train,0.9575757575757575,0.0909294652427164,474,60,937.5,6.0
37,0.09147609147609148,0.10440640439779908,train,0.9267822736030829,0.07503418488197561,481,60,937.5,6.0
53,0.11875,0.13438395725629765,train,0.933852140077821,0.09737683311668198,480,60,937.5,6.0
71,0.11563169164882227,0.13816623204815984,train,0.9284294234592445,0.0871933966501957,467,60,937.5,6.0
11,0.19154228855721392,0.24340856846639022,train,0.8427672955974843,0.17065449338496938,402,70,1093.75,7.0
23,0.13625866050808313,0.16718737791487556,train,0.8747474747474747,0.10610838808509915,433,70,1093.75,7.0
37,0.13318284424379231,0.1821419259518107,train,0.8535645472061657,0.11744810718050834,443,70,1093.75,7.0
53,0.1471264367816092,0.19029299248807593,train,0.8463035019455253,0.12374086780827266,435,70,1093.75,7.0
71,0.14588235294117646,0.19357196648895603,train,0.8449304174950298,0.1278955835225539,425,70,1093.75,7.0
11,0.2144927536231884,0.29643560670518304,train,0.7232704402515723,0.21551644813122628,345,80,1250.0,8.0
23,0.19148936170212766,0.2888880533818467,train,0.7595959595959596,0.18145610279464316,376,80,1250.0,8.0
37,0.20887728459530025,0.2923993806547939,train,0.7379576107899807,0.21035131669338267,383,80,1250.0,8.0
53,0.2037533512064343,0.2851550296484853,train,0.72568093385214,0.19638306245497958,373,80,1250.0,8.0
71,0.1956521739130435,0.27556126859347496,train,0.731610337972167,0.18932743032749758,368,80,1250.0,8.0
11,0.24060150375939848,0.44470005397424756,train,0.5576519916142557,0.24566703975441442,266,90,1406.25,9.0
23,0.2724358974358974,0.462783857566509,train,0.6303030303030303,0.2947747144968819,312,90,1406.25,9.0
37,0.284789644012945,0.4550433887548225,train,0.5953757225433526,0.30233036268156055,309,90,1406.25,9.0
53,0.27796610169491526,0.429257337152074,train,0.5739299610894941,0.2780370461767802,295,90,1406.25,9.0
71,0.26621160409556316,0.4048799249172403,train,0.5825049701789264,0.27955294496924804,293,90,1406.25,9.0
11,0.3497536945812808,0.4320613935456515,train,0.42557651991614254,0.29169693110553324,203,100,1562.5,10.0
23,0.359504132231405,0.47827793121910767,train,0.4888888888888889,0.30355416264686735,242,100,1562.5,10.0
37,0.3146551724137931,0.4152948693927891,train,0.44701348747591524,0.2739969185611716,232,100,1562.5,10.0
53,0.37962962962962965,0.4804963867867095,train,0.42023346303501946,0.3109169716048006,216,100,1562.5,10.0
71,0.3893805309734513,0.503555868183232,train,0.44930417495029823,0.3236926400802288,226,100,1562.5,10.0
11,0.4875,0.5002712292369043,train,0.33542976939203356,0.36102851644896977,160,110,1718.75,11.0
23,0.47282608695652173,0.5160733109483109,train,0.3717171717171717,0.33560729933238237,184,110,1718.75,11.0
37,0.42391304347826086,0.47893344155844153,train,0.35452793834296725,0.3311937661924272,184,110,1718.75,11.0
53,0.4666666666666667,0.4992376971687317,train,0.321011673151751,0.3340978610862843,165,110,1718.75,11.0
71,0.4147727272727273,0.5094492544492544,train,0.3499005964214712,0.3269886103322521,176,110,1718.75,11.0
11,0.5283018867924528,0.6351499664193163,train,0.2222222222222222,0.45665445074012845,106,120,1875.0,12.0
23,0.5126050420168067,0.5269632414369256,train,0.2404040404040404,0.41189380990786345,119,120,1875.0,12.0
37,0.5220588235294118,0.47416796978200487,train,0.26204238921001927,0.36292000113606454,136,120,1875.0,12.0
53,0.5,0.5580226962579905,train,0.23346303501945526,0.4110885530240369,120,120,1875.0,12.0
71,0.4740740740740741,0.5638601624712736,train,0.268389662027833,0.4247618656524687,135,120,1875.0,12.0
11,0.5645161290322581,0.6622835497835498,train,0.129979035639413,0.4571739130434782,62,130,2031.25,13.0
23,0.5584415584415584,0.6377348142054025,train,0.15555555555555556,0.41029942279942283,77,130,2031.25,13.0
37,0.5053763440860215,0.6312238930659984,train,0.1791907514450867,0.5039621139722537,93,130,2031.25,13.0
53,0.5679012345679012,0.5805722055722056,train,0.1575875486381323,0.4236356213445997,81,130,2031.25,13.0
71,0.4948453608247423,0.5945648434812522,train,0.19284294234592445,0.41986881805063625,97,130,2031.25,13.0
11,0.6923076923076923,0.7299107142857143,train,0.08176100628930817,0.46426300971755513,39,140,2187.5,14.0
23,0.6862745098039216,0.8295454545454546,train,0.10303030303030303,0.7432416267942583,51,140,2187.5,14.0
37,0.639344262295082,0.7192234848484849,train,0.11753371868978806,0.5679733846400512,61,140,2187.5,14.0
53,0.7037037037037037,0.7616883116883117,train,0.10505836575875487,0.520185476405572,54,140,2187.5,14.0
71,0.6615384615384615,0.7306570063923006,train,0.12922465208747516,0.48717842497746794,65,140,2187.5,14.0
11,0.631578947368421,0.6333333333333333,train,0.039832285115303984,0.4214285714285714,19,150,2343.75,15.0
23,0.6785714285714286,0.8255411255411256,train,0.05656565656565657,0.6620670995670996,28,150,2343.75,15.0
37,0.6666666666666666,0.7571428571428571,train,0.06936416184971098,0.5011255411255411,36,150,2343.75,15.0
53,0.7333333333333333,0.7999999999999999,train,0.058365758754863814,0.6540775401069518,30,150,2343.75,15.0
71,0.6111111111111112,0.6979591836734694,train,0.07157057654075547,0.41928374655647377,36,150,2343.75,15.0
11,0.875,0.75,train,0.016771488469601678,0.6,8,160,2500.0,16.0
23,0.9333333333333333,0.9761904761904763,train,0.030303030303030304,0.9584415584415584,15,160,2500.0,16.0
37,0.6470588235294118,0.6845238095238094,train,0.03275529865125241,0.48229548229548236,17,160,2500.0,16.0
53,0.8666666666666667,0.9,train,0.029182879377431907,0.7944444444444445,15,160,2500.0,16.0
71,0.65,0.7321428571428571,train,0.039761431411530816,0.5402564102564102,20,160,2500.0,16.0
11,1.0,1.0,train,0.0041928721174004195,1.0,2,170,2656.25,17.0
23,1.0,1.0,train,0.00808080808080808,1.0,4,170,2656.25,17.0
37,0.42857142857142855,0.4666666666666666,train,0.01348747591522158,0.3611111111111111,7,170,2656.25,17.0
53,1.0,1.0,train,0.009727626459143969,1.0,5,170,2656.25,17.0
71,0.5555555555555556,0.4666666666666666,train,0.017892644135188866,0.3833333333333333,9,170,2656.25,17.0
23,1.0,1.0,train,0.00404040404040404,1.0,2,180,2812.5,18.0
37,0.5,0.5833333333333333,train,0.011560693641618497,0.4,6,180,2812.5,18.0
53,0.5,0.5,train,0.0038910505836575876,0.3333333333333333,2,180,2812.5,18.0
71,0.5,0.5833333333333333,train,0.011928429423459244,0.4,6,180,2812.5,18.0
23,1.0,1.0,train,0.00404040404040404,1.0,2,190,2968.75,19.0
37,0.6666666666666666,0.6666666666666666,train,0.011560693641618497,0.49333333333333335,6,190,2968.75,19.0
53,1.0,1.0,train,0.0038910505836575876,1.0,2,190,2968.75,19.0
71,0.6666666666666666,0.6666666666666666,train,0.011928429423459244,0.49333333333333335,6,190,2968.75,19.0
37,0.0,0.0,train,0.0038535645472061657,0.0,2,200,3125.0,20.0
71,0.0,0.0,train,0.003976143141153081,0.0,2,200,3125.0,20.0
37,0.0,0.0,train,0.0038535645472061657,0.0,2,210,3281.25,21.0
71,0.0,0.0,train,0.003976143141153081,0.0,2,210,3281.25,21.0
37,0.5,0.5,train,0.0038535645472061657,0.3333333333333333,2,220,3437.5,22.0
71,0.5,0.5,train,0.003976143141153081,0.3333333333333333,2,220,3437.5,22.0
37,1.0,1.0,train,0.0038535645472061657,1.0,2,230,3593.75,23.0
71,1.0,1.0,train,0.003976143141153081,1.0,2,230,3593.75,23.0
37,1.0,1.0,train,0.0019267822736030828,1.0,1,240,3750.0,24.0
71,1.0,1.0,train,0.0019880715705765406,1.0,1,240,3750.0,24.0
11,0.08928571428571429,0.08263888888888889,val,1.0,0.02129735935706085,168,10,156.25,1.0
23,0.07734806629834254,0.07516339869281045,val,1.0,0.030303030303030304,181,10,156.25,1.0
37,0.09090909090909091,0.08902894491129786,val,1.0,0.05551620474592425,176,10,156.25,1.0
53,0.07035175879396985,0.07283834586466165,val,1.0,0.022681308625028596,199,10,156.25,1.0
71,0.058823529411764705,0.06049679487179487,val,1.0,0.019696969696969695,170,10,156.25,1.0
11,0.08928571428571429,0.08268849206349206,val,1.0,0.04544178648542768,168,20,312.5,2.0
23,0.08839779005524862,0.08647561588738058,val,1.0,0.04116707270412108,181,20,312.5,2.0
37,0.11363636363636363,0.11050711951447245,val,1.0,0.06802128142017021,176,20,312.5,2.0
53,0.08542713567839195,0.08375974658869395,val,1.0,0.03765811340431616,199,20,312.5,2.0
71,0.09411764705882353,0.09489468864468864,val,1.0,0.0467351328512853,170,20,312.5,2.0
11,0.09523809523809523,0.0882936507936508,val,1.0,0.041734991989444914,168,30,468.75,3.0
23,0.11049723756906077,0.10522875816993464,val,1.0,0.05415669592752926,181,30,468.75,3.0
37,0.09659090909090909,0.094880174291939,val,1.0,0.06434752549461152,176,30,468.75,3.0
53,0.08040201005025126,0.0774984335839599,val,1.0,0.038662624115691976,199,30,468.75,3.0
71,0.1,0.09323870573870574,val,1.0,0.05214917027417027,170,30,468.75,3.0
11,0.08333333333333333,0.0767361111111111,val,1.0,0.02322472848788638,168,40,625.0,4.0
23,0.08839779005524862,0.08627450980392155,val,1.0,0.042077378469554276,181,40,625.0,4.0
37,0.056818181818181816,0.05555555555555556,val,1.0,0.01901960784313726,176,40,625.0,4.0
53,0.08040201005025126,0.08325501253132832,val,1.0,0.04330740511741727,199,40,625.0,4.0
71,0.07058823529411765,0.07427503052503052,val,1.0,0.04583457120221826,170,40,625.0,4.0
11,0.0658682634730539,0.061160714285714284,val,0.9940476190476191,0.024671052631578944,167,50,781.25,5.0
23,0.07865168539325842,0.08109243697478992,val,0.9834254143646409,0.029808281145932508,178,50,781.25,5.0
37,0.040697674418604654,0.04898989898989899,val,0.9772727272727273,0.021534076593600404,172,50,781.25,5.0
53,0.07772020725388601,0.07903439153439153,val,0.9698492462311558,0.02573358075531491,193,50,781.25,5.0
71,0.07058823529411765,0.0640491452991453,val,1.0,0.03704441602168875,170,50,781.25,5.0
11,0.08280254777070063,0.07875457875457875,val,0.9345238095238095,0.06451914098972922,157,60,937.5,6.0
23,0.08860759493670886,0.12163745840216428,val,0.8729281767955801,0.06877610693400167,158,60,937.5,6.0
37,0.10714285714285714,0.1201797385620915,val,0.9545454545454546,0.0823907886322367,168,60,937.5,6.0
53,0.11560693641618497,0.145237894415526,val,0.8693467336683417,0.0877053502053502,173,60,937.5,6.0
71,0.06790123456790123,0.0741898148148148,val,0.9529411764705882,0.057720887505003655,162,60,937.5,6.0
11,0.08571428571428572,0.09723609723609722,val,0.8333333333333334,0.07396381854586188,140,70,1093.75,7.0
23,0.10416666666666667,0.13504716280451576,val,0.7955801104972375,0.09298036758563073,144,70,1093.75,7.0
37,0.1503267973856209,0.19135154061624648,val,0.8693181818181818,0.1261989462969855,153,70,1093.75,7.0
53,0.16556291390728478,0.3031189083820663,val,0.7587939698492462,0.15123638689428162,151,70,1093.75,7.0
71,0.11258278145695365,0.15064935064935064,val,0.888235294117647,0.09578401315933284,151,70,1093.75,7.0
11,0.16806722689075632,0.3213904151404151,val,0.7083333333333334,0.1702191853172245,119,80,1250.0,8.0
23,0.17073170731707318,0.28886217948717946,val,0.6795580110497238,0.15732430567840186,123,80,1250.0,8.0
37,0.18461538461538463,0.23437163326869206,val,0.7386363636363636,0.19138400885027565,130,80,1250.0,8.0
53,0.24193548387096775,0.2704263869476366,val,0.6231155778894473,0.21731290099425113,124,80,1250.0,8.0
71,0.11538461538461539,0.16438492063492063,val,0.7647058823529411,0.10040490098651807,130,80,1250.0,8.0
11,0.15151515151515152,0.21333943833943833,val,0.5892857142857143,0.1317782625870861,99,90,1406.25,9.0
23,0.23469387755102042,0.349969474969475,val,0.5414364640883977,0.1811912225705329,98,90,1406.25,9.0
37,0.2222222222222222,0.2702922077922078,val,0.5625,0.2080879281537176,99,90,1406.25,9.0
53,0.45652173913043476,0.5558333333333334,val,0.4623115577889447,0.36596275355349767,92,90,1406.25,9.0
71,0.33035714285714285,0.39396825396825397,val,0.6588235294117647,0.24053183562987482,112,90,1406.25,9.0
11,0.16455696202531644,0.21955922865013774,val,0.47023809523809523,0.13525408769973987,79,100,1562.5,10.0
23,0.36486486486486486,0.4218294051627385,val,0.4088397790055249,0.2606436487638534,74,100,1562.5,10.0
37,0.4444444444444444,0.46871184371184366,val,0.4090909090909091,0.33435387711703507,72,100,1562.5,10.0
53,0.4067796610169492,0.42185592185592186,val,0.2964824120603015,0.28164335664335666,59,100,1562.5,10.0
71,0.39759036144578314,0.3575375242041909,val,0.48823529411764705,0.3243782730483497,83,100,1562.5,10.0
11,0.37681159420289856,0.46194444444444444,val,0.4107142857142857,0.29067298442298445,69,110,1718.75,11.0
23,0.40384615384615385,0.45494628827962164,val,0.287292817679558,0.2940321710375186,52,110,1718.75,11.0
37,0.4883720930232558,0.607010582010582,val,0.24431818181818182,0.4562454212454212,43,110,1718.75,11.0
53,0.6363636363636364,0.619047619047619,val,0.1658291457286432,0.4026330532212885,33,110,1718.75,11.0
71,0.4745762711864407,0.43293581418581417,val,0.34705882352941175,0.35939112487100106,59,110,1718.75,11.0
11,0.42105263157894735,0.4660493827160494,val,0.3392857142857143,0.3091991341991342,57,120,1875.0,12.0
23,0.3888888888888889,0.40009920634920637,val,0.19889502762430938,0.271900826446281,36,120,1875.0,12.0
37,0.5555555555555556,0.6473214285714286,val,0.1534090909090909,0.5094831094831095,27,120,1875.0,12.0
53,0.625,0.5333333333333333,val,0.04020100502512563,0.41111111111111115,8,120,1875.0,12.0
71,0.5428571428571428,0.5091269841269841,val,0.20588235294117646,0.3632620320855615,35,120,1875.0,12.0
11,0.3333333333333333,0.33487654320987653,val,0.2857142857142857,0.24741924741924742,48,130,2031.25,13.0
23,0.2222222222222222,0.29166666666666663,val,0.14917127071823205,0.1396103896103896,27,130,2031.25,13.0
37,0.3076923076923077,0.20833333333333334,val,0.07386363636363637,0.15625,13,130,2031.25,13.0
53,0.0,0.0,val,0.010050251256281407,0.0,2,130,2031.25,13.0
71,0.5333333333333333,0.4444444444444444,val,0.08823529411764706,0.35306122448979593,15,130,2031.25,13.0
11,0.3235294117647059,0.2814625850340136,val,0.20238095238095238,0.23135198135198135,34,140,2187.5,14.0
23,0.058823529411764705,0.04,val,0.09392265193370165,0.0303030303030303,17,140,2187.5,14.0
37,0.625,0.5333333333333333,val,0.045454545454545456,0.3523809523809524,8,140,2187.5,14.0
71,0.3333333333333333,0.25,val,0.052941176470588235,0.15306122448979592,9,140,2187.5,14.0
11,0.5217391304347826,0.5904761904761904,val,0.13690476190476192,0.42962962962962964,23,150,2343.75,15.0
23,0.3,0.3333333333333333,val,0.055248618784530384,0.20833333333333331,10,150,2343.75,15.0
37,0.3333333333333333,0.3333333333333333,val,0.017045454545454544,0.16666666666666666,3,150,2343.75,15.0
71,0.8333333333333334,0.75,val,0.03529411764705882,0.6,6,150,2343.75,15.0
11,0.5384615384615384,0.5238095238095238,val,0.07738095238095238,0.44226190476190474,13,160,2500.0,16.0
23,0.2,0.1111111111111111,val,0.027624309392265192,0.1,5,160,2500.0,16.0
37,0.5,0.5,val,0.011363636363636364,0.3333333333333333,2,160,2500.0,16.0
71,1.0,1.0,val,0.0058823529411764705,1.0,1,160,2500.0,16.0
11,0.14285714285714285,0.2,val,0.041666666666666664,0.08333333333333333,7,170,2656.25,17.0
23,0.0,0.0,val,0.022099447513812154,0.0,4,170,2656.25,17.0
37,0.0,0.0,val,0.005681818181818182,0.0,1,170,2656.25,17.0
11,0.3333333333333333,0.16666666666666666,val,0.03571428571428571,0.13333333333333333,6,180,2812.5,18.0
23,0.0,0.0,val,0.022099447513812154,0.0,4,180,2812.5,18.0
11,0.3333333333333333,0.16666666666666666,val,0.03571428571428571,0.1111111111111111,6,190,2968.75,19.0
23,0.0,0.0,val,0.022099447513812154,0.0,4,190,2968.75,19.0
11,0.0,0.0,val,0.011904761904761904,0.0,2,200,3125.0,20.0
23,0.0,0.0,val,0.011049723756906077,0.0,2,200,3125.0,20.0
11,0.0,0.0,val,0.011904761904761904,0.0,2,210,3281.25,21.0
23,0.0,0.0,val,0.011049723756906077,0.0,2,210,3281.25,21.0
11,0.0,0.0,val,0.011904761904761904,0.0,2,220,3437.5,22.0
23,0.0,0.0,val,0.011049723756906077,0.0,2,220,3437.5,22.0
11,0.0,0.0,val,0.011904761904761904,0.0,2,230,3593.75,23.0
23,0.0,0.0,val,0.011049723756906077,0.0,2,230,3593.75,23.0
11,0.0,0.0,val,0.005952380952380952,0.0,1,240,3750.0,24.0
23,0.0,0.0,val,0.0055248618784530384,0.0,1,240,3750.0,24.0
