architecture,objective,seed,firing_rate,layer,neurons,scope,shift,split,tau_syn_ms
A,fixed250_sequence_ce,101,0.050228799051883065,L2,128,whole_layer,-1,val,
A,fixed250_sequence_ce,11,0.1474245017996664,L3,64,whole_layer,-1,val,
A,fixed250_sequence_ce,23,0.09467315204986393,L3,64,whole_layer,-1,val,
A,fixed250_sequence_ce,101,0.1804371323852164,L3,64,whole_layer,-1,val,
B,fixed250_sequence_ce,11,0.001925944333996024,L1,64,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,23,0.0011493538767395626,L1,64,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,101,0.0014133946322067595,L1,64,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,11,0.025466989728296887,L1,64,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,23,0.01744481030483764,L1,64,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,101,0.024151963220675945,L1,64,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,11,0.04114376242544732,L2,64,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,23,0.026629286779324055,L2,64,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,101,0.03841663560304838,L2,64,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,11,0.09970903744201458,L2,64,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,23,0.07607868414512922,L2,64,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,101,0.09173863071570576,L2,64,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,11,0.013696467031146454,L1,128,whole_layer,-1,test,
B,fixed250_sequence_ce,23,0.009297082090788602,L1,128,whole_layer,-1,test,
B,fixed250_sequence_ce,101,0.012782678926441351,L1,128,whole_layer,-1,test,
B,fixed250_sequence_ce,11,0.07042639993373095,L2,128,whole_layer,-1,test,
B,fixed250_sequence_ce,23,0.05135398546222664,L2,128,whole_layer,-1,test,
B,fixed250_sequence_ce,101,0.06507763315937708,L2,128,whole_layer,-1,test,
B,fixed250_sequence_ce,11,0.21908522821404905,L3,64,whole_layer,-1,test,
B,fixed250_sequence_ce,23,0.16592761141484427,L3,64,whole_layer,-1,test,
B,fixed250_sequence_ce,101,0.2031055852385686,L3,64,whole_layer,-1,test,
B,fixed250_sequence_ce,11,0.002043049809905036,L1,64,tau_subgroup,2,train,54.31342963722199
B,fixed250_sequence_ce,23,0.0011195295359003132,L1,64,tau_subgroup,2,train,54.31342963722199
B,fixed250_sequence_ce,101,0.0016693499087209204,L1,64,tau_subgroup,2,train,54.31342963722199
B,fixed250_sequence_ce,11,0.021149896578290653,L1,64,tau_subgroup,3,train,117.0136826471659
B,fixed250_sequence_ce,23,0.015109723315524144,L1,64,tau_subgroup,3,train,117.0136826471659
B,fixed250_sequence_ce,101,0.019577373674778503,L1,64,tau_subgroup,3,train,117.0136826471659
B,fixed250_sequence_ce,11,0.03422101889225719,L2,64,tau_subgroup,2,train,54.31342963722199
B,fixed250_sequence_ce,23,0.023431611871304873,L2,64,tau_subgroup,2,train,54.31342963722199
B,fixed250_sequence_ce,101,0.030733676537089454,L2,64,tau_subgroup,2,train,54.31342963722199
B,fixed250_sequence_ce,11,0.08028738255145963,L2,64,tau_subgroup,3,train,117.0136826471659
B,fixed250_sequence_ce,23,0.061774320850151575,L2,64,tau_subgroup,3,train,117.0136826471659
B,fixed250_sequence_ce,101,0.07276104560604284,L2,64,tau_subgroup,3,train,117.0136826471659
B,fixed250_sequence_ce,11,0.011596473194097845,L1,128,whole_layer,-1,train,
B,fixed250_sequence_ce,23,0.008114626425712227,L1,128,whole_layer,-1,train,
B,fixed250_sequence_ce,101,0.01062336179174971,L1,128,whole_layer,-1,train,
B,fixed250_sequence_ce,11,0.05725420072185841,L2,128,whole_layer,-1,train,
B,fixed250_sequence_ce,23,0.042602966360728224,L2,128,whole_layer,-1,train,
B,fixed250_sequence_ce,101,0.05174736107156615,L2,128,whole_layer,-1,train,
B,fixed250_sequence_ce,11,0.18089796841241396,L3,64,whole_layer,-1,train,
B,fixed250_sequence_ce,23,0.13483396000468956,L3,64,whole_layer,-1,train,
B,fixed250_sequence_ce,101,0.1642086564389435,L3,64,whole_layer,-1,train,
B,fixed250_sequence_ce,11,0.0009121784742340444,L1,64,tau_subgroup,2,val,54.31342963722199
B,fixed250_sequence_ce,23,0.0004526599947326837,L1,64,tau_subgroup,2,val,54.31342963722199
B,fixed250_sequence_ce,101,0.0005747410236151347,L1,64,tau_subgroup,2,val,54.31342963722199
B,fixed250_sequence_ce,11,0.01579234702835572,L1,64,tau_subgroup,3,val,117.0136826471659
B,fixed250_sequence_ce,23,0.010545606180317794,L1,64,tau_subgroup,3,val,117.0136826471659
B,fixed250_sequence_ce,101,0.015040657097708717,L1,64,tau_subgroup,3,val,117.0136826471659
B,fixed250_sequence_ce,11,0.023336680273900446,L2,64,tau_subgroup,2,val,54.31342963722199
B,fixed250_sequence_ce,23,0.013911750504784479,L2,64,tau_subgroup,2,val,54.31342963722199
B,fixed250_sequence_ce,101,0.021310683873233253,L2,64,tau_subgroup,2,val,54.31342963722199
B,fixed250_sequence_ce,11,0.06270438284610658,L2,64,tau_subgroup,3,val,117.0136826471659
B,fixed250_sequence_ce,23,0.04631123255201475,L2,64,tau_subgroup,3,val,117.0136826471659
B,fixed250_sequence_ce,101,0.057882868053726624,L2,64,tau_subgroup,3,val,117.0136826471659
B,fixed250_sequence_ce,11,0.008352262751294881,L1,128,whole_layer,-1,val,
B,fixed250_sequence_ce,23,0.0054991330875252395,L1,128,whole_layer,-1,val,
B,fixed250_sequence_ce,101,0.007807699060661926,L1,128,whole_layer,-1,val,
B,fixed250_sequence_ce,11,0.04302053156000351,L2,128,whole_layer,-1,val,
B,fixed250_sequence_ce,23,0.030111491528399613,L2,128,whole_layer,-1,val,
B,fixed250_sequence_ce,101,0.03959677596347994,L2,128,whole_layer,-1,val,
B,fixed250_sequence_ce,11,0.15159034544816083,L3,64,whole_layer,-1,val,
B,fixed250_sequence_ce,23,0.10718714335879202,L3,64,whole_layer,-1,val,
B,fixed250_sequence_ce,101,0.13672526556053025,L3,64,whole_layer,-1,val,
C,fixed250_sequence_ce,11,0.0003409773914651625,L1,43,tau_subgroup,2,test,54.31342963722199
C,fixed250_sequence_ce,23,0.00030244887265553966,L1,43,tau_subgroup,2,test,54.31342963722199
C,fixed250_sequence_ce,101,0.00027740533542928476,L1,43,tau_subgroup,2,test,54.31342963722199
C,fixed250_sequence_ce,11,0.004692773591012067,L1,43,tau_subgroup,3,test,117.0136826471659
C,fixed250_sequence_ce,23,0.006863855625934317,L1,43,tau_subgroup,3,test,117.0136826471659
C,fixed250_sequence_ce,101,0.0060470510271703115,L1,43,tau_subgroup,3,test,117.0136826471659
C,fixed250_sequence_ce,11,0.04928760768721007,L1,42,tau_subgroup,4,test,242.10347130039656
C,fixed250_sequence_ce,23,0.033937249518760454,L1,42,tau_subgroup,4,test,242.10347130039656
C,fixed250_sequence_ce,101,0.04286779324055666,L1,42,tau_subgroup,4,test,242.10347130039656
C,fixed250_sequence_ce,11,0.03961502304005425,L2,43,tau_subgroup,2,test,54.31342963722199
C,fixed250_sequence_ce,23,0.0249491423551713,L2,43,tau_subgroup,2,test,54.31342963722199
C,fixed250_sequence_ce,101,0.029189205850170295,L2,43,tau_subgroup,2,test,54.31342963722199
C,fixed250_sequence_ce,11,0.06660810331807604,L2,43,tau_subgroup,3,test,117.0136826471659
C,fixed250_sequence_ce,23,0.07148196094749333,L2,43,tau_subgroup,3,test,117.0136826471659
C,fixed250_sequence_ce,101,0.08044176799667113,L2,43,tau_subgroup,3,test,117.0136826471659
C,fixed250_sequence_ce,11,0.13984742339613115,L2,42,tau_subgroup,4,test,242.10347130039656
C,fixed250_sequence_ce,23,0.12832528637697624,L2,42,tau_subgroup,4,test,242.10347130039656
C,fixed250_sequence_ce,101,0.1658284420461359,L2,42,tau_subgroup,4,test,242.10347130039656
C,fixed250_sequence_ce,11,0.01786352199304175,L1,128,whole_layer,-1,test,
C,fixed250_sequence_ce,23,0.013543090415838304,L1,128,whole_layer,-1,test,
C,fixed250_sequence_ce,101,0.016190616716368456,L1,128,whole_layer,-1,test,
C,fixed250_sequence_ce,11,0.08157176731278992,L2,128,whole_layer,-1,test,
C,fixed250_sequence_ce,23,0.07450155835818423,L2,128,whole_layer,-1,test,
C,fixed250_sequence_ce,101,0.09124161282306163,L2,128,whole_layer,-1,test,
C,fixed250_sequence_ce,11,0.23938530276673295,L3,64,whole_layer,-1,test,
C,fixed250_sequence_ce,23,0.20280659791252484,L3,64,whole_layer,-1,test,
C,fixed250_sequence_ce,101,0.23995480243538767,L3,64,whole_layer,-1,test,
C,fixed250_sequence_ce,11,0.0005059591392228951,L1,43,tau_subgroup,2,train,54.31342963722199
C,fixed250_sequence_ce,23,0.00043818632149788834,L1,43,tau_subgroup,2,train,54.31342963722199
C,fixed250_sequence_ce,101,0.0005363400575134153,L1,43,tau_subgroup,2,train,54.31342963722199
C,fixed250_sequence_ce,11,0.004482353944709066,L1,43,tau_subgroup,3,train,117.0136826471659
C,fixed250_sequence_ce,23,0.006128766016683798,L1,43,tau_subgroup,3,train,117.0136826471659
C,fixed250_sequence_ce,101,0.005563992535642075,L1,43,tau_subgroup,3,train,117.0136826471659
C,fixed250_sequence_ce,11,0.04173555465698765,L1,42,tau_subgroup,4,train,242.10347130039656
C,fixed250_sequence_ce,23,0.03049415120026606,L1,42,tau_subgroup,4,train,242.10347130039656
C,fixed250_sequence_ce,101,0.03506807449393746,L1,42,tau_subgroup,4,train,242.10347130039656
C,fixed250_sequence_ce,11,0.03206394326402459,L2,43,tau_subgroup,2,train,54.31342963722199
C,fixed250_sequence_ce,23,0.02424475179374005,L2,43,tau_subgroup,2,train,54.31342963722199
C,fixed250_sequence_ce,101,0.02434329502870802,L2,43,tau_subgroup,2,train,54.31342963722199
C,fixed250_sequence_ce,11,0.05903791421752971,L2,43,tau_subgroup,3,train,117.0136826471659
C,fixed250_sequence_ce,23,0.06042180399555815,L2,43,tau_subgroup,3,train,117.0136826471659
C,fixed250_sequence_ce,101,0.06538557864548623,L2,43,tau_subgroup,3,train,117.0136826471659
C,fixed250_sequence_ce,11,0.12711479151762536,L2,42,tau_subgroup,4,train,242.10347130039656
C,fixed250_sequence_ce,23,0.11390305196726554,L2,42,tau_subgroup,4,train,242.10347130039656
C,fixed250_sequence_ce,101,0.14349478046364508,L2,42,tau_subgroup,4,train,242.10347130039656
C,fixed250_sequence_ce,11,0.015370240298457467,L1,128,whole_layer,-1,train,
C,fixed250_sequence_ce,23,0.012211978913695212,L1,128,whole_layer,-1,train,
C,fixed250_sequence_ce,101,0.0135560424238364,L1,128,whole_layer,-1,train,
C,fixed250_sequence_ce,11,0.07231407121443047,L2,128,whole_layer,-1,train,
C,fixed250_sequence_ce,23,0.06581711001222637,L2,128,whole_layer,-1,train,
C,fixed250_sequence_ce,101,0.07722751833955818,L2,128,whole_layer,-1,train,
C,fixed250_sequence_ce,11,0.2099790434957375,L3,64,whole_layer,-1,train,
C,fixed250_sequence_ce,23,0.18961370735424657,L3,64,whole_layer,-1,train,
C,fixed250_sequence_ce,101,0.20840966092752944,L3,64,whole_layer,-1,train,
C,fixed250_sequence_ce,11,0.00016128604181595834,L1,43,tau_subgroup,2,val,54.31342963722199
C,fixed250_sequence_ce,23,0.00010820455969931382,L1,43,tau_subgroup,2,val,54.31342963722199
C,fixed250_sequence_ce,101,9.595498690316509e-05,L1,43,tau_subgroup,2,val,54.31342963722199
C,fixed250_sequence_ce,11,0.001992597174840194,L1,43,tau_subgroup,3,val,117.0136826471659
C,fixed250_sequence_ce,23,0.0034992946287664885,L1,43,tau_subgroup,3,val,117.0136826471659
C,fixed250_sequence_ce,101,0.0031542649950082992,L1,43,tau_subgroup,3,val,117.0136826471659
C,fixed250_sequence_ce,11,0.03194878161957435,L1,42,tau_subgroup,4,val,242.10347130039656
C,fixed250_sequence_ce,23,0.022262772196930743,L1,42,tau_subgroup,4,val,242.10347130039656
C,fixed250_sequence_ce,101,0.028251209183524167,L1,42,tau_subgroup,4,val,242.10347130039656
C,fixed250_sequence_ce,11,0.02293120027439043,L2,43,tau_subgroup,2,val,54.31342963722199
C,fixed250_sequence_ce,23,0.014432038349329233,L2,43,tau_subgroup,2,val,54.31342963722199
C,fixed250_sequence_ce,101,0.015740701043051124,L2,43,tau_subgroup,2,val,54.31342963722199
C,fixed250_sequence_ce,11,0.04493959939813766,L2,43,tau_subgroup,3,val,117.0136826471659
C,fixed250_sequence_ce,23,0.04415154354825209,L2,43,tau_subgroup,3,val,117.0136826471659
C,fixed250_sequence_ce,101,0.05195656301486486,L2,43,tau_subgroup,3,val,117.0136826471659
C,fixed250_sequence_ce,11,0.1129170481290576,L2,42,tau_subgroup,4,val,242.10347130039656
C,fixed250_sequence_ce,23,0.08857452207465376,L2,42,tau_subgroup,4,val,242.10347130039656
C,fixed250_sequence_ce,101,0.1287419892897902,L2,42,tau_subgroup,4,val,242.10347130039656
C,fixed250_sequence_ce,11,0.01120676411201826,L1,128,whole_layer,-1,val,
C,fixed250_sequence_ce,23,0.00851686638574313,L1,128,whole_layer,-1,val,
C,fixed250_sequence_ce,101,0.01036179878851725,L1,128,whole_layer,-1,val,
C,fixed250_sequence_ce,11,0.05985125318233693,L2,128,whole_layer,-1,val,
C,fixed250_sequence_ce,23,0.048743937099464486,L2,128,whole_layer,-1,val,
C,fixed250_sequence_ce,101,0.06498551488016856,L2,128,whole_layer,-1,val,
C,fixed250_sequence_ce,11,0.17628226231235186,L3,64,whole_layer,-1,val,
C,fixed250_sequence_ce,23,0.14990315819506628,L3,64,whole_layer,-1,val,
C,fixed250_sequence_ce,101,0.18456045342814503,L3,64,whole_layer,-1,val,
D,fixed250_sequence_ce,11,0.0011157016235917826,L1,64,tau_subgroup,2,test,54.31342963722199
D,fixed250_sequence_ce,23,0.0006613962060967528,L1,64,tau_subgroup,2,test,54.31342963722199
D,fixed250_sequence_ce,101,0.001041925530152419,L1,64,tau_subgroup,2,test,54.31342963722199
D,fixed250_sequence_ce,11,0.02155297382372432,L1,64,tau_subgroup,3,test,117.0136826471659
D,fixed250_sequence_ce,23,0.01608059973492379,L1,64,tau_subgroup,3,test,117.0136826471659
D,fixed250_sequence_ce,101,0.016208737160371106,L1,64,tau_subgroup,3,test,117.0136826471659
D,fixed250_sequence_ce,11,0.046090643638170975,L2,32,tau_subgroup,2,test,54.31342963722199
D,fixed250_sequence_ce,23,0.02183772365805169,L2,32,tau_subgroup,2,test,54.31342963722199
D,fixed250_sequence_ce,101,0.032096483598409546,L2,32,tau_subgroup,2,test,54.31342963722199
D,fixed250_sequence_ce,11,0.043463179257786616,L2,32,tau_subgroup,3,test,117.0136826471659
D,fixed250_sequence_ce,23,0.04593532554671968,L2,32,tau_subgroup,3,test,117.0136826471659
D,fixed250_sequence_ce,101,0.04690347498343274,L2,32,tau_subgroup,3,test,117.0136826471659
D,fixed250_sequence_ce,11,0.05426814115308151,L2,32,tau_subgroup,4,test,242.10347130039656
D,fixed250_sequence_ce,23,0.06383314695162359,L2,32,tau_subgroup,4,test,242.10347130039656
D,fixed250_sequence_ce,101,0.07596607852882704,L2,32,tau_subgroup,4,test,242.10347130039656
D,fixed250_sequence_ce,11,0.13294969764744863,L2,32,tau_subgroup,5,test,492.1461612435418
D,fixed250_sequence_ce,23,0.14228949221338635,L2,32,tau_subgroup,5,test,492.1461612435418
D,fixed250_sequence_ce,101,0.12598109261100066,L2,32,tau_subgroup,5,test,492.1461612435418
D,fixed250_sequence_ce,11,0.011334337723658052,L1,128,whole_layer,-1,test,
D,fixed250_sequence_ce,23,0.008370997970510271,L1,128,whole_layer,-1,test,
D,fixed250_sequence_ce,101,0.008625331345261764,L1,128,whole_layer,-1,test,
D,fixed250_sequence_ce,11,0.06919291542412194,L2,128,whole_layer,-1,test,
D,fixed250_sequence_ce,23,0.06847392209244532,L2,128,whole_layer,-1,test,
D,fixed250_sequence_ce,101,0.07023678243041749,L2,128,whole_layer,-1,test,
D,fixed250_sequence_ce,11,0.2195084700132538,L3,64,whole_layer,-1,test,
D,fixed250_sequence_ce,23,0.1921944893141153,L3,64,whole_layer,-1,test,
D,fixed250_sequence_ce,101,0.22796683441020543,L3,64,whole_layer,-1,test,
D,fixed250_sequence_ce,11,0.001319725911534661,L1,64,tau_subgroup,2,train,54.31342963722199
D,fixed250_sequence_ce,23,0.0007685970656706919,L1,64,tau_subgroup,2,train,54.31342963722199
D,fixed250_sequence_ce,101,0.001153811529636391,L1,64,tau_subgroup,2,train,54.31342963722199
D,fixed250_sequence_ce,11,0.01826000301472189,L1,64,tau_subgroup,3,train,117.0136826471659
D,fixed250_sequence_ce,23,0.014054308958748556,L1,64,tau_subgroup,3,train,117.0136826471659
D,fixed250_sequence_ce,101,0.013408446664545196,L1,64,tau_subgroup,3,train,117.0136826471659
D,fixed250_sequence_ce,11,0.03663776860334634,L2,32,tau_subgroup,2,train,54.31342963722199
D,fixed250_sequence_ce,23,0.01973177349389519,L2,32,tau_subgroup,2,train,54.31342963722199
D,fixed250_sequence_ce,101,0.026350553536436262,L2,32,tau_subgroup,2,train,54.31342963722199
D,fixed250_sequence_ce,11,0.037231291975815234,L2,32,tau_subgroup,3,train,117.0136826471659
D,fixed250_sequence_ce,23,0.039816311320280705,L2,32,tau_subgroup,3,train,117.0136826471659
D,fixed250_sequence_ce,101,0.03718261677860217,L2,32,tau_subgroup,3,train,117.0136826471659
D,fixed250_sequence_ce,11,0.04692184333495235,L2,32,tau_subgroup,4,train,242.10347130039656
D,fixed250_sequence_ce,23,0.0535777840119249,L2,32,tau_subgroup,4,train,242.10347130039656
D,fixed250_sequence_ce,101,0.05951563468270052,L2,32,tau_subgroup,4,train,242.10347130039656
D,fixed250_sequence_ce,11,0.11461752809553319,L2,32,tau_subgroup,5,train,492.1461612435418
D,fixed250_sequence_ce,23,0.12116303364764601,L2,32,tau_subgroup,5,train,492.1461612435418
D,fixed250_sequence_ce,101,0.10436590349540255,L2,32,tau_subgroup,5,train,492.1461612435418
D,fixed250_sequence_ce,11,0.009789864463128276,L1,128,whole_layer,-1,train,
D,fixed250_sequence_ce,23,0.007411453012209624,L1,128,whole_layer,-1,train,
D,fixed250_sequence_ce,101,0.007281129097090794,L1,128,whole_layer,-1,train,
D,fixed250_sequence_ce,11,0.05885210800241178,L2,128,whole_layer,-1,train,
D,fixed250_sequence_ce,23,0.058572225618436696,L2,128,whole_layer,-1,train,
D,fixed250_sequence_ce,101,0.05685367712328538,L2,128,whole_layer,-1,train,
D,fixed250_sequence_ce,11,0.19591269658499003,L3,64,whole_layer,-1,train,
D,fixed250_sequence_ce,23,0.1738918803490378,L3,64,whole_layer,-1,train,
D,fixed250_sequence_ce,101,0.1929675854589914,L3,64,whole_layer,-1,train,
D,fixed250_sequence_ce,11,0.0005226165393731894,L1,64,tau_subgroup,2,val,54.31342963722199
D,fixed250_sequence_ce,23,0.0002551356333947854,L1,64,tau_subgroup,2,val,54.31342963722199
D,fixed250_sequence_ce,101,0.00040465060135194453,L1,64,tau_subgroup,2,val,54.31342963722199
D,fixed250_sequence_ce,11,0.013245105785269072,L1,64,tau_subgroup,3,val,117.0136826471659
D,fixed250_sequence_ce,23,0.009479797647265385,L1,64,tau_subgroup,3,val,117.0136826471659
D,fixed250_sequence_ce,101,0.009850155824773945,L1,64,tau_subgroup,3,val,117.0136826471659
D,fixed250_sequence_ce,11,0.025848257396189976,L2,32,tau_subgroup,2,val,54.31342963722199
D,fixed250_sequence_ce,23,0.011121718900886665,L2,32,tau_subgroup,2,val,54.31342963722199
D,fixed250_sequence_ce,101,0.017958256518303923,L2,32,tau_subgroup,2,val,54.31342963722199
D,fixed250_sequence_ce,11,0.026871543323676587,L2,32,tau_subgroup,3,val,117.0136826471659
D,fixed250_sequence_ce,23,0.02475089983320165,L2,32,tau_subgroup,3,val,117.0136826471659
D,fixed250_sequence_ce,101,0.02728579580370468,L2,32,tau_subgroup,3,val,117.0136826471659
D,fixed250_sequence_ce,11,0.02945582038451409,L2,32,tau_subgroup,4,val,242.10347130039656
D,fixed250_sequence_ce,23,0.036723070845404264,L2,32,tau_subgroup,4,val,242.10347130039656
D,fixed250_sequence_ce,101,0.04423722675796682,L2,32,tau_subgroup,4,val,242.10347130039656
D,fixed250_sequence_ce,11,0.09615321306294443,L2,32,tau_subgroup,5,val,492.1461612435418
D,fixed250_sequence_ce,23,0.09550302870687384,L2,32,tau_subgroup,5,val,492.1461612435418
D,fixed250_sequence_ce,101,0.08576672372925995,L2,32,tau_subgroup,5,val,492.1461612435418
D,fixed250_sequence_ce,11,0.00688386116232113,L1,128,whole_layer,-1,val,
D,fixed250_sequence_ce,23,0.004867466640330085,L1,128,whole_layer,-1,val,
D,fixed250_sequence_ce,101,0.005127403213062944,L1,128,whole_layer,-1,val,
D,fixed250_sequence_ce,11,0.04458220854183127,L2,128,whole_layer,-1,val,
D,fixed250_sequence_ce,23,0.04202467957159161,L2,128,whole_layer,-1,val,
D,fixed250_sequence_ce,101,0.04381200070230884,L2,128,whole_layer,-1,val,
D,fixed250_sequence_ce,11,0.17313558950048283,L3,64,whole_layer,-1,val,
D,fixed250_sequence_ce,23,0.14171961416908085,L3,64,whole_layer,-1,val,
D,fixed250_sequence_ce,101,0.16684361557369853,L3,64,whole_layer,-1,val,
E,fixed250_sequence_ce,11,0.001735679671968191,L1,64,tau_subgroup,2,test,54.31342963722199
E,fixed250_sequence_ce,23,0.001343501491053678,L1,64,tau_subgroup,2,test,54.31342963722199
E,fixed250_sequence_ce,101,0.0010030960072895958,L1,64,tau_subgroup,2,test,54.31342963722199
E,fixed250_sequence_ce,11,0.018441434724983434,L1,64,tau_subgroup,3,test,117.0136826471659
E,fixed250_sequence_ce,23,0.018414254058979458,L1,64,tau_subgroup,3,test,117.0136826471659
E,fixed250_sequence_ce,101,0.019122245692511596,L1,64,tau_subgroup,3,test,117.0136826471659
E,fixed250_sequence_ce,11,0.02329819532417896,L2,43,tau_subgroup,2,test,54.31342963722199
E,fixed250_sequence_ce,23,0.020736048823339036,L2,43,tau_subgroup,2,test,54.31342963722199
E,fixed250_sequence_ce,101,0.02355826282614391,L2,43,tau_subgroup,2,test,54.31342963722199
E,fixed250_sequence_ce,11,0.054481252022747235,L2,43,tau_subgroup,3,test,117.0136826471659
E,fixed250_sequence_ce,23,0.07719959313884137,L2,43,tau_subgroup,3,test,117.0136826471659
E,fixed250_sequence_ce,101,0.041845824279131416,L2,43,tau_subgroup,3,test,117.0136826471659
E,fixed250_sequence_ce,11,0.12623860014516078,L2,42,tau_subgroup,4,test,242.10347130039656
E,fixed250_sequence_ce,23,0.10402071696803307,L2,42,tau_subgroup,4,test,242.10347130039656
E,fixed250_sequence_ce,101,0.13387729180472718,L2,42,tau_subgroup,4,test,242.10347130039656
E,fixed250_sequence_ce,11,0.010088557198475812,L1,128,whole_layer,-1,test,
E,fixed250_sequence_ce,23,0.009878877775016568,L1,128,whole_layer,-1,test,
E,fixed250_sequence_ce,101,0.010062670849900597,L1,128,whole_layer,-1,test,
E,fixed250_sequence_ce,11,0.0675510737657389,L2,128,whole_layer,-1,test,
E,fixed250_sequence_ce,23,0.06703205247680583,L2,128,whole_layer,-1,test,
E,fixed250_sequence_ce,101,0.06590017188535453,L2,128,whole_layer,-1,test,
E,fixed250_sequence_ce,11,0.19625088013585157,L3,64,whole_layer,-1,test,
E,fixed250_sequence_ce,23,0.20711279199801194,L3,64,whole_layer,-1,test,
E,fixed250_sequence_ce,101,0.21201825505301525,L3,64,whole_layer,-1,test,
E,fixed250_sequence_ce,11,0.001882107625571541,L1,64,tau_subgroup,2,train,54.31342963722199
E,fixed250_sequence_ce,23,0.0013778221146599225,L1,64,tau_subgroup,2,train,54.31342963722199
E,fixed250_sequence_ce,101,0.0012126928165876697,L1,64,tau_subgroup,2,train,54.31342963722199
E,fixed250_sequence_ce,11,0.015700368047297637,L1,64,tau_subgroup,3,train,117.0136826471659
E,fixed250_sequence_ce,23,0.015490488971142411,L1,64,tau_subgroup,3,train,117.0136826471659
E,fixed250_sequence_ce,101,0.01568518975999464,L1,64,tau_subgroup,3,train,117.0136826471659
E,fixed250_sequence_ce,11,0.02013631684337585,L2,43,tau_subgroup,2,train,54.31342963722199
E,fixed250_sequence_ce,23,0.01972967993702581,L2,43,tau_subgroup,2,train,54.31342963722199
E,fixed250_sequence_ce,101,0.019420028269833967,L2,43,tau_subgroup,2,train,54.31342963722199
E,fixed250_sequence_ce,11,0.042712455124851945,L2,43,tau_subgroup,3,train,117.0136826471659
E,fixed250_sequence_ce,23,0.06261390409990493,L2,43,tau_subgroup,3,train,117.0136826471659
E,fixed250_sequence_ce,101,0.0340889483177735,L2,43,tau_subgroup,3,train,117.0136826471659
E,fixed250_sequence_ce,11,0.10246146459655764,L2,42,tau_subgroup,4,train,242.10347130039656
E,fixed250_sequence_ce,23,0.08658392929918882,L2,42,tau_subgroup,4,train,242.10347130039656
E,fixed250_sequence_ce,101,0.10496775124875683,L2,42,tau_subgroup,4,train,242.10347130039656
E,fixed250_sequence_ce,11,0.008791237836434589,L1,128,whole_layer,-1,train,
E,fixed250_sequence_ce,23,0.008434155542901167,L1,128,whole_layer,-1,train,
E,fixed250_sequence_ce,101,0.008448941288291155,L1,128,whole_layer,-1,train,
E,fixed250_sequence_ce,11,0.054733427403822,L2,128,whole_layer,-1,train,
E,fixed250_sequence_ce,23,0.056072649563702746,L2,128,whole_layer,-1,train,
E,fixed250_sequence_ce,101,0.05241821520089772,L2,128,whole_layer,-1,train,
