architecture,objective,seed,feature_dim,layer,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy
B,fixed250_sequence_ce,11,128,L2,0.1,0.3698630136986301,0.3656191031191031,0.3481249364313881,full_count,0.37665945165945164
B,fixed250_sequence_ce,23,128,L2,0.1,0.4041095890410959,0.3905608280608281,0.37794892446055234,full_count,0.3897907647907648
B,fixed250_sequence_ce,101,128,L2,0.1,0.3698630136986301,0.3583659396159396,0.3368332219831471,full_count,0.4059644059644059
B,fixed250_sequence_ce,11,1024,L3,0.1,0.5,0.49271353646353644,0.49491699958930485,fixed250,0.526436988936989
B,fixed250_sequence_ce,23,1024,L3,1.0,0.4589041095890411,0.44954559329559324,0.4557157689415754,fixed250,0.43638167388167387
B,fixed250_sequence_ce,101,1024,L3,0.01,0.541095890410959,0.5240003052503053,0.5271529696106052,fixed250,0.485455747955748
B,fixed250_sequence_ce,11,64,L3,0.1,0.4041095890410959,0.3945492007992008,0.38725874607409644,full_count,0.34796176046176047
B,fixed250_sequence_ce,23,64,L3,0.01,0.3698630136986301,0.35116272616272615,0.30651248065435704,full_count,0.3411075036075036
B,fixed250_sequence_ce,101,64,L3,0.1,0.4657534246575342,0.4412240537240537,0.4222621342973605,full_count,0.42203583453583454
C,fixed250_sequence_ce,11,2048,L1,0.1,0.5136986301369864,0.5057921245421245,0.5018354615153188,fixed250,0.4953823953823954
C,fixed250_sequence_ce,23,2048,L1,0.1,0.4931506849315068,0.48811050061050065,0.4865368477161651,fixed250,0.4451779701779702
C,fixed250_sequence_ce,101,2048,L1,0.1,0.4794520547945205,0.46711899211899216,0.45689319083148483,fixed250,0.4127344877344877
C,fixed250_sequence_ce,11,128,L1,1.0,0.4041095890410959,0.40591977466977464,0.3873710065079898,full_count,0.37973785473785476
C,fixed250_sequence_ce,23,128,L1,10.0,0.3424657534246575,0.3273032523032523,0.326435245634807,full_count,0.36537999037999036
C,fixed250_sequence_ce,101,128,L1,0.1,0.3767123287671233,0.3646180208680209,0.3378423031447488,full_count,0.3542388167388167
C,fixed250_sequence_ce,11,2048,L2,0.1,0.589041095890411,0.5795898545898546,0.5805067751842763,fixed250,0.48502886002886
C,fixed250_sequence_ce,23,2048,L2,0.1,0.5753424657534246,0.5632839382839382,0.5719621609327491,fixed250,0.48948412698412697
C,fixed250_sequence_ce,101,2048,L2,0.001,0.4931506849315068,0.48018093018093017,0.4455951990912212,fixed250,0.4591269841269841
C,fixed250_sequence_ce,11,128,L2,0.1,0.4863013698630137,0.4791909479409479,0.47199582698675263,full_count,0.38853415103415107
C,fixed250_sequence_ce,23,128,L2,1.0,0.4452054794520548,0.4496087246087246,0.4314582272921486,full_count,0.41373256373256373
C,fixed250_sequence_ce,101,128,L2,0.001,0.410958904109589,0.388532301032301,0.3407088493292054,full_count,0.38892496392496395
C,fixed250_sequence_ce,11,1024,L3,0.1,0.547945205479452,0.5409583472083471,0.5439610788962429,fixed250,0.4561507936507936
C,fixed250_sequence_ce,23,1024,L3,0.1,0.5273972602739726,0.5207514707514707,0.5205218083627972,fixed250,0.4847222222222222
C,fixed250_sequence_ce,101,1024,L3,0.01,0.5273972602739726,0.5099338161838162,0.5025822692472965,fixed250,0.47004569504569504
C,fixed250_sequence_ce,11,64,L3,0.01,0.4931506849315068,0.4753468753468754,0.443184048627597,full_count,0.43247955747955746
C,fixed250_sequence_ce,23,64,L3,0.01,0.4452054794520548,0.43913863913863915,0.42071514012303485,full_count,0.36732804232804234
C,fixed250_sequence_ce,101,64,L3,0.1,0.3904109589041096,0.38084346209346204,0.3753912216114628,full_count,0.39980759980759983
D,fixed250_sequence_ce,11,2048,L1,0.1,0.4657534246575342,0.45815226440226436,0.4452215400537292,fixed250,0.44580928330928343
D,fixed250_sequence_ce,23,2048,L1,0.1,0.4726027397260274,0.4681873681873681,0.45448074475071715,fixed250,0.464532227032227
D,fixed250_sequence_ce,101,2048,L1,1.0,0.363013698630137,0.35740093240093235,0.33580802743413085,fixed250,0.44117965367965367
D,fixed250_sequence_ce,11,128,L1,0.1,0.3972602739726027,0.39076825951825955,0.3735915654775304,full_count,0.34527417027417034
D,fixed250_sequence_ce,23,128,L1,1.0,0.3561643835616438,0.3526903651903652,0.3359564077049055,full_count,0.3703823953823953
D,fixed250_sequence_ce,101,128,L1,0.1,0.3561643835616438,0.34589507714507706,0.3346402358835616,full_count,0.36845839345839343
D,fixed250_sequence_ce,11,2048,L2,0.01,0.5,0.4898101898101897,0.47960013438258,fixed250,0.4773809523809524
D,fixed250_sequence_ce,23,2048,L2,0.01,0.4863013698630137,0.47584498834498823,0.47553245680514283,fixed250,0.42619047619047623
D,fixed250_sequence_ce,101,2048,L2,0.01,0.5068493150684932,0.4904033466533467,0.48186687132765565,fixed250,0.5157106782106782
D,fixed250_sequence_ce,11,128,L2,0.1,0.4794520547945205,0.468045843045843,0.4541132843764422,full_count,0.4033489658489659
D,fixed250_sequence_ce,23,128,L2,1.0,0.4041095890410959,0.41271991896991894,0.39336783512585044,full_count,0.41323352573352573
D,fixed250_sequence_ce,101,128,L2,0.1,0.3972602739726027,0.38877095127095124,0.3805969679866223,full_count,0.4495430495430495
D,fixed250_sequence_ce,11,1024,L3,0.01,0.4794520547945205,0.4664987789987789,0.46938649702964136,fixed250,0.4766594516594516
D,fixed250_sequence_ce,23,1024,L3,0.01,0.5,0.48874181374181364,0.49704792531440267,fixed250,0.4365079365079365
D,fixed250_sequence_ce,101,1024,L3,0.01,0.5342465753424658,0.5186750749250749,0.5165783441851978,fixed250,0.5295093795093796
D,fixed250_sequence_ce,11,64,L3,0.1,0.4246575342465753,0.4201472138972138,0.407166511853642,full_count,0.4141594516594516
D,fixed250_sequence_ce,23,64,L3,0.1,0.4246575342465753,0.41525696525696526,0.39848299646847746,full_count,0.35288600288600286
D,fixed250_sequence_ce,101,64,L3,0.01,0.4452054794520548,0.42215145965145967,0.4026908480452207,full_count,0.437608225108225
E,fixed250_sequence_ce,11,2048,L1,0.1,0.4178082191780822,0.4073058885558885,0.4024086666830475,fixed250,0.44117965367965367
E,fixed250_sequence_ce,23,2048,L1,1.0,0.3972602739726027,0.3904116716616716,0.38666168065145046,fixed250,0.4357984607984608
E,fixed250_sequence_ce,101,2048,L1,0.1,0.4520547945205479,0.44247766122766125,0.4384951591847525,fixed250,0.4418049543049543
E,fixed250_sequence_ce,11,128,L1,1.0,0.3698630136986301,0.3568077755577755,0.35559541931025307,full_count,0.3323172198172198
E,fixed250_sequence_ce,23,128,L1,1.0,0.3493150684931507,0.3373883061383061,0.33567623732655544,full_count,0.30995670995670993
E,fixed250_sequence_ce,101,128,L1,0.1,0.3972602739726027,0.3911019536019536,0.37790298286588975,full_count,0.3471320346320346
E,fixed250_sequence_ce,11,2048,L2,0.01,0.5273972602739726,0.5111756299256299,0.5054060458634874,fixed250,0.3925324675324675
E,fixed250_sequence_ce,23,2048,L2,0.1,0.5547945205479452,0.5468156843156843,0.5426681061746167,fixed250,0.4997113997113996
E,fixed250_sequence_ce,101,2048,L2,0.1,0.4931506849315068,0.4779435841935842,0.4676710472763104,fixed250,0.48823352573352574
E,fixed250_sequence_ce,11,128,L2,0.1,0.4794520547945205,0.4748432123432123,0.4621000302024109,full_count,0.3533489658489659
E,fixed250_sequence_ce,23,128,L2,1.0,0.4041095890410959,0.40152070152070146,0.4054289672105764,full_count,0.35301226551226556
E,fixed250_sequence_ce,101,128,L2,0.1,0.4246575342465753,0.41812007437007437,0.4113905250808703,full_count,0.39455266955266954
E,fixed250_sequence_ce,11,1024,L3,0.01,0.541095890410959,0.5263791763791764,0.5247966584754125,fixed250,0.46158008658008653
E,fixed250_sequence_ce,23,1024,L3,0.01,0.541095890410959,0.5369158619158618,0.538112974220345,fixed250,0.4913419913419914
E,fixed250_sequence_ce,101,1024,L3,0.1,0.4726027397260274,0.45747100122100126,0.4642924912262219,fixed250,0.5205146705146705
E,fixed250_sequence_ce,11,64,L3,0.1,0.4589041095890411,0.45093725718725713,0.43106258364879063,full_count,0.3513287638287638
E,fixed250_sequence_ce,23,64,L3,0.1,0.4794520547945205,0.47991036741036736,0.47520687467713957,full_count,0.35291606541606546
E,fixed250_sequence_ce,101,64,L3,0.1,0.4246575342465753,0.408239676989677,0.40486640278026464,full_count,0.41174843674843675
A,relative10_sequence_ce,11,2048,L1,0.1,0.4589041095890411,0.4532183094683095,0.44971937419305846,fixed250,0.4871753246753247
A,relative10_sequence_ce,23,2048,L1,0.1,0.5342465753424658,0.5218177655677655,0.506199143729767,fixed250,0.4453463203463204
A,relative10_sequence_ce,101,2048,L1,0.1,0.4452054794520548,0.4400106837606838,0.43229132154653976,fixed250,0.45725108225108224
A,relative10_sequence_ce,11,128,L1,1.0,0.4589041095890411,0.448344017094017,0.4348500881834216,full_count,0.42140452140452145
A,relative10_sequence_ce,23,128,L1,0.1,0.3972602739726027,0.3859453046953047,0.3675917773088146,full_count,0.38062770562770565
A,relative10_sequence_ce,101,128,L1,1.0,0.4246575342465753,0.41596875346875345,0.41008710971155443,full_count,0.39591149591149594
A,relative10_sequence_ce,11,2048,L2,0.1,0.541095890410959,0.523464035964036,0.5174821336359253,fixed250,0.5318241943241943
A,relative10_sequence_ce,23,2048,L2,0.01,0.5273972602739726,0.5254322066822067,0.5295290155547526,fixed250,0.4544011544011543
A,relative10_sequence_ce,101,2048,L2,0.01,0.5616438356164384,0.5490322177822178,0.5547892215428585,fixed250,0.48019480519480523
A,relative10_sequence_ce,11,128,L2,1.0,0.4726027397260274,0.4633984071484072,0.46346729086967425,full_count,0.479443241943242
A,relative10_sequence_ce,23,128,L2,0.1,0.4931506849315068,0.4879002941502941,0.4730558874388237,full_count,0.4373136123136123
A,relative10_sequence_ce,101,128,L2,1.0,0.410958904109589,0.410782967032967,0.4016105894948399,full_count,0.4731240981240981
A,relative10_sequence_ce,11,1024,L3,0.1,0.5,0.49437160062160057,0.4959073550725093,fixed250,0.48549182299182303
A,relative10_sequence_ce,23,1024,L3,0.01,0.5205479452054794,0.5169753857253857,0.5104728558183843,fixed250,0.4827080327080328
A,relative10_sequence_ce,101,1024,L3,0.01,0.589041095890411,0.5760413197913197,0.5936192375430063,fixed250,0.5152477152477152
A,relative10_sequence_ce,11,64,L3,0.1,0.4657534246575342,0.4524343711843712,0.4551597529538706,full_count,0.4437590187590188
A,relative10_sequence_ce,23,64,L3,0.1,0.4315068493150685,0.421479908979909,0.4065303939447725,full_count,0.41538600288600286
A,relative10_sequence_ce,101,64,L3,1.0,0.4041095890410959,0.39778069153069157,0.38870654461452814,full_count,0.43112674362674364
B,relative10_sequence_ce,11,2048,L1,0.1,0.4657534246575342,0.4586101398601398,0.4563514168293581,fixed250,0.4256433381433382
B,relative10_sequence_ce,23,2048,L1,1.0,0.4246575342465753,0.4183608058608059,0.4174386091491355,fixed250,0.49618205868205867
B,relative10_sequence_ce,101,2048,L1,1.0,0.3835616438356164,0.3865467865467865,0.3697337303696953,fixed250,0.459481721981722
B,relative10_sequence_ce,11,128,L1,0.1,0.4794520547945205,0.47076257076257083,0.4449321146689568,full_count,0.33975468975468975
B,relative10_sequence_ce,23,128,L1,1.0,0.4315068493150685,0.41119991119991117,0.39518711699239084,full_count,0.43176406926406924
B,relative10_sequence_ce,101,128,L1,1.0,0.4041095890410959,0.3974823787323787,0.38155054116152515,full_count,0.37514430014430006
B,relative10_sequence_ce,11,2048,L2,0.1,0.4657534246575342,0.46287531912531915,0.4616735322531711,fixed250,0.4274170274170274
B,relative10_sequence_ce,23,2048,L2,0.1,0.5342465753424658,0.5206522644022643,0.5249657519852463,fixed250,0.4652477152477153
B,relative10_sequence_ce,101,2048,L2,0.01,0.541095890410959,0.5326402763902763,0.5187947479716456,fixed250,0.4928571428571428
B,relative10_sequence_ce,11,128,L2,1.0,0.4383561643835616,0.4362769175269175,0.43759512591620436,full_count,0.38777056277056277
B,relative10_sequence_ce,23,128,L2,0.1,0.4315068493150685,0.4235264735264735,0.4088254405424225,full_count,0.4531445406445405
B,relative10_sequence_ce,101,128,L2,0.1,0.4041095890410959,0.39443681318681323,0.38118650090949274,full_count,0.42110389610389604
B,relative10_sequence_ce,11,1024,L3,0.1,0.5136986301369864,0.5069839882339883,0.5207793356069218,fixed250,0.46915584415584416
B,relative10_sequence_ce,23,1024,L3,0.01,0.5616438356164384,0.5492195304695304,0.5518858177802809,fixed250,0.4596560846560847
B,relative10_sequence_ce,101,1024,L3,0.01,0.5342465753424658,0.5325258075258076,0.5349517819623711,fixed250,0.5177669552669553
B,relative10_sequence_ce,11,64,L3,1.0,0.4452054794520548,0.4422924297924298,0.43304498016919285,full_count,0.4011964886964888
B,relative10_sequence_ce,23,64,L3,1.0,0.3904109589041096,0.3830010267510267,0.3777416521053171,full_count,0.4170695045695046
B,relative10_sequence_ce,101,64,L3,1.0,0.3424657534246575,0.34560231435231437,0.319637492257533,full_count,0.4279882154882155
C,relative10_sequence_ce,11,2048,L1,0.1,0.4520547945205479,0.442428404928405,0.4302440833690833,fixed250,0.4411796536796537
C,relative10_sequence_ce,23,2048,L1,0.1,0.5342465753424658,0.5211864524364525,0.49911549150679585,fixed250,0.436417748917749
C,relative10_sequence_ce,101,2048,L1,0.01,0.5136986301369864,0.5020805583305583,0.48419110581656133,fixed250,0.4690536315536315
C,relative10_sequence_ce,11,128,L1,1.0,0.4246575342465753,0.42002025752025757,0.40130382944041126,full_count,0.4069264069264069
C,relative10_sequence_ce,23,128,L1,1.0,0.4726027397260274,0.4535318847818847,0.4429388301321798,full_count,0.41833213083213083
C,relative10_sequence_ce,101,128,L1,0.1,0.4315068493150685,0.42120726495726496,0.40174632364174107,full_count,0.3866822991822992
C,relative10_sequence_ce,11,2048,L2,0.01,0.5273972602739726,0.5108759296259296,0.5084596473566462,fixed250,0.47080928330928334
C,relative10_sequence_ce,23,2048,L2,0.01,0.547945205479452,0.5361645299145299,0.5548534120582558,fixed250,0.4692460317460318
C,relative10_sequence_ce,101,2048,L2,0.01,0.5753424657534246,0.5586802086802086,0.5573932142026771,fixed250,0.49547258297258295
C,relative10_sequence_ce,11,128,L2,1.0,0.4041095890410959,0.41350663225663226,0.39280559673426124,full_count,0.43314694564694567
C,relative10_sequence_ce,23,128,L2,0.1,0.4657534246575342,0.44922369297369297,0.4273418237035605,full_count,0.43638167388167387
C,relative10_sequence_ce,101,128,L2,0.01,0.4520547945205479,0.43573648573648566,0.39527581257196664,full_count,0.4440536315536315
C,relative10_sequence_ce,11,1024,L3,0.1,0.4863013698630137,0.4783043345543345,0.4920271455436536,fixed250,0.4766594516594517
C,relative10_sequence_ce,23,1024,L3,0.01,0.5136986301369864,0.5032169219669219,0.5079816483111367,fixed250,0.4136904761904762
C,relative10_sequence_ce,101,1024,L3,0.01,0.541095890410959,0.5279262404262404,0.5256422753544598,fixed250,0.49256253006253004
C,relative10_sequence_ce,11,64,L3,1.0,0.3698630136986301,0.36980172605172607,0.3664451601665561,full_count,0.3712361712361713
C,relative10_sequence_ce,23,64,L3,0.1,0.4246575342465753,0.42191489066489063,0.41688203113904215,full_count,0.3794372294372294
C,relative10_sequence_ce,101,64,L3,1.0,0.4589041095890411,0.45492146742146744,0.45478124004143256,full_count,0.4326779701779702
D,relative10_sequence_ce,11,2048,L1,1.0,0.3767123287671233,0.37237900987900985,0.37344270893377746,fixed250,0.43228715728715733
D,relative10_sequence_ce,23,2048,L1,0.1,0.410958904109589,0.40782273282273285,0.3956635745432186,fixed250,0.41462842712842707
D,relative10_sequence_ce,101,2048,L1,1.0,0.4246575342465753,0.4205093517593517,0.3823964183928838,fixed250,0.4281866281866282
D,relative10_sequence_ce,11,128,L1,1.0,0.3698630136986301,0.3583416583416583,0.35656119221908694,full_count,0.4257696007696008
D,relative10_sequence_ce,23,128,L1,1.0,0.3698630136986301,0.3569680319680319,0.34752176334305246,full_count,0.3513708513708514
D,relative10_sequence_ce,101,128,L1,1.0,0.4178082191780822,0.4136620324120324,0.402246328534361,full_count,0.3998075998075998
D,relative10_sequence_ce,11,2048,L2,0.01,0.4657534246575342,0.4540577478077478,0.4321176181977399,fixed250,0.4461038961038961
D,relative10_sequence_ce,23,2048,L2,0.1,0.4452054794520548,0.434728465978466,0.4304307929463331,fixed250,0.45324675324675323
D,relative10_sequence_ce,101,2048,L2,1.0,0.5,0.49020909645909644,0.48590500130952424,fixed250,0.47848124098124095
D,relative10_sequence_ce,11,128,L2,10.0,0.3561643835616438,0.3374875124875125,0.3110450368345105,full_count,0.4195947570947571
D,relative10_sequence_ce,23,128,L2,10.0,0.3356164383561644,0.33624084249084246,0.31975809868765664,full_count,0.3723003848003848
D,relative10_sequence_ce,101,128,L2,1.0,0.410958904109589,0.4037011599511599,0.41123613093672423,full_count,0.4156806156806157
D,relative10_sequence_ce,11,1024,L3,0.01,0.4931506849315068,0.48384879009879,0.4881412161353518,fixed250,0.4808621933621933
D,relative10_sequence_ce,23,1024,L3,0.1,0.4178082191780822,0.4050047175047175,0.4119944112910865,fixed250,0.5095598845598845
D,relative10_sequence_ce,101,1024,L3,0.01,0.5068493150684932,0.4980692918192917,0.5067546776787551,fixed250,0.5137265512265512
D,relative10_sequence_ce,11,64,L3,0.1,0.4657534246575342,0.45491661116661114,0.44458346873088145,full_count,0.39484728234728234
D,relative10_sequence_ce,23,64,L3,10.0,0.3287671232876712,0.32040459540459537,0.30293123543123546,full_count,0.35049903799903803
D,relative10_sequence_ce,101,64,L3,1.0,0.4246575342465753,0.41681929181929184,0.4096917654451195,full_count,0.43730759980759987
E,relative10_sequence_ce,11,2048,L1,0.1,0.4589041095890411,0.44939921189921184,0.4297327232391821,fixed250,0.42189754689754694
E,relative10_sequence_ce,23,2048,L1,0.1,0.4246575342465753,0.4158064158064158,0.4130627583932454,fixed250,0.4181998556998557
E,relative10_sequence_ce,101,2048,L1,0.1,0.4520547945205479,0.43438297813297816,0.4128850080586519,fixed250,0.44849687349687356
E,relative10_sequence_ce,11,128,L1,0.1,0.4041095890410959,0.39590409590409587,0.3745449463770402,full_count,0.3446428571428571
E,relative10_sequence_ce,23,128,L1,0.1,0.4041095890410959,0.38962981462981466,0.3970148812540117,full_count,0.405633718133718
E,relative10_sequence_ce,101,128,L1,1.0,0.363013698630137,0.3511127761127761,0.3342715282570355,full_count,0.42417628667628665
E,relative10_sequence_ce,11,2048,L2,0.001,0.4520547945205479,0.4389513264513265,0.41192083082216463,fixed250,0.37625661375661373
E,relative10_sequence_ce,23,2048,L2,0.01,0.4931506849315068,0.48193473193473185,0.4743366057086346,fixed250,0.45813492063492056
E,relative10_sequence_ce,101,2048,L2,0.01,0.4863013698630137,0.47283064158064153,0.45463497871586106,fixed250,0.4712662337662337
E,relative10_sequence_ce,11,128,L2,0.1,0.3767123287671233,0.36925366300366297,0.3522913327746206,full_count,0.3503667628667628
E,relative10_sequence_ce,23,128,L2,1.0,0.3767123287671233,0.3741418303918304,0.36065176564697016,full_count,0.4364778739778741
E,relative10_sequence_ce,101,128,L2,1.0,0.3767123287671233,0.36953810078810073,0.35966346843539826,full_count,0.4401515151515152
E,relative10_sequence_ce,11,1024,L3,0.001,0.5068493150684932,0.49319014319014326,0.46692076302440594,fixed250,0.4040343915343916
E,relative10_sequence_ce,23,1024,L3,0.1,0.4452054794520548,0.43082264957264954,0.43228530457981523,fixed250,0.46396103896103896
E,relative10_sequence_ce,101,1024,L3,0.01,0.5136986301369864,0.4966401653901653,0.5037310706501102,fixed250,0.5651575276575277
E,relative10_sequence_ce,11,64,L3,0.1,0.4452054794520548,0.4328671328671329,0.4160164104252278,full_count,0.3181277056277056
E,relative10_sequence_ce,23,64,L3,1.0,0.4041095890410959,0.39010989010989006,0.3749077215194157,full_count,0.40393819143819143
E,relative10_sequence_ce,101,64,L3,0.001,0.4315068493150685,0.40505050505050505,0.33514218033079923,full_count,0.42090548340548345
A,timestep_ce,11,2048,L1,0.1,0.4863013698630137,0.4766788766788766,0.4693710114686622,fixed250,0.4757756132756133
A,timestep_ce,23,2048,L1,0.1,0.5136986301369864,0.5034874847374847,0.5057366540476429,fixed250,0.47097763347763344
A,timestep_ce,101,2048,L1,0.01,0.4931506849315068,0.4819236319236319,0.4668831328499478,fixed250,0.4522907647907648
A,timestep_ce,11,128,L1,1.0,0.4794520547945205,0.47105810855810853,0.46439689363854614,full_count,0.48873857623857614
A,timestep_ce,23,128,L1,1.0,0.5068493150684932,0.5054639804639806,0.47948502088876727,full_count,0.4768578643578643
A,timestep_ce,101,128,L1,1.0,0.4246575342465753,0.4218510656010656,0.3891553500106131,full_count,0.43397065897065895
A,timestep_ce,11,2048,L2,0.01,0.5684931506849316,0.5587183649683649,0.5535949284601109,fixed250,0.506024531024531
A,timestep_ce,23,2048,L2,0.01,0.5684931506849316,0.5567342379842379,0.5577355396378166,fixed250,0.5211399711399711
A,timestep_ce,101,2048,L2,1.0,0.4726027397260274,0.46152736152736146,0.46110540926296756,fixed250,0.5226370851370851
A,timestep_ce,11,128,L2,0.1,0.547945205479452,0.5376096126096126,0.5345900657313701,full_count,0.4703463203463203
A,timestep_ce,23,128,L2,1.0,0.5136986301369864,0.510582473082473,0.49936246337175133,full_count,0.5121753246753248
A,timestep_ce,101,128,L2,0.1,0.5273972602739726,0.5206883394383394,0.5113848920483718,full_count,0.5262626262626262
A,timestep_ce,11,1024,L3,0.01,0.6164383561643836,0.6087273837273838,0.6030527751486302,fixed250,0.4956709956709957
A,timestep_ce,23,1024,L3,0.01,0.5273972602739726,0.5121434121434121,0.5088365315886206,fixed250,0.49292929292929294
A,timestep_ce,101,1024,L3,0.1,0.5616438356164384,0.546766428016428,0.5446357704422221,fixed250,0.502982202982203
A,timestep_ce,11,64,L3,1.0,0.4726027397260274,0.4624403374403374,0.46126436352593436,full_count,0.49416185666185664
A,timestep_ce,23,64,L3,0.01,0.5273972602739726,0.5117805805305805,0.49196233334903794,full_count,0.4697150072150072
A,timestep_ce,101,64,L3,0.001,0.541095890410959,0.520920745920746,0.4925555039907287,full_count,0.476960076960077
B,timestep_ce,11,2048,L1,0.01,0.4863013698630137,0.4767760017760017,0.4708684139911044,fixed250,0.45106421356421356
B,timestep_ce,23,2048,L1,0.01,0.4863013698630137,0.47614468864468856,0.4707448831612239,fixed250,0.47316017316017317
B,timestep_ce,101,2048,L1,0.1,0.5136986301369864,0.49926393051393053,0.48416255131941416,fixed250,0.44029581529581535
B,timestep_ce,11,128,L1,1.0,0.4726027397260274,0.4642871017871018,0.45773038555647244,full_count,0.40057720057720053
B,timestep_ce,23,128,L1,1.0,0.5684931506849316,0.5528693528693529,0.5404973398732614,full_count,0.44155242905242903
B,timestep_ce,101,128,L1,0.1,0.5,0.48546314796314793,0.4602814510902746,full_count,0.450998075998076
B,timestep_ce,11,2048,L2,0.1,0.5205479452054794,0.506269425019425,0.4866557227922317,fixed250,0.47252886002886
B,timestep_ce,23,2048,L2,0.01,0.5753424657534246,0.5615974303474304,0.5566360652662075,fixed250,0.49273088023088024
B,timestep_ce,101,2048,L2,0.01,0.6095890410958904,0.5889763014763014,0.5821743181675271,fixed250,0.49273088023088024
B,timestep_ce,11,128,L2,1.0,0.5273972602739726,0.5223346098346098,0.5307619307619308,full_count,0.4058321308321309
B,timestep_ce,23,128,L2,1.0,0.5684931506849316,0.5503669941169941,0.5333766469046409,full_count,0.51010101010101
B,timestep_ce,101,128,L2,0.01,0.5616438356164384,0.5377518315018315,0.5183642770065184,full_count,0.5234247234247235
B,timestep_ce,11,1024,L3,0.01,0.5821917808219178,0.570494782994783,0.5650533741761813,fixed250,0.4768578643578643
B,timestep_ce,23,1024,L3,0.01,0.589041095890411,0.5786588411588411,0.569507142959672,fixed250,0.4999098124098123
B,timestep_ce,101,1024,L3,0.01,0.5684931506849316,0.5480401542901542,0.5359042192375526,fixed250,0.5239117364117364
B,timestep_ce,11,64,L3,1.0,0.4931506849315068,0.4735674048174048,0.4777198984754163,full_count,0.4498436748436749
B,timestep_ce,23,64,L3,0.1,0.5342465753424658,0.5200209512709513,0.5061519330448563,full_count,0.5071548821548821
