protocol,representation,snn_seed,C,accuracy,balanced_accuracy,macro_f1
native,Raw250+SNN125,23.0,0.001,0.6666666666666666,0.6571097883597884,0.6515152199687305
native,Raw250+SNN125,23.0,0.01,0.6746031746031746,0.6734126984126986,0.6603728663455185
native,Raw250+SNN125,23.0,0.1,0.6904761904761905,0.6945767195767195,0.6809216532616945
native,Raw250+SNN125,23.0,1.0,0.6666666666666666,0.6737433862433861,0.6597435823932212
native,Raw250+SNN125,23.0,10.0,0.6587301587301587,0.662632275132275,0.6449749486200107
native,SNN250,101.0,0.001,0.6190476190476191,0.6103835978835978,0.5964868717005612
native,SNN250,101.0,0.01,0.6031746031746031,0.5991402116402117,0.5816979006881753
native,SNN250,101.0,0.1,0.6111111111111112,0.6060846560846561,0.5932923623790497
native,SNN250,101.0,1.0,0.6031746031746031,0.5977513227513228,0.5787487650522851
native,SNN250,101.0,10.0,0.5317460317460317,0.531547619047619,0.5038436705739665
native,SNN125,101.0,0.001,0.6190476190476191,0.6103835978835979,0.5954980644744315
native,SNN125,101.0,0.01,0.5952380952380952,0.5921957671957673,0.5756065794109272
native,SNN125,101.0,0.1,0.5793650793650794,0.5769179894179893,0.5584153677264291
native,SNN125,101.0,1.0,0.5634920634920635,0.5602513227513227,0.5410405798198336
native,SNN125,101.0,10.0,0.5396825396825397,0.5417328042328043,0.5226164598729187
native,Raw250+SNN250,101.0,0.001,0.6746031746031746,0.6576058201058201,0.6465795640493605
native,Raw250+SNN250,101.0,0.01,0.6825396825396826,0.6695105820105821,0.6498616962257936
native,Raw250+SNN250,101.0,0.1,0.6825396825396826,0.6722883597883599,0.6549097489791617
native,Raw250+SNN250,101.0,1.0,0.6904761904761905,0.6778439153439152,0.6673884010726115
native,Raw250+SNN250,101.0,10.0,0.6428571428571429,0.6347883597883598,0.6243186864286608
native,Raw250+SNN125,101.0,0.001,0.6825396825396826,0.6659391534391536,0.6500134673089651
native,Raw250+SNN125,101.0,0.01,0.6666666666666666,0.6570105820105822,0.6434060819852986
native,Raw250+SNN125,101.0,0.1,0.6825396825396826,0.6758597883597884,0.6637848465222046
native,Raw250+SNN125,101.0,1.0,0.6666666666666666,0.6619708994708994,0.6486251269966262
native,Raw250+SNN125,101.0,10.0,0.6507936507936508,0.6457671957671957,0.626391543435154
pca256,Raw250,,0.001,0.5079365079365079,0.47361111111111115,0.42560716445626934
pca256,Raw250,,0.01,0.5555555555555556,0.5414021164021163,0.5291620573350113
pca256,Raw250,,0.1,0.5238095238095238,0.5122354497354497,0.5014440128136018
pca256,Raw250,,1.0,0.48412698412698413,0.47473544973544973,0.46009953426124905
pca256,Raw250,,10.0,0.4603174603174603,0.4513558201058201,0.44042563795853273
pca256,SNN250,11.0,0.001,0.49206349206349204,0.4666666666666666,0.42287599036077744
pca256,SNN250,11.0,0.01,0.5873015873015873,0.5675595238095238,0.542861289496952
pca256,SNN250,11.0,0.1,0.5,0.4863095238095238,0.46907125441608194
pca256,SNN250,11.0,1.0,0.46825396825396826,0.45228174603174603,0.43729857099422315
pca256,SNN250,11.0,10.0,0.4365079365079365,0.4265873015873016,0.41769419154382925
pca256,Raw250+SNN250,11.0,0.001,0.6031746031746031,0.5756944444444445,0.5346221411438802
pca256,Raw250+SNN250,11.0,0.01,0.626984126984127,0.6126984126984126,0.585867183872299
pca256,Raw250+SNN250,11.0,0.1,0.5634920634920635,0.5515873015873016,0.5327664849310276
pca256,Raw250+SNN250,11.0,1.0,0.5714285714285714,0.558531746031746,0.5382974874065242
pca256,Raw250+SNN250,11.0,10.0,0.5476190476190477,0.533531746031746,0.5158787258456826
pca256,SNN125,11.0,0.001,0.4603174603174603,0.4284722222222222,0.3904122855497016
pca256,SNN125,11.0,0.01,0.5634920634920635,0.5532076719576718,0.5494632779022842
pca256,SNN125,11.0,0.1,0.5158730158730159,0.5099206349206349,0.4964375611103486
pca256,SNN125,11.0,1.0,0.5079365079365079,0.5036706349206349,0.48629098410276894
pca256,SNN125,11.0,10.0,0.46825396825396826,0.4599206349206349,0.44630148074656084
pca256,Raw250+SNN125,11.0,0.001,0.6031746031746031,0.5791666666666666,0.5405638360473443
pca256,Raw250+SNN125,11.0,0.01,0.6349206349206349,0.625297619047619,0.5982732634212593
pca256,Raw250+SNN125,11.0,0.1,0.5873015873015873,0.5794642857142857,0.5552125506539797
pca256,Raw250+SNN125,11.0,1.0,0.5873015873015873,0.5801587301587302,0.5569785221325719
pca256,Raw250+SNN125,11.0,10.0,0.5317460317460317,0.5252976190476191,0.5094712419789819
pca256,SNN250,23.0,0.001,0.5555555555555556,0.5293981481481481,0.4980257024881169
pca256,SNN250,23.0,0.01,0.5238095238095238,0.5218253968253969,0.5162954204951511
pca256,SNN250,23.0,0.1,0.5555555555555556,0.5581349206349207,0.5531068833700412
pca256,SNN250,23.0,1.0,0.5396825396825397,0.541468253968254,0.5294564053077985
pca256,SNN250,23.0,10.0,0.49206349206349204,0.49702380952380953,0.4866111829347124
pca256,Raw250+SNN250,23.0,0.001,0.6111111111111112,0.5837962962962963,0.5549201168941702
pca256,Raw250+SNN250,23.0,0.01,0.6190476190476191,0.6191468253968254,0.6053977324945067
pca256,Raw250+SNN250,23.0,0.1,0.5873015873015873,0.587202380952381,0.5669522361577989
pca256,Raw250+SNN250,23.0,1.0,0.5873015873015873,0.5907738095238095,0.5674467212478721
pca256,Raw250+SNN250,23.0,10.0,0.5396825396825397,0.5463293650793651,0.5279461948869844
pca256,SNN125,23.0,0.001,0.5714285714285714,0.5409722222222223,0.49707376444218543
pca256,SNN125,23.0,0.01,0.6190476190476191,0.6221560846560846,0.6066688339105355
pca256,SNN125,23.0,0.1,0.5714285714285714,0.5768849206349207,0.5611768627081927
pca256,SNN125,23.0,1.0,0.5476190476190477,0.5454034391534391,0.5335467249645124
pca256,SNN125,23.0,10.0,0.5079365079365079,0.5106812169312169,0.4979846867062238
pca256,Raw250+SNN125,23.0,0.001,0.6190476190476191,0.593287037037037,0.5592053988630469
pca256,Raw250+SNN125,23.0,0.01,0.6587301587301587,0.6566468253968254,0.6483583969943731
pca256,Raw250+SNN125,23.0,0.1,0.6031746031746031,0.6069775132275133,0.5953986534554803
pca256,Raw250+SNN125,23.0,1.0,0.5952380952380952,0.6026785714285714,0.5819747037400547
pca256,Raw250+SNN125,23.0,10.0,0.5317460317460317,0.5403108465608465,0.5295821339378508
pca256,SNN250,101.0,0.001,0.5396825396825397,0.5187499999999999,0.47681512769232065
pca256,SNN250,101.0,0.01,0.5555555555555556,0.5533068783068783,0.5373152061678174
pca256,SNN250,101.0,0.1,0.5238095238095238,0.5240079365079365,0.5033879325147178
pca256,SNN250,101.0,1.0,0.5,0.505026455026455,0.4889356859171101
pca256,SNN250,101.0,10.0,0.4603174603174603,0.46256613756613757,0.4509134486753166
pca256,Raw250+SNN250,101.0,0.001,0.6587301587301587,0.6314814814814814,0.6001631522599263
pca256,Raw250+SNN250,101.0,0.01,0.6746031746031746,0.662334656084656,0.6499716233587202
pca256,Raw250+SNN250,101.0,0.1,0.6349206349206349,0.6243716931216932,0.6090577649609061
pca256,Raw250+SNN250,101.0,1.0,0.5793650793650794,0.5729828042328042,0.5577329888071576
pca256,Raw250+SNN250,101.0,10.0,0.5396825396825397,0.5368716931216931,0.5174240250384415
pca256,SNN125,101.0,0.001,0.5873015873015873,0.5627314814814814,0.5304504849134004
pca256,SNN125,101.0,0.01,0.5873015873015873,0.5784391534391534,0.56877405002405
pca256,SNN125,101.0,0.1,0.5555555555555556,0.5519179894179894,0.5369493373803719
pca256,SNN125,101.0,1.0,0.48412698412698413,0.4826058201058201,0.4715629189829396
pca256,SNN125,101.0,10.0,0.4444444444444444,0.4474206349206349,0.4331434389483925
pca256,Raw250+SNN125,101.0,0.001,0.6507936507936508,0.6259259259259259,0.5925184395927429
pca256,Raw250+SNN125,101.0,0.01,0.6587301587301587,0.6484457671957672,0.6325621779037386
pca256,Raw250+SNN125,101.0,0.1,0.5873015873015873,0.5854828042328043,0.5570844638795958
pca256,Raw250+SNN125,101.0,1.0,0.5476190476190477,0.5465939153439153,0.5187558633123149
pca256,Raw250+SNN125,101.0,10.0,0.5158730158730159,0.5139550264550264,0.4931182119080739
