representation,condition,seed,C,accuracy,balanced_accuracy,macro_f1
SNN125,con250,101,0.1,0.6428571428571429,0.6333002645502646,0.6208124782113252
SNN125,con250,101,1.0,0.626984126984127,0.6229828042328042,0.6130465821133857
SNN125,con250,101,10.0,0.6587301587301587,0.6549272486772487,0.6496068758001162
SNN250,con500,11,0.001,0.6746031746031746,0.6524140211640211,0.6287271457980116
SNN250,con500,11,0.01,0.7063492063492064,0.6928902116402117,0.6776188219075329
SNN250,con500,11,0.1,0.7222222222222222,0.7154431216931215,0.7047843496372909
SNN250,con500,11,1.0,0.6904761904761905,0.6813161375661375,0.6736546971260594
SNN250,con500,11,10.0,0.6746031746031746,0.6700727513227512,0.6532060125154754
SNN125,con500,11,0.001,0.7380952380952381,0.7234457671957673,0.7051893895503399
SNN125,con500,11,0.01,0.6825396825396826,0.6720568783068783,0.6569462001324747
SNN125,con500,11,0.1,0.6904761904761905,0.6839616402116402,0.6696203933208689
SNN125,con500,11,1.0,0.6984126984126984,0.6967923280423282,0.6836983011828212
SNN125,con500,11,10.0,0.6746031746031746,0.6614087301587303,0.6373640360327667
SNN250,con500,23,0.001,0.6825396825396826,0.6746031746031745,0.6686090112672874
SNN250,con500,23,0.01,0.6666666666666666,0.6668320105820106,0.6480173162302317
SNN250,con500,23,0.1,0.6507936507936508,0.6551256613756614,0.6397211314333403
SNN250,con500,23,1.0,0.6587301587301587,0.6643849206349207,0.6534755698502501
SNN250,con500,23,10.0,0.6507936507936508,0.6537367724867725,0.6391216678058783
SNN125,con500,23,0.001,0.6984126984126984,0.6875661375661376,0.673083722795972
SNN125,con500,23,0.01,0.6825396825396826,0.6856812169312171,0.6650010986061711
SNN125,con500,23,0.1,0.6587301587301587,0.6634589947089947,0.6436197022247746
SNN125,con500,23,1.0,0.6587301587301587,0.6634589947089947,0.6458551619357246
SNN125,con500,23,10.0,0.6746031746031746,0.6773478835978836,0.6635468874713725
SNN250,con500,101,0.001,0.6825396825396826,0.6703373015873014,0.6660830580238475
SNN250,con500,101,0.01,0.6666666666666666,0.6532076719576719,0.6329409371457426
SNN250,con500,101,0.1,0.6587301587301587,0.6611441798941798,0.6356728042912254
SNN250,con500,101,1.0,0.6190476190476191,0.6250330687830689,0.5997116001884476
SNN250,con500,101,10.0,0.6111111111111112,0.6166997354497354,0.5908818033818034
SNN125,con500,101,0.001,0.6825396825396826,0.6717261904761904,0.6656462519011893
SNN125,con500,101,0.01,0.6904761904761905,0.6816468253968253,0.6548958865292803
SNN125,con500,101,0.1,0.6746031746031746,0.6727182539682538,0.644647353194376
SNN125,con500,101,1.0,0.6587301587301587,0.6588293650793651,0.6275296274409546
SNN125,con500,101,10.0,0.6507936507936508,0.6541997354497355,0.6319612907856614
