seed,model_kind,history_ms,layer,state,phase,bias_mode,shared_C,retrained_C,full_test_ba,trunc_shared_test_ba,trunc_retrained_test_ba,context_drop_shared_pp,information_loss_retrained_pp,geometry_shift_pp,full_test_accuracy,trunc_shared_test_accuracy,trunc_retrained_test_accuracy,full_test_macro_f1,trunc_shared_test_macro_f1,trunc_retrained_test_macro_f1,fit_intercept,scaler_with_mean
37,c2,1000,L1,pre_reset,0.75,affine,0.1,0.1,0.5411949161949162,0.5200910200910202,0.52009102009102,2.110389610389607,2.110389610389618,-1.1102230246251565e-14,0.547945205479452,0.5273972602739726,0.5273972602739726,0.5474575584642262,0.52471879037831,0.5279259385838332,True,True
37,c2,1000,L1,pre_reset,1.0,no_bias,1.0,1.0,0.2898185148185148,0.32318792318792317,0.29447913197913195,-3.336940836940838,-0.4660617160617164,-2.870879120879122,0.2945205479452055,0.3287671232876712,0.3013698630136986,0.2957214318139199,0.32037314191813343,0.29557103681474156,False,False
37,c2,1000,L1,pre_reset,1.0,affine,1.0,1.0,0.31005661005661006,0.3086677211677212,0.28733627483627483,0.1388888888888884,2.272033522033523,-2.1331446331446346,0.3150684931506849,0.3150684931506849,0.2876712328767123,0.31663971832800725,0.3125901831936199,0.28681801189953365,True,True
37,c2,1000,L2,spike50,0.25,no_bias,0.001,0.001,0.24616772116772115,0.24616772116772115,0.24616772116772115,0.0,0.0,0.0,0.23972602739726026,0.23972602739726026,0.23972602739726026,0.18467133820821569,0.18467133820821569,0.18467133820821569,False,False
37,c2,1000,L2,spike50,0.25,affine,0.1,0.1,0.250478687978688,0.250478687978688,0.250478687978688,0.0,0.0,0.0,0.23972602739726026,0.23972602739726026,0.23972602739726026,0.22840339680664198,0.22840339680664198,0.22840339680664198,True,True
37,c2,1000,L2,spike50,0.5,no_bias,0.001,10.0,0.4076111388611388,0.4076111388611388,0.3793310855810856,0.0,2.828005328005323,-2.828005328005323,0.4246575342465753,0.4246575342465753,0.3904109589041096,0.3622380930043469,0.3622380930043469,0.35121049832047274,False,False
37,c2,1000,L2,spike50,0.5,affine,0.001,0.001,0.4296307858807859,0.4296307858807859,0.42800740925740927,0.0,0.16233766233766378,-0.16233766233766378,0.4452054794520548,0.4452054794520548,0.4452054794520548,0.39406482284771766,0.39406482284771766,0.38633409832070376,True,True
37,c2,1000,L2,spike50,0.75,no_bias,0.1,0.01,0.5217032967032967,0.5038461538461538,0.5551177988677989,1.7857142857142905,-3.3414502164502147,5.127164502164505,0.5273972602739726,0.5068493150684932,0.5616438356164384,0.507874492888236,0.48806393681719173,0.5461562211562211,False,False
37,c2,1000,L2,spike50,0.75,affine,0.1,0.1,0.5217032967032967,0.5038461538461538,0.5133699633699633,1.7857142857142905,0.8333333333333415,0.952380952380949,0.5273972602739726,0.5068493150684932,0.5205479452054794,0.5065062217831228,0.48720850175123037,0.5052946173354083,True,True
37,c2,1000,L2,spike50,1.0,no_bias,0.1,0.01,0.459525197025197,0.45439352314352305,0.4738650238650239,0.5131673881673959,-1.4339826839826875,1.9471500721500834,0.4726027397260274,0.4657534246575342,0.4931506849315068,0.4590579151637437,0.4572166995830165,0.48104820533310244,False,False
37,c2,1000,L2,spike50,1.0,affine,0.1,0.1,0.46547757797757794,0.460345904095904,0.4741716616716616,0.5131673881673959,-0.8694083694083643,1.3825757575757602,0.4794520547945205,0.4726027397260274,0.4863013698630137,0.464142691987651,0.46328181622299275,0.47807395923337953,True,True
37,c2,1000,L2,syn_current,0.25,no_bias,0.01,0.01,0.2189581252081252,0.2189581252081252,0.2189581252081252,0.0,0.0,0.0,0.21232876712328766,0.21232876712328766,0.21232876712328766,0.18516422840827598,0.18516422840827598,0.18516422840827598,False,False
37,c2,1000,L2,syn_current,0.25,affine,0.01,0.01,0.27135919635919636,0.27135919635919636,0.27135919635919636,0.0,0.0,0.0,0.2602739726027397,0.2602739726027397,0.2602739726027397,0.24494230915283546,0.24494230915283546,0.24494230915283546,True,True
37,c2,1000,L2,syn_current,0.5,no_bias,0.01,0.1,0.42185869685869687,0.42185869685869687,0.42943445443445444,0.0,-0.7575757575757569,0.7575757575757569,0.4315068493150685,0.4315068493150685,0.4383561643835616,0.4028536069437494,0.4028536069437494,0.412723781056802,False,False
37,c2,1000,L2,syn_current,0.5,affine,0.01,0.01,0.4424284049284049,0.4424284049284049,0.44838078588078595,0.0,-0.5952380952381042,0.5952380952381042,0.4520547945205479,0.4520547945205479,0.4589041095890411,0.42808764020169937,0.42808764020169937,0.4349507197549963,True,True
37,c2,1000,L2,syn_current,0.75,no_bias,0.1,0.1,0.575642413142413,0.575642413142413,0.575642413142413,0.0,0.0,0.0,0.5821917808219178,0.5821917808219178,0.5821917808219178,0.5500155730015065,0.5562545920942507,0.5563065921462507,False,False
37,c2,1000,L2,syn_current,0.75,affine,0.1,0.1,0.5686979686979686,0.5627455877455877,0.5686979686979686,0.5952380952380931,0.0,0.5952380952380931,0.5753424657534246,0.5684931506849316,0.5753424657534246,0.545397968383902,0.5441155753886704,0.5482036120194016,True,True
37,c2,1000,L2,syn_current,1.0,no_bias,1.0,1.0,0.5269341769341769,0.5338786213786214,0.49758019758019745,-0.6944444444444531,2.935397935397943,-3.629842379842396,0.541095890410959,0.547945205479452,0.5068493150684932,0.5250474145401681,0.5302501845980107,0.5000565747366573,False,False
37,c2,1000,L2,syn_current,1.0,affine,1.0,1.0,0.5269341769341769,0.5279262404262404,0.5168872793872793,-0.09920634920634885,1.0046897546897582,-1.103896103896107,0.541095890410959,0.541095890410959,0.5273972602739726,0.5241329171153732,0.5250681855796946,0.5190044786845612,True,True
37,c2,1000,L2,pre_reset,0.25,no_bias,0.1,0.1,0.2190864690864691,0.2190864690864691,0.2190864690864691,0.0,0.0,0.0,0.21232876712328766,0.21232876712328766,0.21232876712328766,0.20764851761228567,0.20764851761228567,0.20764851761228567,False,False
37,c2,1000,L2,pre_reset,0.25,affine,0.1,0.1,0.24700854700854702,0.24700854700854702,0.24700854700854702,0.0,0.0,0.0,0.23972602739726026,0.23972602739726026,0.23972602739726026,0.23468996508212192,0.23468996508212192,0.23468996508212192,True,True
37,c2,1000,L2,pre_reset,0.5,no_bias,0.01,0.01,0.4159063159063159,0.4159063159063159,0.4159063159063159,0.0,0.0,0.0,0.4246575342465753,0.4246575342465753,0.4246575342465753,0.39347281970371945,0.39347281970371945,0.39688186141132364,False,False
37,c2,1000,L2,pre_reset,0.5,affine,0.01,0.01,0.4676878676878677,0.4676878676878677,0.4676878676878677,0.0,0.0,0.0,0.4794520547945205,0.4794520547945205,0.4794520547945205,0.45469288574455385,0.45469288574455385,0.45503904653861577,True,True
37,c2,1000,L2,pre_reset,0.75,no_bias,0.1,0.1,0.5696900321900321,0.5621142746142745,0.5822261072261071,0.7575757575757569,-1.2536075036075012,2.011183261183258,0.5753424657534246,0.5684931506849316,0.589041095890411,0.5418998446833795,0.5384742847360803,0.5644653821124409,False,False
37,c2,1000,L2,pre_reset,0.75,affine,0.1,0.1,0.5703213453213453,0.5567932067932068,0.5731622544122544,1.35281385281385,-0.28409090909091717,1.6369047619047672,0.5753424657534246,0.5616438356164384,0.5753424657534246,0.5540037069696337,0.542093205175763,0.5552520216079329,True,True
37,c2,1000,L2,pre_reset,1.0,no_bias,1.0,0.1,0.4697913197913198,0.4620171495171495,0.5201270951270951,0.7774170274170267,-5.033577533577533,5.810994560994559,0.4863013698630137,0.4726027397260274,0.5342465753424658,0.47104176069163967,0.4601966300431213,0.5226244425671028,False,False
37,c2,1000,L2,pre_reset,1.0,affine,1.0,1.0,0.4924103674103673,0.4643981018981018,0.47756549006549,2.8012265512265486,1.4844877344877327,1.316738816738816,0.5068493150684932,0.4726027397260274,0.4863013698630137,0.4941805083471751,0.4589190644219379,0.4747992354041961,True,True
37,c2,1000,L3,spike50,0.25,no_bias,0.01,0.01,0.17249764124764122,0.17249764124764122,0.17249764124764122,0.0,0.0,0.0,0.1643835616438356,0.1643835616438356,0.1643835616438356,0.1597871014573052,0.1597871014573052,0.1597871014573052,False,False
