contrast,architecture,training_family,source,regularization,metric,n,delta_mean,delta_std
local_linear_minus_e2e_wholecount,34x45,cross_family,deployment,task_only,macro_f1,3,0.1160395574004905,0.04151181298937787
local_linear_minus_e2e_wholecount,34x45,cross_family,deployment,task_plus_reg,accuracy,3,0.11643835616438357,0.04277395889313973
local_linear_minus_e2e_wholecount,34x45,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.12117743367743372,0.03426566855936769
local_linear_minus_e2e_wholecount,34x45,cross_family,deployment,task_plus_reg,macro_f1,3,0.13696677978610763,0.04583382965188895
local_linear_minus_e2e_wholecount,4x4,cross_family,deployment,task_only,accuracy,3,0.11872146118721462,0.05048708764268488
local_linear_minus_e2e_wholecount,4x4,cross_family,deployment,task_only,balanced_accuracy,3,0.11761433011433013,0.046086393088270644
local_linear_minus_e2e_wholecount,4x4,cross_family,deployment,task_only,macro_f1,3,0.1304641223893804,0.04314445002269325
local_linear_minus_e2e_wholecount,4x4,cross_family,deployment,task_plus_reg,accuracy,3,0.1735159817351598,0.04013332381563229
local_linear_minus_e2e_wholecount,4x4,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.17051998926998924,0.04358170178656799
local_linear_minus_e2e_wholecount,4x4,cross_family,deployment,task_plus_reg,macro_f1,3,0.19950949188131725,0.0369883669557853
local_linear_minus_e2e_wholecount,5x5,cross_family,deployment,task_only,accuracy,3,0.0867579908675799,0.05744176084661702
local_linear_minus_e2e_wholecount,5x5,cross_family,deployment,task_only,balanced_accuracy,3,0.08124768749768752,0.05349513469666165
local_linear_minus_e2e_wholecount,5x5,cross_family,deployment,task_only,macro_f1,3,0.0962049691663997,0.05356449077631349
local_linear_minus_e2e_wholecount,5x5,cross_family,deployment,task_plus_reg,accuracy,3,0.17808219178082194,0.08416579265372952
local_linear_minus_e2e_wholecount,5x5,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.17312826062826062,0.08587736800115742
