method,layer,threshold_multiplier,shift,mean_value_per_neuron_step_mean,mean_value_per_neuron_step_std,fraction_nonzero_mean,fraction_nonzero_std,fraction_gt1_mean,fraction_gt1_std,fraction_at_cap_mean,fraction_at_cap_std
mt3_128,l2,1.0,4,0.41094898860803436,0.002079024402866995,0.41094898860803436,0.002079024402866995,0.0,0.0,0.41094898860803436,0.002079024402866995
binary384,l1,1.0,2,0.002650546374530594,0.0003775572600155676,0.002650546374530594,0.0003775572600155676,0.0,0.0,0.002650546374530594,0.0003775572600155676
binary384,l1,1.0,3,0.01709124592721449,0.00040262548294452084,0.01709124592721449,0.00040262548294452084,0.0,0.0,0.01709124592721449,0.00040262548294452084
binary384,l1,1.0,4,0.08930854974320741,0.005606900786740427,0.08930854974320741,0.005606900786740427,0.0,0.0,0.08930854974320741,0.005606900786740427
binary384,l2,1.0,2,0.3937158701537545,0.027355046034139047,0.3937158701537545,0.027355046034139047,0.0,0.0,0.3937158701537545,0.027355046034139047
binary384,l2,1.0,3,0.3919377790106904,0.01351408672421799,0.3919377790106904,0.01351408672421799,0.0,0.0,0.3919377790106904,0.01351408672421799
binary384,l2,1.0,4,0.3942114508714907,0.02014042186105664,0.3942114508714907,0.02014042186105664,0.0,0.0,0.3942114508714907,0.02014042186105664
mt3_384,l1,0.5,2,0.022546889207391313,0.002891736027593612,0.022546889207391313,0.002891736027593612,0.0,0.0,0.022546889207391313,0.002891736027593612
mt3_384,l1,0.5,3,0.05576938883494897,0.008003319432271151,0.05576938883494897,0.008003319432271151,0.0,0.0,0.05576938883494897,0.008003319432271151
mt3_384,l1,0.5,4,0.1633663626705376,0.009746580297148255,0.1633663626705376,0.009746580297148255,0.0,0.0,0.1633663626705376,0.009746580297148255
mt3_384,l1,1.0,2,0.0019187202367192194,0.00012753754502470006,0.0019187202367192194,0.00012753754502470006,0.0,0.0,0.0019187202367192194,0.00012753754502470006
mt3_384,l1,1.0,3,0.010366097985729036,0.003165685261831539,0.010366097985729036,0.003165685261831539,0.0,0.0,0.010366097985729036,0.003165685261831539
mt3_384,l1,1.0,4,0.05597565401243334,0.0018082508759151073,0.05597565401243334,0.0018082508759151073,0.0,0.0,0.05597565401243334,0.0018082508759151073
mt3_384,l1,1.5,2,8.412059940100996e-05,8.744219725930322e-05,8.412059940100996e-05,8.744219725930322e-05,0.0,0.0,8.412059940100996e-05,8.744219725930322e-05
mt3_384,l1,1.5,3,0.001638104191389133,0.00030035157190408835,0.001638104191389133,0.00030035157190408835,0.0,0.0,0.001638104191389133,0.00030035157190408835
mt3_384,l1,1.5,4,0.023016004502088,0.00521099590057145,0.023016004502088,0.00521099590057145,0.0,0.0,0.023016004502088,0.00521099590057145
mt3_384,l2,1.0,2,0.40681042941318496,0.020069264442920277,0.40681042941318496,0.020069264442920277,0.0,0.0,0.40681042941318496,0.020069264442920277
mt3_384,l2,1.0,3,0.416167722348082,0.008948437608916247,0.416167722348082,0.008948437608916247,0.0,0.0,0.416167722348082,0.008948437608916247
mt3_384,l2,1.0,4,0.40578223779019007,0.01577752361815678,0.40578223779019007,0.01577752361815678,0.0,0.0,0.40578223779019007,0.01577752361815678
