method,seed,layer,bank,cap,count,fraction_at_cap,fraction_gt1,fraction_nonzero,mean_value_per_neuron_step,shift,start,stop,threshold_multiplier
weighted31_128,11,l1,0,31,43,0.0,2.696996316673602e-05,0.006370690585171143,0.00639766054833788,2,0,43,1.0
weighted31_128,11,l1,0,31,43,0.0,9.824772296453836e-05,0.030869049270269854,0.030967296993234392,3,43,86,1.0
weighted31_128,11,l1,0,31,42,0.0,0.004005727539524756,0.12594275616144404,0.129964262046767,4,86,128,1.0
weighted31_128,11,l2,0,1,43,0.3314435094857213,0.0,0.3314435094857213,0.3314435094857213,2,0,43,1.0
weighted31_128,11,l2,0,1,43,0.3855529613019557,0.0,0.3855529613019557,0.3855529613019557,3,43,86,1.0
weighted31_128,11,l2,0,1,42,0.3617698570481871,0.0,0.3617698570481871,0.3617698570481871,4,86,128,1.0
weighted31_128,23,l1,0,31,43,0.0,3.852851880962289e-06,0.007682586650638803,0.007686439502519765,2,0,43,1.0
weighted31_128,23,l1,0,31,43,0.0,0.00017723118652426527,0.03439248231540987,0.034569713501934135,3,43,86,1.0
weighted31_128,23,l1,0,31,42,0.0,0.006027328094922528,0.12553449146391493,0.13160915459623213,4,86,128,1.0
weighted31_128,23,l2,0,1,43,0.36054987902045094,0.0,0.36054987902045094,0.36054987902045094,2,0,43,1.0
weighted31_128,23,l2,0,1,43,0.3530522292600983,0.0,0.3530522292600983,0.3530522292600983,3,43,86,1.0
weighted31_128,23,l2,0,1,42,0.37398426898923914,0.0,0.37398426898923914,0.37398426898923914,4,86,128,1.0
weighted31_128,37,l1,0,31,43,0.0,2.696996316673602e-05,0.008520581934748101,0.008547551897914837,2,0,43,1.0
weighted31_128,37,l1,0,31,43,0.0,1.926425940481144e-05,0.020865119361351273,0.020884383620756085,3,43,86,1.0
weighted31_128,37,l1,0,31,42,0.0,0.005161491369244848,0.1410071318123008,0.14620412445959166,4,86,128,1.0
weighted31_128,37,l2,0,1,43,0.3640444156764837,0.0,0.3640444156764837,0.3640444156764837,2,0,43,1.0
weighted31_128,37,l2,0,1,43,0.36661812073296657,0.0,0.36661812073296657,0.36661812073296657,3,43,86,1.0
weighted31_128,37,l2,0,1,42,0.3881828079144182,0.0,0.3881828079144182,0.3881828079144182,4,86,128,1.0
mt3_128,11,l1,0,1,15,0.043130108239452174,0.0,0.043130108239452174,0.043130108239452174,2,0,15,0.5
mt3_128,11,l1,0,1,14,0.12000615355486131,0.0,0.12000615355486131,0.12000615355486131,3,15,29,0.5
mt3_128,11,l1,0,1,14,0.23214877402253148,0.0,0.23214877402253148,0.23214877402253148,4,29,43,0.5
mt3_128,11,l1,1,1,15,0.003981665562182461,0.0,0.003981665562182461,0.003981665562182461,2,43,58,1.0
mt3_128,11,l1,1,1,14,0.022330303890940074,0.0,0.022330303890940074,0.022330303890940074,3,58,72,1.0
mt3_128,11,l1,1,1,14,0.0926228344220392,0.0,0.0926228344220392,0.0926228344220392,4,72,86,1.0
mt3_128,11,l1,2,1,14,0.0006922749218971882,0.0,0.0006922749218971882,0.0006922749218971882,2,86,100,1.5
mt3_128,11,l1,2,1,14,0.0032483669412098834,0.0,0.0032483669412098834,0.0032483669412098834,3,100,114,1.5
mt3_128,11,l1,2,1,14,0.03292743538767395,0.0,0.03292743538767395,0.03292743538767395,4,114,128,1.5
mt3_128,11,l2,0,1,43,0.38966588068488295,0.0,0.38966588068488295,0.38966588068488295,2,0,43,1.0
mt3_128,11,l2,0,1,43,0.41891673216514863,0.0,0.41891673216514863,0.41891673216514863,3,43,86,1.0
mt3_128,11,l2,0,1,42,0.41334926946258954,0.0,0.41334926946258954,0.41334926946258954,4,86,128,1.0
mt3_128,23,l1,0,1,15,0.03928098078197482,0.0,0.03928098078197482,0.03928098078197482,2,0,15,0.5
mt3_128,23,l1,0,1,14,0.10219042885543879,0.0,0.10219042885543879,0.10219042885543879,3,15,29,0.5
mt3_128,23,l1,0,1,14,0.2835605415128278,0.0,0.2835605415128278,0.2835605415128278,4,29,43,0.5
mt3_128,23,l1,1,1,15,0.00643914292025624,0.0,0.00643914292025624,0.00643914292025624,2,43,58,1.0
mt3_128,23,l1,1,1,14,0.027750165672630882,0.0,0.027750165672630882,0.027750165672630882,3,58,72,1.0
mt3_128,23,l1,1,1,14,0.09392454795039289,0.0,0.09392454795039289,0.09392454795039289,4,72,86,1.0
mt3_128,23,l1,2,1,14,0.0004437659755751207,0.0,0.0004437659755751207,0.0004437659755751207,2,86,100,1.5
mt3_128,23,l1,2,1,14,0.0026566789737763894,0.0,0.0026566789737763894,0.0026566789737763894,3,100,114,1.5
mt3_128,23,l1,2,1,14,0.02883887153270851,0.0,0.02883887153270851,0.02883887153270851,4,114,128,1.5
mt3_128,23,l2,0,1,43,0.3774716044816373,0.0,0.3774716044816373,0.3774716044816373,2,0,43,1.0
mt3_128,23,l2,0,1,43,0.411723457703392,0.0,0.411723457703392,0.411723457703392,3,43,86,1.0
mt3_128,23,l2,0,1,42,0.40971236075609835,0.0,0.40971236075609835,0.40971236075609835,4,86,128,1.0
mt3_128,37,l1,0,1,15,0.03446542964435609,0.0,0.03446542964435609,0.03446542964435609,2,0,15,0.5
mt3_128,37,l1,0,1,14,0.13536045630976049,0.0,0.13536045630976049,0.13536045630976049,3,15,29,0.5
mt3_128,37,l1,0,1,14,0.23986438511786423,0.0,0.23986438511786423,0.23986438511786423,4,29,43,0.5
mt3_128,37,l1,1,1,15,0.006185111552904793,0.0,0.006185111552904793,0.006185111552904793,2,43,58,1.0
mt3_128,37,l1,1,1,14,0.020365899839060873,0.0,0.020365899839060873,0.020365899839060873,3,58,72,1.0
mt3_128,37,l1,1,1,14,0.07038128372621415,0.0,0.07038128372621415,0.07038128372621415,4,72,86,1.0
mt3_128,37,l1,2,1,14,0.0004260153365521159,0.0,0.0004260153365521159,0.0004260153365521159,2,86,100,1.5
mt3_128,37,l1,2,1,14,0.003928808103758402,0.0,0.003928808103758402,0.003928808103758402,3,100,114,1.5
mt3_128,37,l1,2,1,14,0.041725835463410015,0.0,0.041725835463410015,0.041725835463410015,4,114,128,1.5
mt3_128,37,l2,0,1,43,0.37161334319663414,0.0,0.37161334319663414,0.37161334319663414,2,0,43,1.0
mt3_128,37,l2,0,1,43,0.3850501641314901,0.0,0.3850501641314901,0.3850501641314901,3,43,86,1.0
mt3_128,37,l2,0,1,42,0.40978533560541514,0.0,0.40978533560541514,0.40978533560541514,4,86,128,1.0
binary384,11,l1,0,1,128,0.002231403247183565,0.0,0.002231403247183565,0.002231403247183565,2,0,128,1.0
binary384,11,l1,0,1,128,0.017180769549370443,0.0,0.017180769549370443,0.017180769549370443,3,128,256,1.0
binary384,11,l1,0,1,128,0.08468007061795892,0.0,0.08468007061795892,0.08468007061795892,4,256,384,1.0
binary384,11,l2,0,1,43,0.37197936412532556,0.0,0.37197936412532556,0.37197936412532556,2,0,43,1.0
binary384,11,l2,0,1,43,0.4068072187032842,0.0,0.4068072187032842,0.4068072187032842,3,43,86,1.0
binary384,11,l2,0,1,42,0.4097735018460665,0.0,0.4097735018460665,0.4097735018460665,4,86,128,1.0
binary384,23,l1,0,1,128,0.002756248964546057,0.0,0.002756248964546057,0.002756248964546057,2,0,128,1.0
binary384,23,l1,0,1,128,0.01744157451126574,0.0,0.01744157451126574,0.01744157451126574,3,128,256,1.0
binary384,23,l1,0,1,128,0.09554327679754805,0.0,0.09554327679754805,0.09554327679754805,4,256,384,1.0
binary384,23,l2,0,1,43,0.3847361567031917,0.0,0.3847361567031917,0.3847361567031917,2,0,43,1.0
binary384,23,l2,0,1,43,0.3804036247630496,0.0,0.3804036247630496,0.3804036247630496,3,43,86,1.0
binary384,23,l2,0,1,42,0.3714636782479725,0.0,0.3714636782479725,0.3714636782479725,4,86,128,1.0
binary384,37,l1,0,1,128,0.0029639869118621605,0.0,0.0029639869118621605,0.0029639869118621605,2,0,128,1.0
binary384,37,l1,0,1,128,0.01665139372100729,0.0,0.01665139372100729,0.01665139372100729,3,128,256,1.0
binary384,37,l1,0,1,128,0.08770230181411531,0.0,0.08770230181411531,0.08770230181411531,4,256,384,1.0
binary384,37,l2,0,1,43,0.42443208963274615,0.0,0.42443208963274615,0.42443208963274615,2,0,43,1.0
binary384,37,l2,0,1,43,0.38860249356573734,0.0,0.38860249356573734,0.38860249356573734,3,43,86,1.0
binary384,37,l2,0,1,42,0.40139717252043294,0.0,0.40139717252043294,0.40139717252043294,4,86,128,1.0
mt3_384,11,l1,0,1,43,0.01931627290520443,0.0,0.01931627290520443,0.01931627290520443,2,0,43,0.5
mt3_384,11,l1,0,1,43,0.04999460600736665,0.0,0.04999460600736665,0.04999460600736665,3,43,86,0.5
mt3_384,11,l1,0,1,42,0.17440791757392154,0.0,0.17440791757392154,0.17440791757392154,4,86,128,0.5
mt3_384,11,l1,1,1,43,0.0019071616810763328,0.0,0.0019071616810763328,0.0019071616810763328,2,128,171,1.0
mt3_384,11,l1,1,1,43,0.0071451138132445635,0.0,0.0071451138132445635,0.0071451138132445635,3,171,214,1.0
mt3_384,11,l1,1,1,42,0.05741542806652151,0.0,0.05741542806652151,0.05741542806652151,4,214,256,1.0
mt3_384,11,l1,2,1,43,2.8896389107217163e-05,0.0,2.8896389107217163e-05,2.8896389107217163e-05,2,256,299,1.5
mt3_384,11,l1,2,1,43,0.0015257293448610661,0.0,0.0015257293448610661,0.0015257293448610661,3,299,342,1.5
mt3_384,11,l1,2,1,42,0.022180409605856922,0.0,0.022180409605856922,0.022180409605856922,4,342,384,1.5
mt3_384,11,l2,0,1,43,0.3887431226593925,0.0,0.3887431226593925,0.3887431226593925,2,0,43,1.0
mt3_384,11,l2,0,1,43,0.42028449458289024,0.0,0.42028449458289024,0.42028449458289024,3,43,86,1.0
mt3_384,11,l2,0,1,42,0.3933147148852914,0.0,0.3933147148852914,0.3933147148852914,4,86,128,1.0
mt3_384,23,l1,0,1,43,0.023431118714072156,0.0,0.023431118714072156,0.023431118714072156,2,0,43,0.5
mt3_384,23,l1,0,1,43,0.06490514278669071,0.0,0.06490514278669071,0.06490514278669071,3,43,86,0.5
mt3_384,23,l1,0,1,42,0.1559590867493452,0.0,0.1559590867493452,0.1559590867493452,4,86,128,0.5
mt3_384,23,l1,1,1,43,0.0020516436266124183,0.0,0.0020516436266124183,0.0020516436266124183,2,128,171,1.0
mt3_384,23,l1,1,1,43,0.013473423027725123,0.0,0.013473423027725123,0.013473423027725123,3,171,214,1.0
mt3_384,23,l1,1,1,42,0.05394616428413645,0.0,0.05394616428413645,0.05394616428413645,4,214,256,1.0
mt3_384,23,l1,2,1,43,0.00018493689028618984,0.0,0.00018493689028618984,0.00018493689028618984,2,256,299,1.5
mt3_384,23,l1,2,1,43,0.0014101437884321976,0.0,0.0014101437884321976,0.0014101437884321976,3,299,342,1.5
mt3_384,23,l1,2,1,42,0.01827329672757108,0.0,0.01827329672757108,0.01827329672757108,4,342,384,1.5
mt3_384,23,l2,0,1,43,0.4284120856257802,0.0,0.4284120856257802,0.4284120856257802,2,0,43,1.0
mt3_384,23,l2,0,1,43,0.405901798511258,0.0,0.405901798511258,0.405901798511258,3,43,86,1.0
mt3_384,23,l2,0,1,42,0.40051161286250747,0.0,0.40051161286250747,0.40051161286250747,4,86,128,1.0
mt3_384,37,l1,0,1,43,0.024893276002897344,0.0,0.024893276002897344,0.024893276002897344,2,0,43,0.5
mt3_384,37,l1,0,1,43,0.05240841771078952,0.0,0.05240841771078952,0.05240841771078952,3,43,86,0.5
mt3_384,37,l1,0,1,42,0.15973208368834613,0.0,0.15973208368834613,0.15973208368834613,4,86,128,0.5
mt3_384,37,l1,1,1,43,0.0017973554024689074,0.0,0.0017973554024689074,0.0017973554024689074,2,128,171,1.0
mt3_384,37,l1,1,1,43,0.010479757116217424,0.0,0.010479757116217424,0.010479757116217424,3,171,214,1.0
mt3_384,37,l1,1,1,42,0.05656536968664205,0.0,0.05656536968664205,0.05656536968664205,4,214,256,1.0
mt3_384,37,l1,2,1,43,3.852851880962288e-05,0.0,3.852851880962288e-05,3.852851880962288e-05,2,256,299,1.5
mt3_384,37,l1,2,1,43,0.001978439440874135,0.0,0.001978439440874135,0.001978439440874135,3,299,342,1.5
mt3_384,37,l1,2,1,42,0.028594307172836,0.0,0.028594307172836,0.028594307172836,4,342,384,1.5
mt3_384,37,l2,0,1,43,0.40327607995438225,0.0,0.40327607995438225,0.40327607995438225,2,0,43,1.0
mt3_384,37,l2,0,1,43,0.42231687395009787,0.0,0.42231687395009787,0.42231687395009787,3,43,86,1.0
mt3_384,37,l2,0,1,42,0.42352038562277133,0.0,0.42352038562277133,0.42352038562277133,4,86,128,1.0
