variant,coding,objective,rotation,probe,test_balanced_accuracy
postencode_mask,mm,l1_l2_joint,0,l1__post_reset__whole_mean,0.43989760919907983
postencode_mask,mm,l2_wcce,0,l1__post_reset__whole_mean,0.5008425126072185
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__whole_mean,0.44636233184027296
original,bb,l1_l2_joint,0,l1__pre_reset__fixed250_ordered_mean,0.6407686880113351
original,bb,l2_wcce,0,l1__pre_reset__fixed250_ordered_mean,0.6688784050916404
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__fixed250_ordered_mean,0.6560776029526029
original,mm,l1_l2_joint,0,l1__pre_reset__fixed250_ordered_mean,0.6442650010664717
original,mm,l2_wcce,0,l1__pre_reset__fixed250_ordered_mean,0.6754656767524415
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__fixed250_ordered_mean,0.6543825319560613
postencode_mask,bb,l1_l2_joint,0,l1__pre_reset__fixed250_ordered_mean,0.6993403587153587
postencode_mask,bb,l2_wcce,0,l1__pre_reset__fixed250_ordered_mean,0.7011815458506634
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__fixed250_ordered_mean,0.6959108905800083
postencode_mask,mm,l1_l2_joint,0,l1__pre_reset__fixed250_ordered_mean,0.7087328793211146
postencode_mask,mm,l2_wcce,0,l1__pre_reset__fixed250_ordered_mean,0.7041420997303351
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__fixed250_ordered_mean,0.709681324938678
original,bb,l1_l2_joint,0,l1__pre_reset__whole_mean,0.5147282592135533
original,bb,l2_wcce,0,l1__pre_reset__whole_mean,0.5057004814357756
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__whole_mean,0.5072711942197237
original,mm,l1_l2_joint,0,l1__pre_reset__whole_mean,0.5173281647546353
original,mm,l2_wcce,0,l1__pre_reset__whole_mean,0.518457196398373
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__whole_mean,0.5200020567667626
postencode_mask,bb,l1_l2_joint,0,l1__pre_reset__whole_mean,0.5035493033654799
postencode_mask,bb,l2_wcce,0,l1__pre_reset__whole_mean,0.4889653510977041
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__whole_mean,0.48761812125782716
postencode_mask,mm,l1_l2_joint,0,l1__pre_reset__whole_mean,0.4984547111385347
postencode_mask,mm,l2_wcce,0,l1__pre_reset__whole_mean,0.485708565671801
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__pre_reset__whole_mean,0.48268097643097635
original,bb,l1_l2_joint,0,l1__spike__fixed250_count,0.6195444261620732
original,bb,l2_wcce,0,l1__spike__fixed250_count,0.6090701509819156
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_count,0.6164091423282599
original,mm,l1_l2_joint,0,l1__spike__fixed250_count,0.635395432454256
original,mm,l2_wcce,0,l1__spike__fixed250_count,0.6005460430092783
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_count,0.6173209279826927
postencode_mask,bb,l1_l2_joint,0,l1__spike__fixed250_count,0.6370301811478282
postencode_mask,bb,l2_wcce,0,l1__spike__fixed250_count,0.6361850975821565
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_count,0.6562466196657373
postencode_mask,mm,l1_l2_joint,0,l1__spike__fixed250_count,0.6417412720721544
postencode_mask,mm,l2_wcce,0,l1__spike__fixed250_count,0.6381285993418347
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_count,0.6480426436308789
original,bb,l1_l2_joint,0,l1__spike__fixed250_ordered_mean,0.594874556271615
original,bb,l2_wcce,0,l1__spike__fixed250_ordered_mean,0.5768041462894403
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_ordered_mean,0.6072203463747581
original,mm,l1_l2_joint,0,l1__spike__fixed250_ordered_mean,0.607339038956686
original,mm,l2_wcce,0,l1__spike__fixed250_ordered_mean,0.5697570063378886
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_ordered_mean,0.5913668167344638
postencode_mask,bb,l1_l2_joint,0,l1__spike__fixed250_ordered_mean,0.6296227737404209
postencode_mask,bb,l2_wcce,0,l1__spike__fixed250_ordered_mean,0.6243125066654479
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_ordered_mean,0.6481783807151454
postencode_mask,mm,l1_l2_joint,0,l1__spike__fixed250_ordered_mean,0.6254695808004631
postencode_mask,mm,l2_wcce,0,l1__spike__fixed250_ordered_mean,0.6134119284854579
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__fixed250_ordered_mean,0.6281255713241007
original,bb,l1_l2_joint,0,l1__spike__whole_count,0.45959515022015024
original,bb,l2_wcce,0,l1__spike__whole_count,0.44251703498027023
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_count,0.4150973345826287
original,mm,l1_l2_joint,0,l1__spike__whole_count,0.4694454442616207
original,mm,l2_wcce,0,l1__spike__whole_count,0.41643323316117437
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_count,0.45663750057132413
postencode_mask,bb,l1_l2_joint,0,l1__spike__whole_count,0.49031619932355225
postencode_mask,bb,l2_wcce,0,l1__spike__whole_count,0.49891129431570613
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_count,0.49700688064658655
postencode_mask,mm,l1_l2_joint,0,l1__spike__whole_count,0.48945645177262814
postencode_mask,mm,l2_wcce,0,l1__spike__whole_count,0.5209672612246141
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_count,0.4923245939790058
original,bb,l1_l2_joint,0,l1__spike__whole_mean,0.4143412347456465
original,bb,l2_wcce,0,l1__spike__whole_mean,0.4216967944909121
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_mean,0.39412669302375175
original,mm,l1_l2_joint,0,l1__spike__whole_mean,0.44165762070173836
original,mm,l2_wcce,0,l1__spike__whole_mean,0.4080594786477139
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_mean,0.43332043093072503
postencode_mask,bb,l1_l2_joint,0,l1__spike__whole_mean,0.4575613792525557
postencode_mask,bb,l2_wcce,0,l1__spike__whole_mean,0.49824208335237746
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_mean,0.491152379755321
postencode_mask,mm,l1_l2_joint,0,l1__spike__whole_mean,0.47362396590337763
postencode_mask,mm,l2_wcce,0,l1__spike__whole_mean,0.4945158599570365
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__spike__whole_mean,0.4753064201593613
original,bb,l1_l2_joint,0,l1__syn_current__fixed250_ordered_mean,0.6398751371177841
original,bb,l2_wcce,0,l1__syn_current__fixed250_ordered_mean,0.6542693145634323
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__fixed250_ordered_mean,0.6412780710574828
original,mm,l1_l2_joint,0,l1__syn_current__fixed250_ordered_mean,0.6306335889056477
original,mm,l2_wcce,0,l1__syn_current__fixed250_ordered_mean,0.6435563211298505
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__fixed250_ordered_mean,0.6488954876822524
postencode_mask,bb,l1_l2_joint,0,l1__syn_current__fixed250_ordered_mean,0.6806892453951278
postencode_mask,bb,l2_wcce,0,l1__syn_current__fixed250_ordered_mean,0.6818706484147662
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__fixed250_ordered_mean,0.6817412911162912
postencode_mask,mm,l1_l2_joint,0,l1__syn_current__fixed250_ordered_mean,0.6942296741929095
postencode_mask,mm,l2_wcce,0,l1__syn_current__fixed250_ordered_mean,0.6958015296250591
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__fixed250_ordered_mean,0.6993076028002498
original,bb,l1_l2_joint,0,l1__syn_current__whole_mean,0.5553316441184087
original,bb,l2_wcce,0,l1__syn_current__whole_mean,0.5485291261026556
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__whole_mean,0.5574458765635236
original,mm,l1_l2_joint,0,l1__syn_current__whole_mean,0.5339691694471106
original,mm,l2_wcce,0,l1__syn_current__whole_mean,0.530677818913113
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__whole_mean,0.5344527476880417
postencode_mask,bb,l1_l2_joint,0,l1__syn_current__whole_mean,0.47907196969696964
postencode_mask,bb,l2_wcce,0,l1__syn_current__whole_mean,0.4825906120023767
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__whole_mean,0.4774829269314563
postencode_mask,mm,l1_l2_joint,0,l1__syn_current__whole_mean,0.4841724179959474
postencode_mask,mm,l2_wcce,0,l1__syn_current__whole_mean,0.4854742751801575
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__syn_current__whole_mean,0.48820334757834755
original,bb,l1_l2_joint,0,l2__post_reset__fixed250_ordered_mean,0.5980380254277313
original,bb,l2_wcce,0,l2__post_reset__fixed250_ordered_mean,0.5777974408489115
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__fixed250_ordered_mean,0.5806439203498027
original,mm,l1_l2_joint,0,l2__post_reset__fixed250_ordered_mean,0.5998237941252648
original,mm,l2_wcce,0,l2__post_reset__fixed250_ordered_mean,0.5760218607645078
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__fixed250_ordered_mean,0.5724587027895851
postencode_mask,bb,l1_l2_joint,0,l2__post_reset__fixed250_ordered_mean,0.5837987244237244
postencode_mask,bb,l2_wcce,0,l2__post_reset__fixed250_ordered_mean,0.6059392472995414
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__fixed250_ordered_mean,0.5964594093270564
postencode_mask,mm,l1_l2_joint,0,l2__post_reset__fixed250_ordered_mean,0.6042576976400507
postencode_mask,mm,l2_wcce,0,l2__post_reset__fixed250_ordered_mean,0.5880635160046924
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__fixed250_ordered_mean,0.5728752932797051
original,bb,l1_l2_joint,0,l2__post_reset__whole_mean,0.4067879968615262
original,bb,l2_wcce,0,l2__post_reset__whole_mean,0.4271870762679586
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__whole_mean,0.3769960159666042
original,mm,l1_l2_joint,0,l2__post_reset__whole_mean,0.4465010207657267
original,mm,l2_wcce,0,l2__post_reset__whole_mean,0.40032570234776116
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__whole_mean,0.3992578499931441
postencode_mask,bb,l1_l2_joint,0,l2__post_reset__whole_mean,0.5150589606471959
postencode_mask,bb,l2_wcce,0,l2__post_reset__whole_mean,0.4782750677971266
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__whole_mean,0.4680137536755184
postencode_mask,mm,l1_l2_joint,0,l2__post_reset__whole_mean,0.4644967777320719
postencode_mask,mm,l2_wcce,0,l2__post_reset__whole_mean,0.44043236855736856
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__post_reset__whole_mean,0.46986308217925865
original,bb,l1_l2_joint,0,l2__pre_reset__fixed250_ordered_mean,0.6050969727440316
original,bb,l2_wcce,0,l2__pre_reset__fixed250_ordered_mean,0.6123254604872252
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__fixed250_ordered_mean,0.5762195865137042
original,mm,l1_l2_joint,0,l2__pre_reset__fixed250_ordered_mean,0.5907762104453281
original,mm,l2_wcce,0,l2__pre_reset__fixed250_ordered_mean,0.5699694912930208
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__fixed250_ordered_mean,0.5771336574645397
postencode_mask,bb,l1_l2_joint,0,l2__pre_reset__fixed250_ordered_mean,0.576916601916602
postencode_mask,bb,l2_wcce,0,l2__pre_reset__fixed250_ordered_mean,0.6071028440513735
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__fixed250_ordered_mean,0.5910965804348157
postencode_mask,mm,l1_l2_joint,0,l2__pre_reset__fixed250_ordered_mean,0.6066446897329251
postencode_mask,mm,l2_wcce,0,l2__pre_reset__fixed250_ordered_mean,0.5861503896430367
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__fixed250_ordered_mean,0.5819862463244817
original,bb,l1_l2_joint,0,l2__pre_reset__whole_mean,0.423198043786279
original,bb,l2_wcce,0,l2__pre_reset__whole_mean,0.4156878932614226
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__whole_mean,0.395862804134863
original,mm,l1_l2_joint,0,l2__pre_reset__whole_mean,0.43978420136508367
original,mm,l2_wcce,0,l2__pre_reset__whole_mean,0.4149175103219221
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__whole_mean,0.38494046802870335
postencode_mask,bb,l1_l2_joint,0,l2__pre_reset__whole_mean,0.5109991315873668
postencode_mask,bb,l2_wcce,0,l2__pre_reset__whole_mean,0.4852916895196307
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__whole_mean,0.48572103958133367
postencode_mask,mm,l1_l2_joint,0,l2__pre_reset__whole_mean,0.46853565824154053
postencode_mask,mm,l2_wcce,0,l2__pre_reset__whole_mean,0.4745339899751664
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__pre_reset__whole_mean,0.47806662972104147
original,bb,l1_l2_joint,0,l2__spike__fixed250_count,0.6065055723143958
original,bb,l2_wcce,0,l2__spike__fixed250_count,0.6220391128479363
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_count,0.6312736623398388
original,mm,l1_l2_joint,0,l2__spike__fixed250_count,0.6252301007815714
original,mm,l2_wcce,0,l2__spike__fixed250_count,0.6072814780535368
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_count,0.6120754585828115
postencode_mask,bb,l1_l2_joint,0,l2__spike__fixed250_count,0.6111858117372824
postencode_mask,bb,l2_wcce,0,l2__spike__fixed250_count,0.5919928451178451
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_count,0.6191682568520803
postencode_mask,mm,l1_l2_joint,0,l2__spike__fixed250_count,0.6363671119185824
postencode_mask,mm,l2_wcce,0,l2__spike__fixed250_count,0.6201937836129013
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_count,0.6410380197144904
original,bb,l1_l2_joint,0,l2__spike__fixed250_ordered_mean,0.6205124872404285
original,bb,l2_wcce,0,l2__spike__fixed250_ordered_mean,0.6243713054374819
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_ordered_mean,0.6194933402653992
original,mm,l1_l2_joint,0,l2__spike__fixed250_ordered_mean,0.5981695728019257
original,mm,l2_wcce,0,l2__spike__fixed250_ordered_mean,0.6010220512058747
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_ordered_mean,0.6111444859606624
postencode_mask,bb,l1_l2_joint,0,l2__spike__fixed250_ordered_mean,0.6155644872556637
postencode_mask,bb,l2_wcce,0,l2__spike__fixed250_ordered_mean,0.6022076915459268
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_ordered_mean,0.614521773161479
postencode_mask,mm,l1_l2_joint,0,l2__spike__fixed250_ordered_mean,0.6081488908694791
postencode_mask,mm,l2_wcce,0,l2__spike__fixed250_ordered_mean,0.6210945712783948
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__fixed250_ordered_mean,0.6409332769626889
original,bb,l1_l2_joint,0,l2__spike__whole_count,0.5012608646799824
original,bb,l2_wcce,0,l2__spike__whole_count,0.4978096862288039
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_count,0.481885550451727
original,mm,l1_l2_joint,0,l2__spike__whole_count,0.5205055361305362
original,mm,l2_wcce,0,l2__spike__whole_count,0.5121573483705837
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_count,0.49311521131374075
postencode_mask,bb,l1_l2_joint,0,l2__spike__whole_count,0.5380258086140439
postencode_mask,bb,l2_wcce,0,l2__spike__whole_count,0.5394564041622866
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_count,0.5339775964775965
postencode_mask,mm,l1_l2_joint,0,l2__spike__whole_count,0.5552587050748815
postencode_mask,mm,l2_wcce,0,l2__spike__whole_count,0.5313019428828253
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_count,0.5392970523485229
original,bb,l1_l2_joint,0,l2__spike__whole_mean,0.48147852964029436
original,bb,l2_wcce,0,l2__spike__whole_mean,0.49042375108551584
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_mean,0.4794864177217118
original,mm,l1_l2_joint,0,l2__spike__whole_mean,0.5121664419458537
original,mm,l2_wcce,0,l2__spike__whole_mean,0.47752739499063024
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_mean,0.48592985854015264
postencode_mask,bb,l1_l2_joint,0,l2__spike__whole_mean,0.5181430157533099
postencode_mask,bb,l2_wcce,0,l2__spike__whole_mean,0.5268335218702865
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_mean,0.5128016591251886
postencode_mask,mm,l1_l2_joint,0,l2__spike__whole_mean,0.525633265155324
postencode_mask,mm,l2_wcce,0,l2__spike__whole_mean,0.4957271146609383
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__spike__whole_mean,0.5254961473711474
original,bb,l1_l2_joint,0,l2__syn_current__fixed250_ordered_mean,0.6085368199338786
original,bb,l2_wcce,0,l2__syn_current__fixed250_ordered_mean,0.6139941077441078
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__fixed250_ordered_mean,0.6009713461919345
original,mm,l1_l2_joint,0,l2__syn_current__fixed250_ordered_mean,0.5904436522083581
original,mm,l2_wcce,0,l2__syn_current__fixed250_ordered_mean,0.5812574272133095
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__fixed250_ordered_mean,0.5870135175282235
postencode_mask,bb,l1_l2_joint,0,l2__syn_current__fixed250_ordered_mean,0.5916439565336624
postencode_mask,bb,l2_wcce,0,l2__syn_current__fixed250_ordered_mean,0.6225194059752883
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__fixed250_ordered_mean,0.5972710704328351
postencode_mask,mm,l1_l2_joint,0,l2__syn_current__fixed250_ordered_mean,0.6009874384874386
postencode_mask,mm,l2_wcce,0,l2__syn_current__fixed250_ordered_mean,0.5980228853390618
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__fixed250_ordered_mean,0.6141777884424944
original,bb,l1_l2_joint,0,l2__syn_current__whole_mean,0.4469762195865137
original,bb,l2_wcce,0,l2__syn_current__whole_mean,0.4178916807593278
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__whole_mean,0.4174848503892621
original,mm,l1_l2_joint,0,l2__syn_current__whole_mean,0.4460337728720081
original,mm,l2_wcce,0,l2__syn_current__whole_mean,0.421262207291619
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__whole_mean,0.4173872491887198
postencode_mask,bb,l1_l2_joint,0,l2__syn_current__whole_mean,0.5143916540975365
postencode_mask,bb,l2_wcce,0,l2__syn_current__whole_mean,0.4869927118088883
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__whole_mean,0.4766854060971708
postencode_mask,mm,l1_l2_joint,0,l2__syn_current__whole_mean,0.4726346706126117
postencode_mask,mm,l2_wcce,0,l2__syn_current__whole_mean,0.4817909963130551
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l2__syn_current__whole_mean,0.4666355295031766
