contrast,rotation,seed,coding,objective,l1_pre_reset_fixed250_ba_delta,l1_spike_fixed250_ba_delta,l2_pre_reset_fixed250_ba_delta,l2_spike_fixed250_ba_delta,l1_quantization_delta_delta,l1_to_l2_transform_delta_delta,l2_quantization_delta_delta,variant
D1_minus_D0,0,37,bb,l2_wcce,0.02208310480369291,0.03482306092600218,0.0672279925956395,-0.06437808515014398,0.01273995612230927,0.032404931669637316,-0.13160607774578348,
D1_minus_D0,0,37,bb,l1_l2_joint,0.06805312742812752,0.002305864070569985,-0.037753239407651074,0.02515211504182091,-0.06574726335755754,-0.04005910347822106,0.06290535444947198,
D1_minus_D0,0,37,bb,l2_wcce_plus_0p1_l1_tsce,0.05279763129027837,0.06121266397001701,0.028039301384889748,0.019497006261712246,0.008415032679738643,-0.033173362585127264,-0.008542295123177501,
D1_minus_D0,0,37,mm,l2_wcce,0.006793043557749456,0.030913775766716944,-0.019817090589149378,-0.013193158965217666,0.024120732208967488,-0.05073086635586632,0.006623931623931711,
D1_minus_D0,0,37,mm,l1_l2_joint,0.02307949403537657,0.03233508729832257,0.03373183189359663,-0.026187782805429993,0.009255593262946005,0.0013967445952740576,-0.059919614699026624,
D1_minus_D0,0,37,mm,l2_wcce_plus_0p1_l1_tsce,0.047103529640294295,-0.0021326100370219203,0.03289255678961578,0.007356797614150645,-0.049236139677316215,0.0350251668266377,-0.025535759175465134,
MM_minus_BB,0,37,,l2_wcce,0.011148818501759639,-0.022210938571232575,0.025688874034462184,-0.038084750217103114,-0.03335975707299221,0.04789981260569476,-0.0637736242515653,original
MM_minus_BB,0,37,,l1_l2_joint,0.04864824717765892,-0.003074152155034482,0.0004213515242927901,0.03754084967320259,-0.0517223993326934,0.003495503679327272,0.0371194981489098,original
MM_minus_BB,0,37,,l2_wcce_plus_0p1_l1_tsce,0.012828654188948296,0.015827677224736214,0.025622457607751614,-0.0018036701860232318,0.0029990230357879177,0.0097947803830154,-0.027426127793774846,original
Joint_minus_Baseline,0,37,bb,,-0.04809549111019695,-0.0005373303167419685,0.027637374880021826,-0.05607588898030058,0.047558160793454984,0.028174705196763794,-0.0837132638603224,original
L1TSCE_minus_Baseline,0,37,bb,,-0.030166198180904047,-0.023068781708487585,-0.03832670597376486,-0.04031048608254484,0.007097416472416462,-0.015257924265277278,-0.0019837801087799756,original
Joint_minus_Baseline,0,37,mm,,-0.01059606243429767,0.018599456099456124,0.002369852369852432,0.019549710910005125,0.029195518533753795,-0.016229603729603692,0.017179858540152693,original
L1TSCE_minus_Baseline,0,37,mm,,-0.02848636249371539,0.014969834087481204,-0.03839312240047543,-0.0040294060514649566,0.04345619658119659,-0.053362956487956636,0.034363716349010476,original
MM_minus_BB,0,37,,l2_wcce,-0.004141242744183815,-0.02612022373051781,-0.06135620915032669,0.013100175967823202,-0.021978980986333996,-0.03523598541980888,0.07445638511814989,postencode_mask
MM_minus_BB,0,37,,l1_l2_joint,0.003674613784907965,0.026955071072718106,0.0719064228255405,-0.013799048174048312,0.02328045728781014,0.04495135175282239,-0.0857054709995888,postencode_mask
MM_minus_BB,0,37,,l2_wcce_plus_0p1_l1_tsce,0.007134552538964223,-0.04751759678230272,0.030475713012477645,-0.013943878833584833,-0.05465214932126694,0.07799330979478036,-0.04441959184606248,postencode_mask
Joint_minus_Baseline,0,37,bb,,-0.0021254684857623385,-0.033054527172174164,-0.07734385712326874,0.03345431121166431,-0.030929058686411826,-0.04428932995109458,0.11079816833493306,postencode_mask
L1TSCE_minus_Baseline,0,37,bb,,0.0005483283056814114,0.0033208213355272465,-0.07751539718451461,0.04356460532931139,0.002772493029845835,-0.08083621852004186,0.121080002513826,postencode_mask
Joint_minus_Baseline,0,37,mm,,0.005690388043329442,0.020020767631061753,0.05591877485259844,0.006555087069792798,0.014330379587732311,0.03589800722153669,-0.04936368778280564,postencode_mask
L1TSCE_minus_Baseline,0,37,mm,,0.01182412358882945,-0.01807655171625766,0.014316524978289724,0.016520550527903355,-0.02990067530508711,0.032393076694547385,0.0022040255496136307,postencode_mask
MT_x_Joint,0,37,,,0.03749942867589928,0.019136786416198093,-0.025267522510169393,0.0756255998903057,-0.01836264225970119,-0.044404308926367486,0.1008931224004751,original
MT_x_L1TSCE,0,37,,,0.0016798356871886577,0.03803861579596879,-6.641642671056935e-05,0.03628108003107988,0.03635878010878013,-0.03810503222267936,0.03634749645779045,original
MT_x_Joint,0,37,,,0.00781585652909178,0.05307529480323592,0.13326263197586719,-0.026899224141871514,0.04525943827414414,0.08018733717263127,-0.1601618561177387,postencode_mask
MT_x_L1TSCE,0,37,,,0.011275795283148038,-0.021397373051784907,0.09183192216280434,-0.027044054801408035,-0.032673168334932945,0.11322929521458924,-0.11887597696421237,postencode_mask
