contrast,rotation,seed,coding,objective,native_test_balanced_accuracy_delta,native_test_accuracy_delta,native_test_macro_f1_delta,variant
L1TSCE_minus_Baseline,0,11,mm,,-0.009431275423922414,0.0,-0.00819706996668329,postencode_mask
MT_x_Joint,0,11,,,-0.06257484345719627,-0.05747126436781619,-0.057702944168395554,original
MT_x_L1TSCE,0,11,,,-0.06302290438319846,-0.05747126436781613,-0.05854806392344247,original
MT_x_Joint,0,11,,,0.07905768659445123,0.07471264367816088,0.07876312535274871,postencode_mask
MT_x_L1TSCE,0,11,,,0.030659536541889354,0.03448275862068961,0.0254840382755106,postencode_mask
D1_minus_D0,0,23,bb,l2_wcce,-0.007989253393665185,-0.005747126436781658,0.0018459388574446622,
D1_minus_D0,0,23,bb,l1_l2_joint,0.030707670597376446,0.028735632183908066,0.03706523704179299,
D1_minus_D0,0,23,bb,l2_wcce_plus_0p1_l1_tsce,0.018267659627953847,0.028735632183908066,0.00802789787078334,
D1_minus_D0,0,23,mm,l2_wcce,0.02953531354266642,0.028735632183908066,0.0360348141548299,
D1_minus_D0,0,23,mm,l1_l2_joint,0.016243744001097016,0.017241379310344862,0.028800422736701914,
D1_minus_D0,0,23,mm,l2_wcce_plus_0p1_l1_tsce,0.043405634398281434,0.040229885057471215,0.05697495873370556,
MM_minus_BB,0,23,,l2_wcce,-0.06585510078157136,-0.06321839080459773,-0.07308748236133306,original
MM_minus_BB,0,23,,l1_l2_joint,-0.02119598130627537,-0.02298850574712641,-0.033998193341548466,original
MM_minus_BB,0,23,,l2_wcce_plus_0p1_l1_tsce,-0.022939662461721244,-0.017241379310344807,-0.03777523560087004,original
Joint_minus_Baseline,0,23,bb,,-0.004655005941770707,-0.005747126436781658,-0.002898832823185482,original
L1TSCE_minus_Baseline,0,23,bb,,-0.012554989944695838,-0.017241379310344862,-0.006702978332140341,original
Joint_minus_Baseline,0,23,mm,,0.04000411353352529,0.03448275862068967,0.03619045619659911,original
L1TSCE_minus_Baseline,0,23,mm,,0.03036044837515428,0.028735632183908066,0.028609268428322676,original
MM_minus_BB,0,23,,l2_wcce,-0.028330533845239758,-0.02873563218390801,-0.03889860706394782,postencode_mask
MM_minus_BB,0,23,,l1_l2_joint,-0.0356599079025548,-0.03448275862068961,-0.04226300764663954,postencode_mask
MM_minus_BB,0,23,,l2_wcce_plus_0p1_l1_tsce,0.0021983123086063427,-0.005747126436781658,0.011171825262052182,postencode_mask
Joint_minus_Baseline,0,23,bb,,0.034041918049270925,0.028735632183908066,0.03232046536116284,postencode_mask
L1TSCE_minus_Baseline,0,23,bb,,0.013701923076923195,0.017241379310344862,-0.0005210193188016632,postencode_mask
Joint_minus_Baseline,0,23,mm,,0.026712543991955884,0.022988505747126464,0.028956064778471124,postencode_mask
L1TSCE_minus_Baseline,0,23,mm,,0.044230769230769296,0.040229885057471215,0.04954941300719834,postencode_mask
MT_x_Joint,0,23,,,0.044659119475295994,0.040229885057471326,0.03908928901978459,original
MT_x_L1TSCE,0,23,,,0.04291543831985012,0.04597701149425293,0.03531224676046302,original
MT_x_Joint,0,23,,,-0.007329374057315041,-0.005747126436781602,-0.003364400582691718,postencode_mask
MT_x_L1TSCE,0,23,,,0.0305288461538461,0.022988505747126353,0.050070432326,postencode_mask
D1_minus_D0,0,37,bb,l2_wcce,0.07614607614607621,0.06896551724137934,0.08134358435102801,
D1_minus_D0,0,37,bb,l1_l2_joint,0.0639747303350246,0.06321839080459768,0.07967838338433125,
D1_minus_D0,0,37,bb,l2_wcce_plus_0p1_l1_tsce,0.05357534622240512,0.05172413793103453,0.04636560101259252,
D1_minus_D0,0,37,mm,l2_wcce,0.04076740253210842,0.03448275862068967,0.04168819285092801,
D1_minus_D0,0,37,mm,l1_l2_joint,0.017603781022898723,0.02298850574712641,0.041511200530969516,
D1_minus_D0,0,37,mm,l2_wcce_plus_0p1_l1_tsce,0.04585318684583395,0.040229885057471215,0.03775170169666614,
MM_minus_BB,0,37,,l2_wcce,0.004155383015677194,-0.005747126436781602,0.00573834117620281,original
MM_minus_BB,0,37,,l1_l2_joint,0.04424990858814387,0.04022988505747127,0.048126755469317106,original
MM_minus_BB,0,37,,l2_wcce_plus_0p1_l1_tsce,0.018270801910507783,0.017241379310344862,0.017034572795078307,original
Joint_minus_Baseline,0,37,bb,,0.010047162804515675,0.0,-0.003727641853414676,original
L1TSCE_minus_Baseline,0,37,bb,,-0.0003050870697929864,-0.005747126436781602,0.006934661887185667,original
Joint_minus_Baseline,0,37,mm,,0.05014168837698235,0.04597701149425287,0.03866077243969962,original
L1TSCE_minus_Baseline,0,37,mm,,0.013810331825037603,0.017241379310344862,0.018230893506061163,original
MM_minus_BB,0,37,,l2_wcce,-0.0312232905982906,-0.04022988505747127,-0.03391705032389719,postencode_mask
MM_minus_BB,0,37,,l1_l2_joint,-0.002121040723982004,0.0,0.00995957261595537,postencode_mask
MM_minus_BB,0,37,,l2_wcce_plus_0p1_l1_tsce,0.010548642533936614,0.005747126436781547,0.00842067347915193,postencode_mask
Joint_minus_Baseline,0,37,bb,,-0.00212418300653594,-0.005747126436781658,-0.005392842820111432,postencode_mask
L1TSCE_minus_Baseline,0,37,bb,,-0.022875816993464082,-0.02298850574712641,-0.028043321451249825,postencode_mask
Joint_minus_Baseline,0,37,mm,,0.026978066867772654,0.03448275862068961,0.03848378011974113,postencode_mask
L1TSCE_minus_Baseline,0,37,mm,,0.01889611613876313,0.02298850574712641,0.014294402351799296,postencode_mask
MT_x_Joint,0,37,,,0.04009452557246668,0.04597701149425287,0.042388414293114296,original
MT_x_L1TSCE,0,37,,,0.01411541889483059,0.022988505747126464,0.011296231618875496,original
MT_x_Joint,0,37,,,0.029102249874308594,0.04022988505747127,0.04387662293985256,postencode_mask
MT_x_L1TSCE,0,37,,,0.04177193313222721,0.04597701149425282,0.04233772380304912,postencode_mask
